編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLPJJIKFFBN48CA,24,24.86,梯間，避難室，停車空間,鋼筋混凝土造,80年4月25日,五層,
RPPOMLKLJIKFFAN97CA,19,98.94,住家用,鋼筋混凝土造,85年5月6日,十層,四層 陽台
RPPOMLKLJIKFFAN97CA,19,40.78,,鋼筋混凝土造,85年5月6日,十層,
RPTNMLPJJIKFFBN68CA,19,92.25,住家用,鋼筋混凝土造,85年9月23日,十三層,七層 陽台
RPTNMLPJJIKFFBN68CA,19,19.24,避難室，停車空間，梯間，社區中心，門廳,鋼筋混凝土造,85年9月23日,十三層,
RPQOMLKLJIKFFAN08CA,10,170.25,住宅、停車空間,鋼筋混凝土造,94年11月1日,四層,一層 二層 三層 四層 陽台
RPSNMLPJJIKFFCN68CA,1,165.53,住宅,鋼筋混凝土造,103年12月4日,四層,一層 二層 三層 四層 陽台
RPUNMLTJJIKFFAN09CA,11,266.66,住宅、附屬停車空間,鋼筋混凝土造,93年11月9日,五層,一層 二層 三層 四層 五層 陽台 騎樓
RPWNMLNLJIKFFAN88CA,38,71.37,住家用,加強磚造,67年2月16日,二層,一層 二層
RPQNMLPJJIKFFFN78CA,22,174.42,住家用,鋼筋混凝土造,82年11月30日,三層,一層 二層 三層
RPRNMLKKJIKFFFN48CA,37,247.68,住家用,見其他登記事項,67年12月30日,一層,
RPWNMLTJJIKFFAN66CA,32,101.75,住家用,加強磚造,72年11月11日,二層,一層 二層
RPVNMLMKJIKFFHN66CA,22,169.09,住家用,鋼筋混凝土造,82年12月10日,三層,一層 二層 三層 陽台 平台 騎樓 電梯樓梯間 露台 地下層
RPXNMLTKJIKFFHN57CA,18,159.64,住家用,鋼筋混凝土造,86年12月6日,三層,一層 二層 三層 電梯樓梯間
RPVNMLRKJIKFFHN17CA,,183.38,騎樓、住宅,鋼筋混凝土造,104年6月16日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
RPQOMLMJKIKFFDN48CA,31,81.37,住家用,鋼筋混凝土造,73年10月18日,五層,五層
RPTNMLPJJIKFFEN09DA,21,187.63,住家用,鋼筋混凝土造,83年3月31日,三層,一層 二層 三層 電梯樓梯間
RPQNMLRKJIKFFDN98DA,37,191.60,住工用,鋼筋混凝土造,68年2月7日,三層,一層 二層 三層 騎樓
RPTNMLSKJIKFFHN17DA,,155.35,住宅、樓梯間,鋼筋混凝土造,104年6月9日,三層,一層 二層 三層 陽台 屋頂突出物
RPPNMLLJKIKFFHN58CA,9,161.37,住家用,鋼筋混凝土造,95年6月22日,四層,一層 二層 三層 四層 陽台
RPQNMLKKJIKFFFN38CA,2,225.38,住宅,鋼筋混凝土造,102年5月24日,三層,一層 二層 三層 陽台
RPTNMLOLJIKFFFN56CA,34,207.60,住商用,鋼筋混凝土造,70年5月1日,三層,一層 二層 三層 騎樓
RPPNMLTJJIKFFEN98CA,43,146.35,住家用,加強磚造,62年3月28日,二層,一層 二層 騎樓
RPUNMLPJJIKFFEN09CA,44,112.06,住家用,鋼筋混凝土加強磚造,60年10月1日,二層,一層 二層 騎樓
