編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLNLJIKFFAP58CA,4,179.75,運動休閒設施（保健館）,鋼筋混凝土造,101年4月6日,三層,一層 二層 三層 陽台 電梯樓梯間
RPPNMLSJJIKFFAP78DA,24,165.02,住家用,鋼筋混凝土造,81年4月15日,三層,一層 二層 三層 陽台 騎樓 電梯樓梯間
RPRNMLQKJIKFFDP09CA,,255.25,騎樓、店舖、門廊、住宅,鋼筋混凝土造,104年6月25日,四層,一層 二層 三層 四層 騎樓
RPTNMLQKJIKFFDP66CA,,183.98,住宅、門廊,鋼筋混凝土造,104年6月25日,四層,一層 二層 三層 四層 陽台
RPVNMLQJJIKFFDP76CA,1,252.94,一般事務所、門廊、停車空間,鋼筋混凝土造,104年3月13日,二層,一層 二層 陽台 地下一層
RPSNMLKKJIKFFDP58CA,9,69.18,集合住宅,鋼筋混凝土造,96年2月5日,十一層,五層 陽台
RPSNMLKKJIKFFDP58CA,9,50.46,防空避難室、停車空間、管理委員會使用空間、門廳、門廊、車道、樓梯間、機械室、水箱,鋼筋混凝土造,96年2月5日,十三層,
RPVNMLKKJIKFFDP88CA,26,155.44,住家用,加強磚造,78年11月26日,二層,一層 二層 陽台 電梯樓梯間
RPUNMLMJKIKFFDP98CA,,169.11,住家用,鋼筋混凝土造,104年5月21日,三層,一層 二層 三層 陽台
RPOOMLLKJIKFFAP08CA,2,217.45,見其他登記事項,鋼筋混凝土造,104年5月11日,三層,
RPWNMLLJKIKFFEP56CA,4,201.37,住家用,鋼筋混凝土造,100年7月20日,三層,一層 二層 三層 見其他登記事項
RPQNMLRJKIKFFEP56CA,16,113.52,集合住宅,鋼筋混凝土造,88年6月3日,十層,十層 陽台
RPQNMLRJKIKFFEP56CA,16,.29,管理室,鋼筋混凝土造,88年6月3日,一層,
RPQNMLRJKIKFFEP56CA,16,57.07,Ｂ１停車場，Ｂ２防空避難，甲、乙棟一樓騎樓,鋼筋混凝土造,88年6月3日,10,
RPQNMLRJKIKFFEP56CA,16,18.41,甲棟梯間、屋頂突出物、機械房、水箱,,88年6月3日,十層,
RPTNMLTJJIKFFAP56CA,10,223.38,住宅、停車空間、機電設備空間。,鋼筋混凝土造,94年12月10日,四層,一層 二層 三層 四層 陽台 花台 雨遮 地下層
RPWOMLTKJIKFFAP07CA,25,158.79,住商用,,79年6月1日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPPNMLMKJIKFFCP38CA,38,203.26,商業用,加強磚造,66年6月25日,三層,一層 二層 三層 騎樓
RPTNMLKKJIKFFDP68CA,34,209.32,住商用,加強磚造,70年10月1日,二層,一層 二層 陽台 騎樓 電梯樓梯間
