編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUQMLMJQHLFFCA28CA,4,39.76,住家用,鋼筋混凝土造,101年5月15日,十層,六層 陽臺 雨遮
RPUQMLMJQHLFFCA28CA,4,20.83,本共有部分之項目有管理員室、雨遮、機車停車空間、乙梯、甲梯、梯廳、梯間、消防水箱、水箱（Ａ、Ｂ）、機房、台電配電室、排風管道、進風管道、垃圾儲藏室、電信機房、汽車昇降機、防空避難室兼停車空間、緊急發電機房、蓄水池、停車空間、消防泵浦機房、儲藏室等２２項,鋼筋混凝土造,101年5月15日,十層,
RPUQMLMJQHLFFCA28CA,4,10.06,停車空間,鋼筋混凝土造,101年5月15日,十層,
RPUQMLMJQHLFFCA28CA,4,13.41,本共有部分之項目有管理員室、雨遮、機車停車空間、乙梯、甲梯、梯廳、梯間、消防水箱、水箱（Ａ、Ｂ）、機房、台電配電室、排風管道、進風管道、垃圾儲藏室、電信機房、汽車昇降機、防空避難室兼停車空間、緊急發電機房、蓄水池、停車空間、消防泵浦機房、儲藏室等２２項,鋼筋混凝土造,101年5月15日,十層,
RPPNMLNJQHLFFCA57CA,32,82.18,住家用,鋼筋混凝土造,73年10月26日,五層,四層 陽臺
RPPNMLNJQHLFFCA57CA,32,6.79,共有部分,鋼筋混凝土造,73年10月26日,五層,
RPQQMLMJQHLFFCA87CA,16,75.55,商業用,鋼筋混凝土造,89年5月1日,十二層,三層 陽臺
RPQQMLMJQHLFFCA87CA,16,12.71,共有部分,鋼筋混凝土造,89年5月1日,十二層,
RPQQMLMJQHLFFCA87CA,16,15.26,共有部分,鋼筋混凝土造,89年5月1日,十二層,
RPQQMLMJQHLFFCA87CA,16,15.55,共有部分,鋼筋混凝土造,89年5月1日,十二層,
RPUNMLOJQHLFFCA18CA,38,45.86,住家用,鋼筋混凝土造,67年6月30日,五層,四層 陽臺
RPQNMLMJQHLFFDA67CA,2,137.69,住家用,鋼筋混凝土造,103年4月23日,九層,九層 陽臺 雨遮
RPQNMLMJQHLFFDA67CA,2,83.99,本共有部分之項目有車道、發電機房排風管道、發電機房進風管道、發電機房、丙梯一般安全梯、電錶、電信機房、汽車停等空間、機電設備空間、消防幫浦室、水箱、一般升降機、一般升降機兼行動不便使用、機械停車空間、機車停車空間、供消防管道、自設停車位、法定停車位、台電配電場所、受電箱、Ｂ１Ｆ排風孔、Ｂ１Ｆ排風管道、Ｂ２Ｆ排風管道、防空避難室兼停車空間等２４項,鋼筋混凝土造,103年4月23日,九層,
RPQNMLMJQHLFFDA67CA,2,40.41,本共有部分之項目有管委會使用空間、發電機房排風管道、發電機房進風管道、陽臺、甲梯一般安全梯、乙梯一般安全梯、丙梯一般安全梯、梯廳、一般升降機、一般升降機兼行動不便使用、維修門、機械室、甲梯、消防水箱、水箱、電梯機房等１６項,鋼筋混凝土造,103年4月23日,九層,
RPUNMLMJQHLFFDA08CA,,44.88,集合住宅，不含農舍,鋼筋混凝土造,105年3月25日,五層,五層 陽臺
RPUNMLMJQHLFFDA08CA,,23.76,本共有部分之項目有社區管委會使用空間、走道、電梯、樓梯間、梯廳、雨遮、水箱、消防水池、消防泵浦室、機房（供電信使用）、台電管道間、緊急發電機室、發電機進風管道、發電機排風管道、不鏽鋼製消防水箱及機房等１６項,鋼筋混凝土造,105年3月25日,五層,
RPUNMLMJQHLFFDA08CA,,6.29,本共有部分之項目有梯廳及雨遮等２項。,鋼筋混凝土造,105年3月25日,五層,
RPVNMLMJQHLFFEA28CA,41,88.40,住家用,鋼筋混凝土造,64年9月1日,四層,四層 陽臺
RPOOMLMJQHLFFEA67CA,41,105.59,住家用,鋼筋混凝土造,64年10月7日,四層,二層 陽臺
RPPOMLMJQHLFFEA77CA,50,92.93,住家用,加強磚造,55年11月1日,,一層 二層
RPSPMLMJQHLFFEA18CA,4,21.81,住家用,鋼筋混凝土造,101年1月12日,八層,三層 陽臺 雨遮
RPSPMLMJQHLFFEA18CA,4,8.29,本共有部分之項目有，梯廳，電梯，行動不便者電梯，安全梯，陽台，門廳，管委會空間，機車停車空間，車道，緊急發電機房，管理員室，台電專用管道間，電錶箱空間，受電箱，台電配電室，機房，電信機房，消防幫浦室，蓄水池，機車格，水箱，機械室等２２項。,鋼筋混凝土造,101年1月12日,八層,
RPSPMLMJQHLFFEA18CA,4,4.76,本共有部分之項目有，梯廳，雨遮等２項。,鋼筋混凝土造,101年1月12日,八層,
RPVNMLPKQHLFFAA28CA,2,47.39,住家用,鋼筋混凝土造,103年6月12日,六層,三層 陽臺 雨遮
RPVNMLPKQHLFFAA28CA,2,25.44,共有部分，本共有部分之項目有梯廳、汽車升降設備、１０人份升降機（供行動不便者使用升降機）、雨遮、機房、電信機房、水箱、台電管道間、通風口等９項,鋼筋混凝土造,103年6月12日,六層,
RPWQMLNJQHLFFCA58CA,10,32.80,一般事務所,鋼筋混凝土造,95年11月13日,十二層,四層 雨遮
RPWQMLNJQHLFFCA58CA,10,23.41,共有部分,鋼筋混凝土造,95年11月13日,十二層,
RPTNMLSKQHLFFFA88CA,,42.00,,鋼筋混凝土造,,十四層,十三層
RPTNMLSKQHLFFFA88CA,41,9.28,共有部分,鋼筋混凝土造,64年3月4日,十四層,
RPUQMLMKQHLFFAA28DA,,139.83,住家用,鋼筋混凝土造,,五層,二層 陽臺
RPUNMLPJQHLFFBA28DA,39,56.71,住家用,鋼筋混凝土造,66年9月3日,五層,三層 陽臺
RPTSMLMKQHLFFBA48DA,33,106.44,住家用,鋼筋混凝土造,72年8月6日,五層,三層 陽臺
RPSNMLNLQHLFFBA08DA,,188.73,,加強磚造,,三層,一層 二層 三層 騎樓
RPWNMLKKQHLFFDA18CA,36,16.83,共有部分,鋼筋混凝土造,69年5月21日,十二層,
RPWNMLKKQHLFFDA18CA,36,38.26,見使用執照,鋼筋混凝土造,69年5月21日,十二層,
RPWNMLKKQHLFFDA18CA,36,109.65,住家用,鋼筋混凝土造,69年5月21日,十二層,八層 陽臺
RPTPMLKKQHLFFDA08CA,,78.26,住家用,鋼筋混凝土造,,五層,五層 陽臺
RPQRMLLJQHLFFCA97DA,27,114.91,住家用,鋼筋混凝土造,78年7月21日,十二層,九層 陽臺 花台 雨遮
RPQRMLLJQHLFFCA97DA,27,8.43,共有部分,鋼筋混凝土造,78年7月21日,十四層,
RPVOMLLKQHLFFCA28DA,43,112.73,住家用,鋼筋混凝土造,62年1月15日,四層,二層
RPVNMLSJQHLFFCA78DA,5,53.52,住家用,鋼筋混凝土造,101年1月9日,九層,六層 陽臺 雨遮
RPVNMLSJQHLFFCA78DA,5,17.90,本共有部分之項目有梯廳、客梯、管理員室、乙梯、丙梯、機車升降機、汽車升降機、陽台、消防水箱、電梯機房、水箱一、水箱二、甲梯、機房（供電信使用）、台電配電室、儲藏室、防空避難室兼停車空間、停車空間、緊急發電機室及消防泵浦室等２０項,鋼筋混凝土造,101年1月9日,九層,
RPVNMLSJQHLFFCA78DA,5,8.83,本共有部分之項目有梯廳、乙梯、丙梯及客梯等４項,鋼筋混凝土造,101年1月9日,九層,
RPVNMLSJQHLFFCA78DA,5,.10,商業用,鋼筋混凝土造,101年1月9日,九層,
