district,keyword,name,address,rating,reviews,place_id,lat,lng
松山區,美甲,Mai甲時刻.studio,10565台灣臺北市松山區八德路四段301號,4.9,203.0,ChIJP3xQbcmrQjQR3Gu1KoKNyCM,25.0492205,121.566538
松山區,美甲,米妃特國際美甲美睫,105台灣臺北市松山區民生東路三段110巷6號,4.9,1315.0,ChIJy6vqDvKrQjQRK5I7WkqtUaY,25.056960000000004,121.54469089999999
松山區,美甲,Midolian nails & lashs米朶莉恩美甲美睫店（有深夜及早上美甲美睫服務）,105台灣臺北市松山區興安街188號2樓,5.0,223.0,ChIJ7V0Ng8-rQjQRdRYJ_PW5Z4Q,25.055970799999997,121.5451701
松山區,美甲,Kiera Beauty,105065台灣臺北市松山區民生東路五段55號1樓,4.9,336.0,ChIJU0lHEn2rQjQRl3gnBjgxJJ0,25.0586046,121.55774029999998
松山區,美甲,MG Nail Salon／MG美甲,10589台灣臺北市松山區民生東路五段197號2樓,4.9,158.0,ChIJ-ZSEXaqrQjQR0e7xUBb86Lo,25.0593693,121.56619599999999
松山區,美甲,ANNY NAIL BAR 美甲沙龍,105台灣臺北市松山區延壽街330巷12號,4.8,59.0,ChIJvbPaM5OrQjQRKJ371bTR5ik,25.055655299999998,121.56014760000001
松山區,美甲,shh.studio_｜曦光美學｜南京三民美甲｜日式無痛除毛｜談心系美甲師,105台灣臺北市松山區南京東路五段83號3樓,5.0,119.0,ChIJScMoOeOrQjQRpQv8pQcZSPA,25.0517,121.56
松山區,美甲,in house 好事美甲,105台灣臺北市松山區南京東路五段250巷9之5號,4.9,126.0,ChIJizIJEXOrQjQRZtXZVhVo7U8,25.049953799999997,121.56570389999999
松山區,美甲,Lalaland Salon/美甲保養沙龍,"2樓, No. 186號民生東路五段松山區臺北市台灣 10589",4.7,114.0,ChIJHdw9z2arQjQRILrWIzK_kPw,25.058439,121.56377499999999
松山區,美甲,Ya ting art nail school 美甲沙龍培訓室,105台灣臺北市松山區南京東路三段303巷6弄9號3樓,4.9,66.0,ChIJMa9IV2OrQjQRftsx7WVp6W4,25.052587799999998,121.54724999999999
松山區,美甲,美妍甲Love nail salon美甲-醫院卸甲-美睫-紋繡,"1樓, PA美髮內No. 594號松山路信義區臺北市台灣 110",5.0,229.0,ChIJ60v3JBSrQjQRciTU_SqrfsA,25.0365956,121.57832959999999
松山區,美甲,CindyYao nail藝術美甲.熱蠟除毛(近南京三民站,105台灣台北市松山區南京东路五段286巷6號1樓,5.0,34.0,ChIJ8bN1RMyrQjQRjGlrozkhEeE,25.0503824,121.56712809999999
松山區,美甲,Yunhe Nail 昀和美甲,105台灣臺北市松山區新東街41巷6號,5.0,86.0,ChIJEZ3gMQCrQjQRnE6tn5r_jLg,25.060838800000003,121.56514569999999
松山區,美甲,指上芭蕾美甲- Ballet_ nail【南京三民站】可自行+官方預約｜美甲｜凝膠彩繪｜指甲彩繪|美甲凝膠｜手部造型｜指甲保養護理｜熱蠟除毛｜孕婦除毛,10564台灣臺北市松山區南京東路五段83號,4.9,63.0,ChIJBxwaCS-rQjQRT5ZtvKbWkss,25.0517,121.56
松山區,美甲,Angie's,105072台灣臺北市松山區三民路136巷7號1樓,5.0,125.0,ChIJ1WQ6LSGrQjQRKsIVsTWR39s,25.06064,121.5637674
松山區,美甲,安玖指彩 N9 nails｜台北松山區小巨蛋捷運美甲店｜光療凝膠款式推薦｜指甲彩繪教學｜手足保養卸甲｜ネイル,105台灣台北市松山區八德路三段121-1號號 B1,4.8,190.0,ChIJ2fSCicGrQjQR3P8Qoz5a98k,25.0482804,121.55427730000001
松山區,美甲,Ginny美甲紋繡Nail/BeautySalon,10582台灣臺北市松山區三民路91號2樓,5.0,69.0,ChIJAxpnkOKrQjQRA_qE-BFMPhE,25.0570602,121.56345619999999
松山區,美甲,花心工作室 Blossomy Heart,105台灣臺北市松山區南京東路四段133巷6弄36號1樓,5.0,280.0,ChIJ23FSBTCrQjQRh8qfh_HGtDQ,25.0528561,121.5538739
松山區,美甲,JN_nail松山小巨蛋美甲｜工作室,10595台灣臺北市松山區南京東路四段75號4樓,4.9,47.0,ChIJyU9N-Y2pQjQR6APp8q4L9Jk,25.051857,121.5534551
松山區,美甲,Sisters nail salon #美甲#男士修甲#嵌（凍）甲矯正,105台灣臺北市松山區敦化北路120巷78號,4.9,33.0,ChIJ3Vq0reerQjQRJafwWIuCX2E,25.054166600000002,121.5463923
松山區,美甲,LIN美甲美睫 -松山(美甲，美睫，接睫毛，日式除毛，彩妝推薦，嵌甲矯正，紋繡),105台灣臺北市松山區八德路四段687之1號號1樓,4.8,22.0,ChIJoTIbMz2rQjQRzH_85W8I34k,25.0504205,121.5763008
松山區,美甲,Uppish Nail Studio,105台灣臺北市松山區南京東路五段2號3樓（301室,4.8,30.0,ChIJbeswx5SrQjQRBQcc-5QRqJE,25.0513163,121.5582063
松山區,美甲,Pinky Nail 藝術美甲（手足保養.凝膠美甲.指甲彩繪.崁甲矯正.凍甲修整.台北美甲.南京三民）,105台灣臺北市松山區南京東路五段212號8樓之4,5.0,180.0,ChIJh4JvUkKrQjQRqGNy5HptrB4,25.0511973,121.56520900000001
松山區,美甲,KMnails可美美甲/美睫/紋繡/教學,105台灣臺北市松山區南京東路四段52巷4號1樓A室,4.9,101.0,ChIJt25R8AurQjQR2JS3XvC1HFc,25.050960300000003,121.55352169999999
松山區,美甲,Liliblue Nail Salon,105台灣臺北市松山區延壽街333-1號,5.0,65.0,ChIJz35WueOrQjQRWBkmMK67c04,25.056817,121.56006199999999
松山區,美甲,Star nails 時尚美甲美睫,105台灣臺北市松山區南京東路四段51號1樓之一,4.8,124.0,ChIJ84R3SuirQjQRFjHwU50gF9s,25.052025999999998,121.55104089999999
松山區,美甲,睫熙女孩美甲美睫,110台灣臺北市信義區松山路225巷38號1樓,5.0,113.0,ChIJK6Tey6SrQjQRoR0IeJVmbso,25.044695899999997,121.57872499999999
松山區,美甲,Lin Lin nail琳琳日式美甲美睫 | 松山/南京三民/小巨蛋/南京復興 美甲美睫 專業霧眉 半永久紋繡 紋眉推薦,105台灣台北市松山區复兴北路15號5F之一（514室,5.0,72.0,ChIJF9nhdb2rQjQRGTeREhfRN0o,25.0486251,121.54427030000001
松山區,美甲,玉梅美甲工作室（預約制）,105台灣臺北市松山區南京東路五段251巷1號1樓,5.0,67.0,ChIJZ-BfPAerQjQRs3-z9Yb4mUM,25.0520846,121.5651406
松山區,美甲,美甲女王BELLA藝術奇幻之旅,105台灣臺北市松山區復興北路15號六樓之一 (614B室,5.0,87.0,ChIJ4RelcuarQjQRcR7SVtsXpgU,25.0486251,121.54427030000001
松山區,美甲,23 NAIL STUDIO 貳參美甲,105057台灣臺北市松山區八德路四段640號1樓,4.6,19.0,ChIJqRglkcSrQjQRDMYZBy37ug4,25.0498241,121.5747799
松山區,美甲,飛舞時尚美學｜美甲/美睫/睫毛管理/紋繡/霧眉/化妝/造型/角蛋白,105台灣台北市松山區南京东路五段163-9號1樓,4.7,97.0,ChIJ2-pVLYerQjQR5F_s_PO6NQo,25.0520201,121.5625085
松山區,美甲,亮麗美甲,105台灣臺北市松山區南京東路五段123巷8弄1號號之3,4.7,40.0,ChIJzzT2CnerQjQRNbEWjTRSn8c,25.053518099999998,121.560779
松山區,美甲,H Nail Salon,105台灣臺北市松山區新中街6巷17號,4.9,22.0,ChIJJx5QmJKrQjQROJRShQU4QoY,25.0584252,121.56134189999999
松山區,美甲,Weiss Nails薇媤美甲概念館,110台灣臺北市信義區松隆路205-1號,5.0,14.0,ChIJ9WoW8QCrQjQRfLb7AoTe0kc,25.0485272,121.57628509999998
松山區,美甲,Me & You Nails • 迷有指甲,105台灣臺北市松山區南京東路五段212號,5.0,37.0,ChIJY8LwbxarQjQR_ypnzdDIszU,25.051148299999998,121.56518
松山區,美甲,［ｈｉｂｉ］ｎａｉｌ日々美甲,105041台灣臺北市松山區復興南路一段63號12號樓之2,5.0,80.0,ChIJwYqjnKSrQjQRoYu462KqMLc,25.0450789,121.54412099999998
松山區,美甲,瀅如美甲&美睫,105台灣臺北市松山區八德路四段699之2號,4.4,110.0,ChIJXRXqJpSrQjQRFu-Q7TNg618,25.0502152,121.57662189999999
松山區,美甲,LILY F beauty 美甲/美睫/紋繡,10565台灣臺北市松山區八德路四段350號,5.0,64.0,ChIJkXB7SjyrQjQRnmrrsjWmyiQ,25.049139399999998,121.5685555
松山區,美甲,Cosy•舒心美甲-台北松山美甲｜凝膠指甲、手足保養,105台灣臺北市松山區健康路325巷19弄42號1樓,4.9,33.0,ChIJhSHN3iCrQjQRe55VNHW9fs4,25.0561865,121.56557809999998
松山區,美甲,美麗佳人時尚美甲 修甲 光療,105台灣臺北市松山區南京東路四段133巷8弄1號,5.0,16.0,ChIJu_2gTMmrQjQRA8naabfX8Rk,25.053036499999997,121.5550698
松山區,美甲,Bess Nails蓓絲美甲,"1樓, No. 3-2號永吉路225巷信義區臺北市台灣 110",5.0,47.0,ChIJdbV_pb6rQjQRs-_54AbODto,25.046366199999998,121.57434889999999
