編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLMLKHLFFAU96CA,13,8.27,共有部份,鋼骨造,92年2月21日,十二層,
RPWNMLMLKHLFFAU96CA,13,.26,住家用,鋼骨造,92年2月21日,十二層,
RPWNMLMLKHLFFAU96CA,13,11.85,共有部份,鋼骨造,92年2月21日,十二層,
RPWNMLMLKHLFFAU96CA,13,63.22,住家用,鋼骨造,92年2月21日,十二層,三層 陽台 雨遮
RPRNMLRKKHLFFAU86CA,22,54.44,辦公室,鋼筋混凝土造,83年4月14日,六層,三層 陽台 花台
RPRNMLRKKHLFFAU86CA,22,13.49,共有部份,鋼筋混凝土造,83年4月14日,六層,
RPUOMLOLKHLFFAU07CA,6,233.53,住家用,鋼筋混凝土造,98年12月9日,三層,一層 二層 三層 陽台 雨遮
RPSNMLSKKHLFFAU07CA,21,22.23,住家用,鋼筋混凝土造,83年11月15日,十二層,十一層 花台
RPSNMLSKKHLFFAU07CA,21,61.57,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPTNMLMJLHLFFAU56CA,17,95.45,住家用,鋼筋混凝土造,88年4月14日,五層,四層 陽台 雨遮
RPOOMLQLKHLFFAU66CA,22,96.28,住家用,鋼筋混凝土造,82年8月19日,二層,一層 二層 陽台
RPXNMLMJLHLFFAU96CA,37,84.75,住商用,鋼筋混凝土加強磚造,68年5月9日,二層,一層 二層
RPRNMLLJLHLFFAU88CA,39,81.35,住家用,鋼筋混凝土加強磚造,66年1月18日,二層,一層 二層
RPSOMLPJKHLFFAU76CA,21,240.79,住商用,鋼筋混凝土造,84年5月8日,三層,一層 二層 三層 陽台 騎樓
RPWOMLPKKHLFFAU27CA,10,219.52,住家用,鋼筋混凝土造,95年1月26日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLOLKHLFFAU56CA,,253.85,住家用,鋼筋混凝土造,104年12月9日,四層,一層 二層 三層 四層 陽台
RPTOMLTKKHLFFAU37CA,1,323.50,住家用,鋼筋混凝土造,104年2月17日,三層,一層 二層 三層 陽台 見其他登記事項
RPPOMLTKKHLFFAU96CA,10,267.39,住商用,鋼筋混凝土造,94年7月8日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPOOMLSKKHLFFAU76CA,21,155.70,住家用,鋼筋混凝土造,83年7月30日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPPNMLTLLHLFFBU17CA,38,43.65,住家用,鋼筋混凝土加強磚造,67年1月11日,一層,一層 騎樓
RPSNMLLJLHLFFBU09CA,43,99.20,住家用,鋼筋混凝土加強磚造,62年3月7日,二層,一層 二層
RPRNMLPKKHLFFCU86CA,1,263.36,住家用,鋼筋混凝土造,104年4月29日,三層,一層 二層 三層 陽台 屋頂突出物
RPQOMLTKKHLFFAU07CA,11,202.84,住家用,鋼筋混凝土造,94年2月25日,三層,一層 二層 三層 陽台
RPWNMLPLKHLFFAU27CA,42,120.70,住家用,鋼筋混凝土加強磚造,63年6月4日,二層,一層 二層
RPPOMLMJLHLFFAU88CA,21,180.56,住家用,鋼筋混凝土造,84年3月14日,三層,一層 二層 三層 陽台 平台 屋頂突出物
RPQOMLOLKHLFFAU66CA,33,79.90,住家用,鋼筋混凝土造,72年1月7日,四層,二層
RPQOMLOLKHLFFAU66CA,33,15.72,共有部份,鋼筋混凝土造,72年1月7日,四層,
RPXNMLMJLHLFFAU17EA,39,112.42,住商用,鋼筋混凝土造,66年4月26日,二層,一層 二層 騎樓
RPUOMLNLKHLFFAU96CA,36,100.40,住商用,鋼筋混凝土加強磚造,68年8月17日,二層,一層 二層 騎樓
RPVNMLOLKHLFFAU07CA,22,89.21,住家用,鋼筋混凝土造,82年11月19日,五層,二層 陽台
RPVNMLOLKHLFFAU07CA,22,7.66,共有部份,鋼筋混凝土造,82年11月19日,五層,
RPPNMLPLKHLFFBU66CA,37,115.43,住商用,鋼筋混凝土加強磚造,68年3月27日,二層,一層 二層 騎樓
RPWNMLOLKHLFFAU17CA,4,104.29,住家用,鋼筋混凝土造,101年4月26日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPOOMLOLKHLFFAU09CA,19,29.85,住家用,鋼筋混凝土造,85年10月29日,十六層,十二層 陽台
RPOOMLOLKHLFFAU09CA,19,4.94,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPOOMLOLKHLFFAU09CA,19,7.55,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPWOMLTKKHLFFAU67CA,22,41.86,住家用,鋼筋混凝土造,83年4月25日,五層,三層 陽台
RPWOMLTKKHLFFAU67CA,22,6.26,共有部份,鋼筋混凝土造,83年4月25日,五層,
RPRNMLTKKHLFFAU07CA,21,47.42,住家用,鋼筋混凝土造,84年6月8日,七層,七層 陽台 花台
RPRNMLTKKHLFFAU07CA,21,10.19,共有部份,鋼筋混凝土造,84年6月8日,七層,
RPRNMLTKKHLFFAU07CA,21,9.55,共有部份,鋼筋混凝土造,84年6月8日,七層,
RPTOMLSKKHLFFAU27CA,18,58.77,集合住宅,鋼筋混凝土造,86年8月1日,七層,六層 陽台 花台
RPTOMLSKKHLFFAU27CA,18,21.20,共有部份,鋼筋混凝土造,86年8月1日,七層,
RPRNMLOLKHLFFAU66CA,20,113.46,住家用,鋼筋混凝土造,85年3月25日,五層,五層 陽台
RPRNMLOLKHLFFAU66CA,20,49.27,共有部份,鋼筋混凝土造,85年3月25日,五層,
RPUNMLTKKHLFFAU37CA,,60.90,住家用,鋼筋混凝土造,,二層,一層 二層
RPVNMLSKKHLFFAU37CA,,4.42,住家用,蓋瓦木造,,一層,一層
RPSNMLQLKHLFFAU96CA,22,136.73,住家用,鋼筋混凝土造,82年12月29日,三層,一層 二層 三層 陽台
RPPNMLQLKHLFFAU66CA,30,98.28,住家用,鋼筋混凝土造,74年9月2日,二層,一層 二層 陽台
RPSNMLNJLHLFFAU56CA,19,24.37,住家用,鋼筋混凝土造,85年11月4日,六層,四層
RPTNMLMLKHLFFAU66CA,38,112.68,住商用,鋼筋混凝土加強磚造,66年12月31日,二層,一層 二層 騎樓
RPSOMLMLKHLFFAU66CA,21,161.23,停車空間、住宅,鋼筋混凝土造,83年9月29日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 雨遮
RPUNMLOLKHLFFAU96CA,22,127.36,住家用,鋼筋混凝土造,83年1月22日,十二層,十層
RPUNMLOLKHLFFAU96CA,22,37.53,共有部份,鋼筋混凝土造,83年1月22日,十二層,
RPROMLNLKHLFFAU86EA,17,86.99,住家用,鋼筋混凝土造,88年2月24日,六層,四層 陽台
RPROMLNLKHLFFAU86EA,17,35.11,共有部份,鋼筋混凝土造,88年2月24日,六層,
RPQNMLQLKHLFFCU96CA,49,105.20,住家用,鋼筋混凝土加強磚造,56年1月1日,二層,一層 二層 騎樓
RPPNMLLJLHLFFBU78CA,32,77.88,住家用,鋼筋混凝土造,73年1月14日,四層,三層
RPPNMLLJLHLFFBU78CA,32,5.84,國民住宅、公共樓梯間,鋼筋混凝土造,73年1月14日,四層,
RPVOMLOLKHLFFAU17CA,4,179.87,住家用,鋼筋混凝土造,101年6月5日,三層,一層 二層 三層 陽台
RPPOMLMLKHLFFAU98CA,18,66.82,住家用,鋼筋混凝土造,86年8月27日,九層,四層 五層 陽台 花台
RPPOMLMLKHLFFAU98CA,18,10.27,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPPOMLMLKHLFFAU98CA,18,8.82,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPPOMLMLKHLFFAU98CA,18,3.04,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPTNMLSJLHLFFAU17CA,24,47.93,住家用,鋼筋混凝土造,81年6月16日,五層,三層 陽台
RPTNMLSJLHLFFAU17CA,24,10.80,共有部份,鋼筋混凝土造,81年6月16日,五層,
RPROMLTJLHLFFAU17CA,1,314.06,住家用,鋼筋混凝土造,103年7月24日,四層,一層 二層 三層 四層 陽台
RPROMLTJLHLFFAU17CA,1,2.55,住家用,鋼筋混凝土造,103年7月24日,二層,
RPPNMLKKLHLFFAU68CA,27,6.14,共有部份,鋼筋混凝土造,77年11月25日,五層,
RPPNMLKKLHLFFAU68CA,27,91.20,住家用,鋼筋混凝土造,77年11月25日,五層,五層 陽台
RPPNMLOLKHLFFCU66CA,,48.14,住家用,磚造,,一層,一層 騎樓
RPQNMLOLKHLFFCU76CA,21,439.40,住家用,鋼筋混凝土造,83年11月19日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓 雨遮
RPVNMLPLKHLFFAU37EA,20,260.10,住商用,鋼筋混凝土造,84年12月24日,四層,一層 二層 三層 四層 陽台
RPVNMLPLKHLFFAU37EA,20,100.73,停車場、管理員室,鋼筋混凝土造,84年12月27日,四層,
RPUNMLPLKHLFFAU27EA,20,260.10,住商用,鋼筋混凝土造,84年12月27日,四層,一層 二層 三層 四層 陽台
RPUNMLPLKHLFFAU27EA,20,100.73,停車場、管理員室,鋼筋混凝土造,84年12月27日,四層,
RPTOMLKKLHLFFAU56CA,23,122.44,住商用,鋼筋混凝土造,82年5月20日,二層,一層 二層 陽台 騎樓
RPSOMLKKLHLFFAU09CA,22,90.88,住家用,鋼筋混凝土造,82年11月9日,八層,二層 陽台
RPSOMLKKLHLFFAU09CA,22,21.47,共有部份,鋼筋混凝土造,82年11月9日,八層,
RPTNMLLJLHLFFAU09CA,33,78.69,住家用,鋼筋混凝土造,71年11月13日,五層,三層
RPTNMLLJLHLFFAU09CA,33,10.06,共有部份,鋼筋混凝土造,71年11月13日,五層,
RPOOMLTJLHLFFAU86CA,,362.65,住家用,鋼筋混凝土造,104年8月31日,四層,一層 二層 三層 四層 陽台 屋頂突出物 見其他登記事項
RPUNMLRJLHLFFAU17CA,1,333.21,住家用,鋼筋混凝土造,103年10月15日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓
RPVNMLNLKHLFFAU96CA,1,320.87,農舍,鋼筋混凝土造,104年1月8日,三層,一層 二層 三層 陽台
RPVNMLLJLHLFFAU66CA,,18.30,住家用,蓋瓦木造,,一層,一層
RPSNMLOLKHLFFAU76CA,18,88.60,住家用,鋼筋混凝土造,87年4月3日,十層,三層 陽台
RPSNMLOLKHLFFAU76CA,18,17.25,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPSNMLOLKHLFFAU76CA,18,9.23,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPSNMLOLKHLFFAU76CA,18,8.45,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPPNMLRJLHLFFAU66CA,,222.29,農舍,鋼筋混凝土造,104年12月21日,三層,一層 二層 三層 屋頂突出物
RPRNMLNJLHLFFAU09CA,19,59.13,住家用,鋼筋混凝土造,85年10月29日,十六層,五層 陽台
RPRNMLNJLHLFFAU09CA,19,10.93,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPRNMLNJLHLFFAU09CA,19,17.36,共有部份,鋼筋混凝土造,85年10月29日,十六層,
