編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLNLKHLFFDM58CA,38,112.80,住家用,鋼筋混凝土加強磚造,67年6月30日,二層,一層 二層
RPUNMLQLKHLFFAM09DA,33,44.27,住商用,鋼筋混凝土加強磚造,71年8月30日,三層,一層 二層 三層
RPQNMLMLKHLFFCM38CA,,12.14,農舍,鋼鐵造有牆,,,
RPOOMLMLKHLFFAM08CA,36,111.42,住家用,鋼筋混凝土加強磚造,68年8月14日,二層,一層 二層
RPUNMLOJLHLFFCM88CA,,48.03,住商用,鋼筋混凝土造,,,
RPUNMLOJLHLFFCM88CA,,48.03,住商用,鋼筋混凝土造,,,
RPUNMLOJLHLFFCM88CA,,48.03,住商用,鋼筋混凝土造,,,
RPUNMLPKLHLFFCM09CA,,167.46,住宅、梯間,鋼筋混凝土造,104年12月3日,三層,一層 二層 三層 陽台 見其他登記事項
RPRNMLQKLHLFFCM88CA,,195.17,住宅、梯間,鋼筋混凝土造,104年12月3日,三層,一層 二層 三層 見其他登記事項
RPTNMLNLKHLFFBM68CA,2,216.93,集合住宅,鋼筋混凝土造,103年6月25日,四層,一層 二層 三層 四層 陽台
RPPOMLNLKHLFFCM58DA,,45.82,住家用,磚造,,,
RPQNMLPLKHLFFBM58CA,14,166.64,住家用,鋼筋混凝土造,90年11月26日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLNJLHLFFBM28CA,21,91.81,農舍,鋼架造,84年2月15日,一層,一層
RPQNMLNJLHLFFCM38CA,,53.96,住家用,磚造,,,
RPUNMLMJLHLFFCM68CA,,21.60,住家用,鋼架造﹝有牆者﹞,,,
RPUNMLOLKHLFFCM98CA,,179.33,住宅、梯間,鋼筋混凝土造,,,
RPWNMLOLKHLFFCM56CA,,175.68,住宅、梯間,鋼筋混凝土造,,,
RPOOMLOLKHLFFCM48CA,,171.03,住家用,鋼筋混凝土造,,,
RPUNMLPLKHLFFCM09CA,,83.59,集合住宅,鋼筋混凝土造,,,
RPUNMLPLKHLFFCM09CA,,18.26,樓梯間、機械房、水箱,鋼筋混凝土造,,,
RPPNMLPLKHLFFAM38CA,1,175.58,住家用,鋼筋混凝土造,104年4月22日,三層,一層 二層 三層 陽台
RPQNMLMJLHLFFAM08CA,27,173.44,人行道、住宅、梯間,鋼筋混凝土造,77年12月31日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓
