鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西屯區,建物,臺中市西屯區福雅路３５２號,0.0,,,,1090120,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0950905,47.33,0,0,0,無,有,無,21000,444,,0.0,0,,RPQOMLMKKHPFFCB87CC
西屯區,建物,臺中市西屯區台灣大道四段８００號,0.0,,,,1090211,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0761231,69.39,0,2,1,有,無,無,23500,339,,0.0,0,,RPROMLMKKHPFFCB97CC
南屯區,房地(土地+建物),臺中市南屯區大隆路１２５號,78.0,住,,,1090115,土地1建物1車位0,全,3,透天厝,店房、住房、人行道、避難室,鋼筋混凝土造,0741223,191.37,4,2,3,有,無,無,40000,209,,0.0,0,,RPUOMLMKKHPFFCB28CC
西屯區,建物,臺中市西屯區玉門路７０號,0.0,住,,,1090117,土地0建物0車位0,全,5,透天厝,住商用,鋼筋混凝土造,0800320,131.36,3,1,2,有,無,無,13000,99,,0.0,0,部分出租。,RPRPMLMKKHPFFCB08CC
西屯區,房地(土地+建物),臺中市西屯區福科路９６１巷９號１５樓之２,16.08,住,,,1090117,土地1建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830723,130.05,3,2,2,有,有,無,16000,123,,0.0,0,,RPVPMLMKKHPFFCB48CC
北區,房地(土地+建物),臺中市北區篤行路３５８之１巷３８號地下室,9.99,住,,,1090116,土地1建物1車位0,地下一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831101,50.39,1,0,1,有,無,有,5300,105,,0.0,0,,RPORMLMKKHPFFBB87CC
北區,房地(土地+建物),臺中市北區武昌路２０２之３號,23.73,住,,,1090120,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760122,97.61,3,2,2,有,無,無,13000,133,,0.0,0,,RPPRMLMKKHPFFBB97CC
西區,房地(土地+建物),臺中市西區民權路２１３巷１號６樓,29.11,住,,,1090115,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711111,148.68,3,2,2,有,無,無,16000,108,,0.0,0,,RPOOMLMKKHPFFAB47CC
中區,房地(土地+建物),臺中市中區市府路１２５號七樓之２,22.45,商,,,1090211,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080628,97.16,2,2,2,有,有,有,17000,175,,0.0,0,,RPQPMLMKKHPFFAB77CC
南區,房地(土地+建物),臺中市南區興大路５３號４樓之２,22.6,住,,,1090121,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740313,92.79,3,2,1,有,無,有,14500,156,,0.0,0,,RPPOMLNKKHPFFAB67CC
西區,房地(土地+建物),臺中市西區福人街１３８號４樓２號,18.37,住,,,1090122,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0670812,51.3,2,1,1,有,無,有,14000,273,,0.0,0,,RPQOMLNKKHPFFAB77CC
西屯區,房地(土地+建物),臺中市西屯區臺灣大道四段９２５號１６樓之１,8.75,住,,,1090131,土地1建物1車位0,十六層,28,辦公商業大樓,見其他登記事項,見其他登記事項,0810701,163.35,0,0,0,無,有,有,29500,181,,0.0,0,,RPRNMLNKKHPFFCB97CC
西屯區,建物,臺中市西屯區文心路３段６號２０樓之１,0.0,住,,,1090207,土地0建物1車位0,二十層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,61.55,1,1,1,有,有,有,22000,357,,0.0,0,,RPUNMLNKKHPFFCB28CC
南屯區,建物,臺中市南屯區南屯路二段２４８號１２樓,0.0,住,,,1090212,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821018,109.25,3,2,2,有,有,無,12000,110,,0.0,0,,RPQRMLNKKHPFFCB28CC
西屯區,房地(土地+建物)+車位,臺中市西屯區皇城街８２號６樓之３,33.28,住,,,1090118,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960625,207.47,4,2,2,有,有,有,24000,116,坡道平面,0.0,0,,RPRRMLNKKHPFFCB38CC
太平區,房地(土地+建物),臺中市太平區興隆路興旺巷５弄１０號,79.91,,鄉村區,乙種建築用地,1090122,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0650125,75.74,3,2,1,有,無,有,11000,145,,0.0,0,,RPTNMLNKKHPFFJB88CC
大里區,建物,臺中市大里區益民路一段１５５號,0.0,住,,,1090120,土地0建物1車位0,全,4,透天厝,住宅、梯間、人行道、店舖,鋼筋混凝土造,0830702,287.23,4,2,4,有,無,無,30000,104,,0.0,0,作住家及店面使用。,RPRNMLNKKHPFFIB58CC
