鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
斗南鎮,租賃房屋,雲林縣斗南鎮世榮街２０號十二樓之３,0.0,,,,1130422,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840710,34.16,1,0,1,有,有,有,7000,205,,0.0,0,,RPSNMLNLMHJGFBP56CC,獨立套房,有,1130422~1140421,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
斗南鎮,租賃房屋,雲林縣斗南鎮世榮街２０號十一樓之４,0.0,,,,1130415,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840710,34.36,1,0,1,有,有,有,7000,204,,0.0,0,,RPTNMLNLMHJGFBP66CC,獨立套房,有,1130415~1140414,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
虎尾鎮,租賃房屋,雲林縣虎尾鎮林森路一段３６０巷３３之２號十二樓,0.0,,,,1130416,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840406,56.76,1,1,1,有,有,有,10000,176,,0.0,0,,RPPNMLNLMHJGFDP09CC,整棟(戶)出租,有,1130416~1140415,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市莊敬路３４７巷３０弄１１號７樓,0.0,,,,1130411,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830615,94.35999999999999,3,1,2,有,有,有,5002,53,,0.0,0,管理費998元。,RPQNMLPLMHJGFAP09CC,整棟(戶)出租,有,1130411~1140410,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市三平里明德北路三段３號六樓之１４,0.0,,,,1130424,土地0建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860515,40.21,1,1,1,有,有,有,6500,162,,0.0,0,,RPRNMLQLMHJGFAP66CC,整棟(戶)出租,有,1130501~1140430,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市忠孝路１５７號４樓,0.0,,,,1130424,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841120,18.0,6,0,6,有,無,有,5000,278,,0.0,0,,RPTNMLQLMHJGFAP86CC,分租雅房,無,1130701~1140630,有,冷氣、洗衣機、電視機、冰箱、瓦斯或天然氣,一般代管
斗六市,土地,內環段1104地號,21.2,住,,,1130424,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,9000,425,,0.0,0,含增建或未登記建物；,RPPNMLTLMHJGFAP76CC,,,1130520~1140519,,,
斗六市,租賃房屋,雲林縣斗六市和平路３７號,0.0,,,,1130418,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0920308,15.0,20,1,21,有,無,有,5500,367,,0.0,0,多人共同承租2；,RPPNMLQJNHJGFAP98CC,分租套房,無,1130701~1140630,無,冷氣、熱水器、冰箱、網路,一般轉租
斗六市,租賃房屋,雲林縣斗六市和平路３７號,0.0,,,,1130430,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0920308,15.0,20,1,21,有,無,有,4000,267,,0.0,0,,RPQNMLQJNHJGFAP09CC,分租套房,無,1130701~1140630,無,冷氣、熱水器、冰箱、網路,一般轉租
斗六市,租賃房屋,雲林縣斗六市和平路３７號,0.0,,,,1130424,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0920308,15.0,20,1,21,有,無,有,4500,300,,0.0,0,續租案件；,RPRNMLQJNHJGFAP56CC,分租套房,無,1130701~1140630,無,冷氣、熱水器、冰箱、網路,一般轉租
