鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
淡水區,租賃房屋,新北市淡水區新民街１１４號二樓,46.94,住,,,1130214,土地1建物0車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681108,38.83,6,0,6,有,無,有,5500,142,,0.0,0,此層格局共隔6間，此次租賃面積為38.83平方公尺租金總額含網路費；其他第四台；,RPTNMLRKKHJGFEF68CC,分租套房,無,1130301~1130630,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
淡水區,租賃房屋,新北市淡水區自立路８之７號二樓,0.0,,,,1130215,土地0建物1車位0,二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831116,59.41,1,2,1,有,有,有,10500,177,,0.0,0,續租案件；,RPUNMLRKKHJGFEF78CC,整棟(戶)出租,有,1130215~1140214,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
三重區,租賃房屋,新北市三重區仁政街８６巷１９號四樓,0.0,,,,1130215,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730505,21.52,2,2,2,有,無,有,18500,860,,0.0,0,本案為401室。多人共同承租2；租金總額含水費；網路費；其他垃圾處理費；,RPTNMLRKKHJGFGF88CC,分租套房,無,1130215~1150214,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
三重區,租賃房屋,新北市三重區正義北路６之１號９樓之７,0.0,,,,1130216,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0751205,61.69,1,1,1,有,無,有,21000,340,,0.0,0,本案為獨立套房，916室。多人共同承租2；租金總額含水費；網路費；其他垃圾處理費；續租案件；,RPUNMLRKKHJGFGF98CC,獨立套房,有,1130226~1140225,有,冷氣、洗衣機、電視機、冰箱、網路,一般轉租
三重區,租賃房屋,新北市三重區仁義街２６９號四樓,0.0,,,,1130215,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990920,13.22,8,0,8,有,無,有,13500,1021,,0.0,0,本案為402室。多人共同承租2；租金總額含水費；網路費；其他垃圾處理費；,RPWNMLRKKHJGFGF56CC,分租套房,無,1130220~1150219,有,冷氣、洗衣機、電視機、冰箱、網路,一般轉租
三重區,租賃房屋,新北市三重區仁義街２６９號四樓,0.0,,,,1130215,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990920,13.22,8,0,8,有,無,有,13500,1021,,0.0,0,本案為402室。多人共同承租2；租金總額含水費；網路費；其他垃圾處理費；,RPXNMLRKKHJGFGF66CC,分租套房,無,1130220~1150219,有,冷氣、洗衣機、電視機、冰箱、網路,一般轉租
三重區,租賃房屋,新北市三重區正義北路６之１號９樓之７,0.0,,,,1130216,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0751205,61.69,1,1,1,有,無,有,21000,340,,0.0,0,本案為獨立套房，916室。多人共同承租2；租金總額含水費；網路費；其他垃圾處理費；續租案件；,RPPOMLRKKHJGFGF58CC,獨立套房,有,1130226~1140225,有,冷氣、洗衣機、電視機、冰箱、網路,一般轉租
三重區,租賃房屋,新北市三重區仁政街８６巷１９號四樓,0.0,,,,1130215,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730505,21.52,2,2,2,有,無,有,18500,860,,0.0,0,本案為401室。多人共同承租2；租金總額含水費；網路費；其他垃圾處理費；,RPQOMLRKKHJGFGF68CC,分租套房,無,1130215~1150214,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
三峽區,租賃房屋+車位,新北市三峽區大學路１號四樓之二,0.0,,,,1130215,土地0建物1車位1,四層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060106,163.7,3,2,2,有,有,無,25700,174,坡道平面,30.03,2500,每個月管理費2300元由承租人負擔,RPPNMLRKKHJGFIF68CC,整棟(戶)出租,有,1130301~1140228,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
林口區,土地,麗林段876地號,1258.2,住,,,1130216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,90000,72,,0.0,0,,RPPNMLSKKHJGFBF08CC,,,1130320~1160319,,,
汐止區,租賃房屋+車位,新北市汐止區明峰街２９７巷５弄１２號３樓,0.0,,,,1130215,土地0建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820826,156.9,3,2,2,有,有,有,28000,178,坡道平面,0.0,0,車位面積無法分算。,RPPNMLSKKHJGFDF28CC,整棟(戶)出租,有,1130315~1150314,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,
板橋區,租賃房屋,新北市板橋區四川路二段９９之８號５樓,0.0,,,,1130216,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870609,16.5,4,0,4,有,無,有,12800,776,,0.0,0,,RPOOMLTKKHJGFAF08CC,分租套房,無,1130216~1140228,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
新莊區,租賃房屋,新北市新莊區新莊路６４９巷１５弄９號４樓,0.0,,,,1130217,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681217,92.15,3,1,1,有,無,有,18000,195,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為20000，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額18000。,RPRNMLTKKHJGFBF38CC,整棟(戶)出租,無,1130301~1140228,無,冷氣、熱水器,社會住宅代管
新店區,租賃房屋,新北市新店區北新路二段１２８號９樓之２,0.0,,,,1130216,土地0建物1車位0,九層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951109,38.63,1,1,1,有,有,有,19000,492,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為21200，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額19000。管理費租賃期間無償,RPQNMLTKKHJGFCF38CC,獨立套房,有,1130301~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
