編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLQJKHKFFAN28CA,17,12.59,停車空間、機械室、受電室,鋼筋混凝土造,86年10月20日,十三層,
RPPNMLQJKHKFFAN28CA,17,17.76,停車空間、機械室、水箱,鋼筋混凝土造,86年10月20日,十三層,
RPPNMLQJKHKFFAN28CA,17,9.59,梯間、機械室、水箱,鋼筋混凝土造,86年10月20日,十三層,
RPPNMLQJKHKFFAN28CA,17,.20,管理員室,鋼筋混凝土造,86年10月20日,十三層,
RPPNMLQJKHKFFAN28CA,17,11.02,停車空間、機械室、水箱,鋼筋混凝土造,86年10月20日,十三層,
RPVOMLMKKHKFFBN78CA,35,111.40,住家用,加強磚造,69年6月3日,二層,一層 二層 騎樓
RPOOMLNJKHKFFAN97CA,38,86.40,住家用,鋼筋混凝土加強磚造,66年3月31日,二層,一層 二層
RPPNMLPJKHKFFHN09EA,15,208.59,店舖．住家．機械房,鋼筋混凝土造,88年10月26日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮
RPOOMLOJKHKFFDN48DA,35,163.03,住家用,加強磚造,69年1月1日,二層,一層 二層
RPUNMLLKKHKFFDN78DA,23,21.09,住家用,鋼筋混凝土造,81年6月13日,八層,七層 陽台
RPSNMLNJKHKFFCN78CD,,174.42,住家用、人行道、梯間,鋼筋混凝土造,103年10月15日,三層,
RPPOMLQJKHKFFBN48CA,35,107.94,住家用,加強磚造,69年5月16日,二層,一層 二層 騎樓
RPUOMLPJKHKFFAN78CA,33,130.48,住商用,鋼筋混凝土造,71年3月30日,三層,一層 二層 三層 屋頂突出物
RPQNMLQJKHKFFAN38CA,16,212.16,住家用,鋼筋混凝土造,87年11月9日,四層,一層 二層 三層 四層 見其他登記事項
RPXOMLPJKHKFFAN09CA,2,289.44,停車空間、機電空間、住宅,鋼筋混凝土造,101年12月25日,四層,一層 二層 三層 四層 雨遮 地下一層
RPXOMLPJKHKFFAN09CA,2,27.42,停車空間、台電配電室,鋼筋混凝土造,101年12月25日,四層,
RPUPMLPJKHKFFAN88CA,51,76.50,住家用,磚造,52年9月1日,一層,一層
RPXNMLKKKHKFFAN58CA,6,186.51,住宅、停車空間,鋼筋混凝土造,98年1月16日,三層,一層 二層 三層 屋頂突出物 騎樓 雨遮
RPRPMLPJKHKFFAN58CA,44,320.56,住商用,鋼筋混凝土造,59年10月9日,四層,一層 二層 三層 四層 騎樓
RPSOMLKKKHKFFAN18CA,16,164.28,住家用,鋼筋混凝土造,88年2月5日,三層,一層 二層 三層 陽台 平台 屋頂突出物
RPSOMLKKKHKFFAN18CA,16,7.34,兒童遊戲球池、閱讀室、娛樂室,鋼筋混凝土造,88年2月5日,三層,
