編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
SPSNMLSJNHKFFDV67CA,20,7.49,人行樓梯、電梯．大廳．防空避難室．屋頂突出物　,鋼筋混凝土造,84年1月10日,八層,
SPSNMLSJNHKFFDV67CA,20,3.01,走廊,鋼筋混凝土造,84年1月10日,八層,
TPSNMLSJNHKFFDV77CA,20,30.05,套房,鋼筋混凝土造,84年1月10日,八層,六層 見其他登記事項
TPSNMLSJNHKFFDV77CA,20,7.63,人行樓梯、電梯．大廳．防空避難室．屋頂突出物　,鋼筋混凝土造,84年1月10日,八層,
TPSNMLSJNHKFFDV77CA,20,2.81,走廊,鋼筋混凝土造,84年1月10日,八層,
RPTNMLSJNHKFFDV67CA,21,99.54,住宅，避難室,鋼筋混凝土造,82年11月26日,三層,一層 地下層
RPTNMLSJNHKFFDV67CA,21,14.66,樓梯間．陽台,鋼筋混凝土造,82年11月26日,三層,
UPSNMLSJNHKFFDV87CA,20,30.09,套房,鋼筋混凝土造,84年1月10日,八層,四層 見其他登記事項
UPSNMLSJNHKFFDV87CA,20,7.49,人行樓梯、電梯．大廳．防空避難室．屋頂突出物　,鋼筋混凝土造,84年1月10日,八層,
UPSNMLSJNHKFFDV87CA,20,2.87,走廊,鋼筋混凝土造,84年1月10日,八層,
RPSNMLSJNHKFFDV57CA,21,35.56,出租套房,鋼筋混凝土造,82年11月8日,八層,一層 陽台
RPSNMLSJNHKFFDV57CA,21,13.01,出租套房、通道、停車場、避難室．屋頂突出物,鋼筋混凝土造,82年11月8日,八層,
RPOOMLLKNHKFFAV98CA,21,143.12,住家用,鋼筋混凝土造,83年5月5日,五層,三層 陽台
RPOOMLLKNHKFFAV98CA,21,43.37,避難室（共同使用）,鋼筋混凝土造,83年5月5日,五層,
RPRNMLMKNHKFFAV66CA,9,254.04,人行道、店舖、住宅、樓梯間,ＲＣ造,95年9月25日,三層,一層 二層 三層 屋頂突出物 騎樓 見其他登記事項
