year,district,cat_dog_ratio,avg_housing_size,ratio_0_4,ratio_single,rental_ratio
2018,大安區,0.857916,40.160000,0.049702,0.343055,0.008711
2018,文山區,0.824468,40.420000,0.049992,0.335231,0.001979
2018,松山區,0.869482,34.740000,0.048454,0.339562,0.007309
2018,萬華區,0.944444,34.490000,0.050062,0.412254,0.002666
2019,中山區,1.033228,37.890000,0.046454,0.443865,0.018936
2019,中正區,1.064972,38.170000,0.050692,0.377664,0.008249
2019,信義區,1.068027,37.690000,0.046455,0.382170,0.008209
2019,內湖區,1.098990,42.630000,0.052051,0.322669,0.007638
2019,北投區,0.861878,41.060000,0.047095,0.341676,0.003766
2019,南港區,0.914209,43.230000,0.053601,0.363927,0.005755
2019,士林區,0.798837,40.680000,0.046462,0.343154,0.005837
2019,大同區,1.066116,37.280000,0.049158,0.403382,0.009322
2019,大安區,0.864802,41.520000,0.046676,0.346042,0.007423
2019,文山區,1.060773,39.460000,0.046522,0.342866,0.001844
2019,松山區,0.980159,35.450000,0.045046,0.342572,0.007240
2019,萬華區,1.134100,33.120000,0.046104,0.421694,0.003380
2020,中山區,1.063920,36.720000,0.042416,0.452395,0.020786
2020,中正區,1.072727,37.150000,0.045895,0.385676,0.009758
2020,信義區,0.985981,37.800000,0.042190,0.390678,0.007926
2020,內湖區,1.153661,43.670000,0.047550,0.329654,0.007016
2020,北投區,1.062937,42.250000,0.043175,0.347561,0.004800
2020,南港區,1.206304,42.970000,0.048089,0.375797,0.005374
2020,士林區,0.865466,44.340000,0.041727,0.351754,0.005863
2020,大同區,1.033097,37.280000,0.045031,0.413321,0.009994
2020,大安區,0.962245,39.520000,0.043110,0.351512,0.006678
2020,文山區,1.295014,39.410000,0.041778,0.350652,0.002526
2020,松山區,1.143617,37.570000,0.041130,0.349470,0.007547
2020,萬華區,1.192843,31.300000,0.040560,0.433694,0.005052
2021,中山區,1.172603,34.900000,0.037868,0.465411,0.020397
2021,中正區,1.541547,39.960000,0.042146,0.397283,0.009620
2021,信義區,1.279869,36.390000,0.037455,0.403579,0.007297
2021,內湖區,1.323896,42.230000,0.043161,0.339734,0.005721
2021,北投區,1.235294,40.820000,0.038872,0.355732,0.004973
2021,南港區,1.633663,41.300000,0.042728,0.384623,0.006130
2021,士林區,1.158550,40.050000,0.037681,0.363096,0.006103
2021,大同區,1.131868,34.410000,0.040738,0.425478,0.010568
2021,大安區,1.122137,39.360000,0.039052,0.363840,0.005838
2021,文山區,1.419399,40.610000,0.037737,0.359586,0.002844
2021,松山區,1.348748,38.090000,0.037505,0.360332,0.007064
