鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
林園區,房地(土地+建物)+車位,高雄市林園區田厝路 75 巷10弄與東林西路249巷  交叉口,17.0,商,,,1130216,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,160.79,3,2,2,有,無,11360000,72746,坡道平面,22.5,1300000,,RPQNMLRKKHJGFLE88CB,園藏林,B棟2號,
三民區,房地(土地+建物)+車位,高雄市三民區聯興路50巷和民族一路交叉口,6.9,住,,,1130217,土地1建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.95,2,1,1,有,無,11920000,112155,坡道平面,15.31,1530000,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLSKKHJGFDE38CB,孟學苑,B棟18號,
三民區,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1130215,土地0建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.45,3,2,2,有,無,10180000,76448,坡道平面,27.6,1400000,總價含地上權標的價款351萬元地上權房屋；,RPVNMLSKKHJGFDE68CB,KS1,D9棟0號,
三民區,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1130215,土地0建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.77,3,1,2,有,無,8250000,75134,坡道平面,27.6,1400000,總價含地上權標的價款274萬元地上權房屋；,RPWNMLSKKHJGFDE78CB,KS1,D8棟0號,
三民區,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1130216,土地0建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.48,3,1,2,有,無,8800000,78596,坡道平面,27.6,1500000,總價含地上權標的價款292萬元地上權房屋；,RPXNMLSKKHJGFDE88CB,KS1,D1棟0號,
三民區,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1130216,土地0建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.46,2,1,1,有,無,7430000,80287,坡道平面,27.6,1500000,總價含地上權標的價款237萬元地上權房屋；,RPOOMLSKKHJGFDE08CB,KS1,B3棟0號,
三民區,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1130216,土地0建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.45,3,2,2,有,無,11130000,83848,坡道平面,27.6,1500000,總價含地上權標的價款385萬元地上權房屋；,RPPOMLSKKHJGFDE18CB,KS1,B8棟0號,
三民區,房地(土地+建物),高雄市三民區聯興路50巷和民族一路交叉口,6.23,住,,,1130218,土地1建物1車位0,六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.72,2,1,1,有,無,11150000,133182,,0.0,0,,RPQOMLSKKHJGFDE28CB,孟學苑,B棟02號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學南路大學二十九路大學五十六街,13.49,住,,,1130214,土地2建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.95,3,2,2,有,無,10980000,81518,坡道平面,13.79,2000000,,RPQNMLSKKHJGFEE28CB,崑庭馥御,E棟5號,
楠梓區,房地(土地+建物),高雄市楠梓區大學南路大學二十九路大學五十六街,10.42,住,,,1130214,土地2建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.28,2,2,2,有,無,7730000,90643,,0.0,0,,RPRNMLSKKHJGFEE38CB,崑庭馥御,E棟3號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學南路大學二十九路大學五十六街,10.42,住,,,1130214,土地2建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.07,2,2,2,有,無,9760000,92167,坡道平面,13.79,1900000,,RPSNMLSKKHJGFEE48CB,崑庭馥御,F棟3號,
小港區,房地(土地+建物)+車位,高雄市小港區松金段18地號,16.29,商,,,1130212,土地1建物1車位1,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.97,3,1,2,有,無,16760000,100535,坡道平面,17.15,2100000,,RPPNMLTKKHJGFCE08CB,清景麟國家公園,A01棟13號,
小港區,房地(土地+建物)+車位,高雄市小港區松金段18地號,11.03,商,,,1130213,土地1建物1車位1,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.8,2,1,2,有,無,11050000,95793,坡道平面,17.15,1600000,,RPQNMLTKKHJGFCE18CB,清景麟國家公園,B02棟15號,
小港區,房地(土地+建物)+車位,高雄市小港區松金段18地號,14.13,商,,,1130213,土地1建物1車位1,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.9,3,1,2,有,無,14080000,96884,坡道平面,17.15,1800000,,RPRNMLTKKHJGFCE28CB,清景麟國家公園,E02棟11號,
三民區,房地(土地+建物),高雄市三民區九如一路A06棟F17樓,6.92,商,,,1130212,土地2建物1車位0,十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.2,2,1,1,有,無,11310000,139286,,0.0,0,,RPTNMLTKKHJGFDE58CB,遠雄峰蘊,A棟06號,
三民區,房地(土地+建物),高雄市三民區九如一路A11棟F17樓,6.92,商,,,1130212,土地2建物1車位0,十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.2,2,1,1,有,無,10930000,134606,,0.0,0,,RPUNMLTKKHJGFDE68CB,遠雄峰蘊,A棟11號,
仁武區,房地(土地+建物)+車位,高雄市仁武區京富路,17.38,住,,,1130218,土地2建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.2,2,2,2,有,無,11450000,96784,坡道平面,21.46,1700000,,RPPNMLTKKHJGFIE68CB,龍騰鑫世紀,D9棟9號,
仁武區,房地(土地+建物)+車位,高雄市仁武區京富路,12.27,住,,,1130218,土地2建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.18,1,1,2,有,無,9020000,102064,坡道平面,21.46,1700000,,RPQNMLTKKHJGFIE78CB,龍騰鑫世紀,A9棟13號,
仁武區,房地(土地+建物)+車位,高雄市仁武區京富路,12.27,住,,,1130218,土地2建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.18,1,1,2,有,無,8920000,100669,坡道平面,21.46,1700000,,RPRNMLTKKHJGFIE88CB,龍騰鑫世紀,A9棟12號,
仁武區,房地(土地+建物)+車位,高雄市仁武區京富路,14.0,住,,,1130218,土地2建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.41,2,2,2,有,無,9960000,99568,坡道平面,21.46,1900000,,RPSNMLTKKHJGFIE98CB,龍騰鑫世紀,E7棟10號,
仁武區,房地(土地+建物)+車位,高雄市仁武區京富路,14.0,住,,,1130216,土地2建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.41,2,2,2,有,無,9880000,99815,坡道平面,21.46,1800000,,RPTNMLTKKHJGFIE09CB,龍騰鑫世紀,B5棟9號,
仁武區,房地(土地+建物)+車位,高雄市仁武區京富路,14.55,住,,,1130216,土地2建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.56,1,1,2,有,無,9830000,96671,坡道平面,21.46,1700000,,RPUNMLTKKHJGFIE56CB,龍騰鑫世紀,E1棟6號,
林園區,房地(土地+建物)+車位,高雄市林園區田厝路 75 巷10弄與東林西路249巷  交叉口,15.13,商,,,1130217,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,145.73,3,2,2,有,無,9400000,65731,坡道平面,22.5,1300000,,RPPNMLTKKHJGFLE98CB,園藏林,E棟2號,
林園區,房地(土地+建物),高雄市林園區中芸三路53巷/西溪路176巷,68.25,住,,,1130215,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,156.09,3,2,4,有,無,9950000,63745,,0.0,0,,RPRNMLTKKHJGFLE56CB,最幸福5,C棟8號,
三民區,房地(土地+建物)+車位,高雄市三民區陽明路,26.65,住,,,1130219,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,197.72,4,2,2,有,無,24200000,127768,坡道平面,24.75,2100000,,RPSNMLTKKHJGFDE58DB,陽明第一廳,D1棟0號,
三民區,房地(土地+建物)+車位,高雄市三民區陽明路,26.04,住,,,1130217,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,194.1,4,2,2,有,無,22650000,121346,坡道平面,24.75,2100000,,RPTNMLTKKHJGFDE68DB,陽明第一廳,A1棟0號,
三民區,房地(土地+建物)+車位,高雄市三民區陽明路,18.55,住,,,1130217,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.24,3,2,2,有,無,16900000,123662,坡道平面,24.75,2000000,,RPUNMLTKKHJGFDE78DB,陽明第一廳,A2棟0號,
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路及大成街交叉路口,3.52,商,,,1130214,土地34建物1車位1,四層,37,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,88.69,1,1,1,有,無,11990000,131094,坡道機械,5.62,1100000,,RPPNMLKLKHJGFAE07CB,港灣1號院,A棟06號,
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路及大成街交叉路口,3.52,商,,,1130214,土地34建物1車位1,五層,37,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,88.69,1,1,1,有,無,12090000,132298,坡道機械,5.62,1100000,,RPQNMLKLKHJGFAE17CB,港灣1號院,A棟06號,
三民區,房地(土地+建物),高雄市三民區聯興路50巷和民族一路交叉口,5.43,住,,,1130215,土地1建物1車位0,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,72.86,2,1,1,有,無,10060000,138073,,0.0,0,,RPVNMLKLKHJGFDE97CB,孟學苑,A棟17號,
三民區,房地(土地+建物),高雄市三民區凱歌路A8-21F,5.31,其他,,,1130217,土地1建物1車位0,二十一層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.77,2,1,1,有,無,10940000,132173,,0.0,0,,RPWNMLKLKHJGFDE08CB,宏道文華帝寶,A棟8號,
橋頭區,房地(土地+建物)+車位,高雄市橋頭區甲樹路和甲昌路通山巷5弄交叉口,24.36,,鄉村區,乙種建築用地,1130217,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.96,2,2,2,有,無,9770000,85810,坡道平面,19.08,1800000,,RPTOMLKLKHJGFFE08CB,鳳凰Villa,A棟A8-8F號,
橋頭區,房地(土地+建物)+車位,高雄市橋頭區甲樹路和甲昌路通山巷5弄交叉口,31.71,,鄉村區,乙種建築用地,1130217,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,140.01,3,2,2,有,無,11500000,80212,坡道平面,19.08,1800000,,RPUOMLKLKHJGFFE18CB,鳳凰Villa,E棟E12-5F號,
橋頭區,房地(土地+建物)+車位,高雄市橋頭區甲樹路和甲昌路通山巷5弄交叉口,21.85,,鄉村區,乙種建築用地,1130217,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.19,2,2,2,有,無,8120000,80808,坡道機械,7.03,1400000,,RPVOMLKLKHJGFFE28CB,鳳凰Villa,E棟E8-5F號,
