鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮瑞星路,44.8,住,,,1130315,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.29,3,2,2,有,無,8000000,66952,一樓平面,13.75,800000,,RPQNMLLLLHJGFCT56DB,和嘉苑七期,B棟3號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市龍華路237巷龍華段1099地號,34.52,,鄉村區,乙種建築用地,1130314,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.59,3,2,2,有,無,7700000,67788,一樓平面,7.25,0,,RPPNMLMLLHJGFAT88CB,皇家大苑12期,A棟3號,1131020全部解約
屏東市,房地(土地+建物)+車位,屏東縣屏東市龍華路237巷龍華段1099地號,34.87,,鄉村區,乙種建築用地,1130228,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.46,3,2,2,有,無,7680000,64832,一樓平面,7.73,0,,RPQNMLMLLHJGFAT98CB,皇家大苑12期,B棟1號,
屏東市,房地(土地+建物),屏東縣屏東市和生路二段53巷,27.12,,一般農業區,甲種建築用地,1130229,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.11,2,2,2,有,無,6150000,73119,,0.0,0,,RPRNMLMLLHJGFAT09CB,丰雲賞,A3棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市和生路一段,32.48,,鄉村區,乙種建築用地,1130308,土地2建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.39,3,2,2,有,無,10700000,85153,坡道平面,27.0,1300000,,RPSNMLMLLHJGFAT56CB,中洲One Park,A棟3號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉德美路,49.67,住,,,1130224,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.91,3,2,2,有,無,8480000,61890,一樓平面,14.05,1000000,,RPPNMLMLLHJGFCT09CB,成聚大悅八期,B棟2號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉樹山路,29.3,,鄉村區,乙種建築用地,1130310,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.59,3,2,2,有,無,7760000,72802,一樓平面,0.0,0,,RPQNMLMLLHJGFCT56CB,好厝+,C棟3號,
東港鎮,房地(土地+建物),屏東縣東港鎮文昌街,198.6,住,,,1130302,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,435.04,6,2,7,有,無,39800000,91486,,0.0,0,,RPQNMLMLLHJGFDT66CB,英倫晴森6,A1棟0號,
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮興東路,45.73,住,,,1130302,土地1建物1車位2,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,143.67,3,2,2,有,無,9500000,70895,一樓平面,37.88,2000000,,RPRNMLMLLHJGFDT76CB,英倫晴森7,3A2棟0號,
東港鎮,房地(土地+建物),屏東縣東港鎮興東路,165.42,住,,,1130302,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,365.04,7,2,7,有,無,25500000,69855,,0.0,0,,RPSNMLMLLHJGFDT86CB,英倫晴森7,B2棟0號,
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮興東路,45.73,住,,,1130304,土地1建物1車位3,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,157.45,3,2,2,有,無,10500000,72794,一樓平面,54.42,3000000,車位面積含車道及其他必要空間,RPTNMLMLLHJGFDT96CB,英倫晴森7,3A1棟0號,
內埔鄉,房地(土地+建物),屏東縣內埔鄉光明路292巷,99.31,住,,,1130324,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,168.09,5,2,3,有,無,14200000,84479,,0.0,0,,RPPNMLPLLHJGFCT76CB,皇家欣天地3期 森鄰,A棟2號,
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮富漁三路,21.1,住,,,1130319,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.35,2,2,2,有,無,8280000,82386,坡道平面,22.02,1250000,,RPPNMLPLLHJGFDT86CB,東津灣,A5棟10號,
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮富漁三路,21.1,住,,,1130319,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.35,2,2,2,有,無,8280000,82386,坡道平面,22.02,1250000,,RPQNMLPLLHJGFDT96CB,東津灣,A5棟11號,
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮富漁三路,25.9,住,,,1130319,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.7,3,2,2,有,無,9610000,79862,坡道平面,22.02,1250000,,RPRNMLPLLHJGFDT07CB,東津灣,A1棟9號,
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮富漁三路,19.39,住,,,1130322,土地1建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.39,2,2,2,有,無,6550000,70180,坡道平面,22.02,1050000,,RPSNMLPLLHJGFDT17CB,東津灣,B5棟4號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉香楊路1巷,48.78,住,,,1130308,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.71,3,2,2,有,無,10850000,76730,一樓平面,9.9,1350000,,RPPNMLQLLHJGFAT66CB,屏蒔,B棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市公裕街169巷,54.72,住,,,1130303,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,129.09,3,2,2,有,無,8950000,69331,一樓平面,0.0,0,,RPQNMLQLLHJGFAT76CB,禾風3期,B棟A2-2F號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉延平路,23.24,,工業區,丁種建築用地,1130307,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,125.82,2,2,2,有,無,7680000,61040,坡道平面,19.78,0,,RPQNMLQLLHJGFCT96CB,福樂家,B棟1號,
