鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
新埔鎮,房地(土地+建物),新竹縣新埔鎮仰德段1723地號,76.96,,鄉村區,乙種建築用地,1071107,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,183.58,4,2,4,有,無,12100000,65911,,0.0,0,,RPUPMLRLQHPFFBJ57CB,元方 禾建築,
新埔鎮,房地(土地+建物),新竹縣新埔鎮仰德段1723地號,72.98,,鄉村區,乙種建築用地,1071106,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,172.4,4,2,4,有,無,11890000,68968,,0.0,0,,RPVPMLRLQHPFFBJ67CB,元方 禾建築,
新埔鎮,房地(土地+建物),新竹縣新埔鎮仰德段1723地號,78.35,,鄉村區,乙種建築用地,1071108,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,180.4,4,2,4,有,無,12450000,69013,,0.0,0,,RPWPMLRLQHPFFBJ77CB,元方 禾建築,
竹北市,房地(土地+建物)+車位,新竹縣竹北市站前段517地號,15.94,商,,,1090207,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,3,2,2,有,無,9750000,90119,坡道平面,30.72,1450000,,RPRPMLMLIIPFFBJ68CB,站前之星,
竹北市,房地(土地+建物)+車位,新竹縣竹北市站前段517地號,15.94,商,,,1090426,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,3,2,2,有,無,9850000,91748,坡道平面,30.72,1400000,,RPTPMLMLIIPFFBJ88CB,站前之星,
竹北市,房地(土地+建物)+車位,新竹縣竹北市站前段517地號,15.94,商,,,1090802,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,3,2,2,有,無,9450000,87405,坡道平面,30.72,1400000,,RPUPMLMLIIPFFBJ98CB,站前之星,
竹北市,房地(土地+建物)+車位,新竹縣竹北市站前段517地號,15.94,商,,,1090627,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,3,2,2,有,無,9530000,88817,坡道平面,30.72,1350000,,RPVPMLMLIIPFFBJ09CB,站前之星,
竹北市,房地(土地+建物)+車位,新竹縣竹北市站前段517地號,15.94,商,,,1090726,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,3,2,2,有,無,9930000,90988,坡道平面,30.72,1550000,,RPWPMLMLIIPFFBJ56CB,站前之星,
竹北市,房地(土地+建物)+車位,新竹縣竹北市站前段517地號,15.94,商,,,1090719,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.82,3,2,2,有,無,9880000,91007,坡道平面,29.64,1400000,,RPOQMLMLIIPFFBJ48CB,站前之星,
