鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
草屯鎮,租賃房屋,南投縣草屯鎮石川路２２-１８號,1678.0,,特定農業區,農牧用地,1131111,土地1建物1車位0,一層,,倉庫,,,,1176.0,0,0,0,無,無,無,159290,,,0.0,0,租金總額含稅；含增建或未登記建物；,RPPNMLMKJIJGFBM18CC,,無,1131201~1141130,無,,
草屯鎮,租賃房屋+車位,南投縣草屯鎮新富路１２９號９F之３,3272.4,住,,,1131111,土地1建物1車位1,見其他登記事項,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100910,75.1,3,2,2,有,有,有,32500,433,坡道平面,0.0,0,,RPPNMLOKJIJGFBM38CC,整棟(戶)出租,有,1131114~1141113,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般包租
埔里鎮,土地,南村段446地號,215.0,,特定農業區,農牧用地,1131113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,33000,153,,0.0,0,,RPPNMLOKJIJGFCM58DC,,,1131201~1161130,,,
草屯鎮,租賃房屋,南投縣草屯鎮富中路５７號３樓,0.0,,,,1131112,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.980000000000004,4,0,4,有,有,有,6500,171,,0.0,0,,RPQNMLPKJIJGFBM58CC,分租套房,有,1131112~1141111,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路５７號３樓,0.0,,,,1131113,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.980000000000004,4,0,4,有,有,有,6300,166,,0.0,0,,RPRNMLPKJIJGFBM68CC,分租套房,有,1131113~1141112,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
南投市,租賃房屋,南投縣南投市育樂路３７之９號,0.0,,,,1131115,土地0建物1車位0,一層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820322,124.75,3,1,2,有,無,有,12000,96,,0.0,0,,RPPNMLSKJIJGFAM68CC,整棟(戶)出租,無,1131201~1141130,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮富中路７５號３樓,0.0,,,,1131112,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,40.64,4,0,4,有,有,有,6000,148,,0.0,0,,RPPNMLSKJIJGFBM78CC,分租套房,有,1131112~1141111,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
南投市,租賃房屋,南投縣南投市育樂一路２５號,105.0,住,,,1131118,土地1建物1車位0,見其他登記事項,3,店面(店鋪),店舖、住宅、樓梯間,鋼筋混凝土造,1030604,214.0,4,3,4,有,無,無,30000,140,,0.0,0,租金每半個月15000元，以每半個月繳交,RPPNMLSKJIJGFAM78DC,,無,1131201~1161130,無,,
草屯鎮,租賃房屋,南投縣草屯鎮富中路５９號６樓,0.0,,,,1131115,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.85,4,0,4,有,有,有,6500,172,,0.0,0,,RPPNMLTKJIJGFBM88CC,分租套房,有,1131115~1141114,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
