鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
佳里區,房地(土地+建物)+車位,臺南市佳里區佳西路482號對面,30.85,住,,,1140118,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.05,2,2,2,有,無,7130000,74860,一樓平面,10.5,1100000,,RPPNMLNJKHKGFGD77CB,慕光里2,A棟2號,
善化區,房地(土地+建物)+車位,臺南市善化區興華路,21.19,住,,,1140117,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,147.77,3,2,2,有,無,17760000,136316,坡道平面,32.89,2100000,,RPPNMLNJKHKGFHD87CB,興華苑,1棟13A號,
永康區,房地(土地+建物)+車位,臺南市永康區王行路898巷,27.62,住,,,1140120,土地2建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.56,3,2,2,有,無,12520000,93031,坡道平面,27.03,1400000,,RPPNMLNJKHKGFKD18CB,上宇LINK,A棟3號,
永康區,房地(土地+建物)+車位,臺南市永康區王行路898巷,18.56,住,,,1140120,土地2建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.65,2,2,1,有,無,8080000,84098,坡道平面,27.03,1300000,,RPQNMLNJKHKGFKD28CB,上宇LINK,A棟6號,
永康區,房地(土地+建物)+車位,臺南市永康區王行路898巷,18.56,住,,,1140125,土地2建物1車位1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.65,2,2,1,有,無,8420000,88316,坡道平面,27.03,1300000,,RPRNMLNJKHKGFKD38CB,上宇LINK,A棟6號,
永康區,房地(土地+建物)+車位,臺南市永康區王行路898巷,26.89,住,,,1140125,土地2建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.38,3,2,2,有,無,11850000,89815,坡道平面,27.03,1400000,,RPSNMLNJKHKGFKD48CB,上宇LINK,A棟7號,
麻豆區,房地(土地+建物)+車位,臺南市麻豆區新生南路,40.12,住,,,1140121,土地2建物1車位2,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.87,3,2,2,有,無,16430000,89799,坡道平面,56.2,2900000,,RPPNMLNJKHKGFFD77DB,諧作悅,D棟1號,
麻豆區,房地(土地+建物)+車位,臺南市麻豆區新生南路,40.12,住,,,1140124,土地2建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.12,3,2,2,有,無,15170000,91392,坡道平面,26.45,1400000,,RPRNMLNJKHKGFFD97DB,諧作悅,D棟1號,
北區,房地(土地+建物),臺南市北區文賢路1122巷和中華北路二段41巷路口,66.63,住,,,1140123,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,169.64,2,2,2,有,無,31880000,187927,,0.0,0,,RPRNMLOJKHKGFAD47CB,翰元.文元,A棟1號,1140627全部解約
中西區,房地(土地+建物)+車位,臺南市中西區忠明街,13.07,商,,,1140120,土地2建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.08,1,1,2,有,無,12490000,139988,升降機械,9.43,1200000,,RPTNMLOJKHKGFAD67CB,純在海安,A2-7F棟0號,
中西區,房地(土地+建物),臺南市中西區忠明街,13.32,商,,,1140203,土地2建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.19,1,1,2,有,無,10170000,123738,,0.0,0,,RPUNMLOJKHKGFAD77CB,純在海安,A2-5F棟0號,
安南區,房地(土地+建物)+車位,臺南市安南區安中路一段,24.81,住,,,1140112,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.47,3,2,2,有,無,15570000,120966,坡道平面,34.81,1700000,,RPPNMLOJKHKGFBD37CB,敘禾苑,A棟1號,
安南區,房地(土地+建物)+車位,臺南市安南區安中路一段,20.09,住,,,1140112,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.25,2,2,2,有,無,12100000,117338,坡道機械,18.93,1150000,,RPQNMLOJKHKGFBD47CB,敘禾苑,C棟1號,
安南區,房地(土地+建物)+車位,臺南市安南區海佃路二段342巷,74.5,住,,,1140107,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,174.84,3,2,4,有,無,17850000,102093,一樓平面,0.0,0,,RPRNMLOJKHKGFBD57CB,戀家23期,B棟1號,
安南區,房地(土地+建物)+車位,臺南市安南區海佃路二段342巷,74.5,住,,,1140107,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,174.84,3,2,4,有,無,17850000,102093,一樓平面,0.0,0,,RPSNMLOJKHKGFBD67CB,戀家23期,B棟3號,
新化區,房地(土地+建物)+車位,臺南市新化區中正路691巷32之1號旁,36.93,住,,,1140112,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.74,3,2,2,有,無,9500000,83429,一樓平面,14.85,1500000,,RPPNMLOJKHKGFHD97CB,蒔暙,A棟1號,
永康區,房地(土地+建物)+車位,臺南市永康區平道十六街與水漾路交叉口,26.75,住,,,1140118,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.89,3,2,2,有,無,20700000,134624,坡道平面,24.87,1850000,,RPPNMLOJKHKGFKD28CB,遠雄山禾,C棟C06F06號,
安南區,房地(土地+建物),臺南市安南區安佃五街與安佃七街交叉口,79.1,住,,,1140119,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,170.44,4,2,5,有,無,18300000,107369,,0.0,0,,RPPNMLPJKHKGFBD47CB,非凡原墅31,A棟3號,
安南區,房地(土地+建物),臺南市安南區安佃五街與安佃七街交叉口,68.48,住,,,1140119,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,165.58,4,2,4,有,無,14600000,88175,,0.0,0,,RPRNMLPJKHKGFBD67CB,非凡原墅31,B棟10號,
東區,房地(土地+建物)+車位,臺南市東區中華東路一段與瑞祥街交叉口,15.48,商,,,1140118,土地2建物1車位2,四層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,216.53,4,2,2,有,無,32050000,167273,坡道平面,54.22,4900000,,RPPNMLPJKHKGFCD57CB,浩瀚無極,A棟A2號,
東區,房地(土地+建物)+車位,臺南市東區仁和路62號一樓旁,14.06,住,,,1140117,土地6建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.75,2,2,2,有,無,14170000,139641,坡道平面,29.24,1950000,,RPQNMLPJKHKGFCD67CB,宏福悅,A棟A7-3F號,
東區,房地(土地+建物)+車位,臺南市東區仁和路62號一樓旁,11.02,住,,,1140116,土地6建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.75,1,2,1,有,無,11480000,139104,坡道平面,29.24,1950000,,RPRNMLPJKHKGFCD77CB,宏福悅,C棟C5-7F號,
佳里區,房地(土地+建物),臺南市佳里區嘉福里,105.71,,鄉村區,乙種建築用地,1140115,土地2建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,139.03,3,2,4,有,無,10180000,73222,,0.0,0,,RPPNMLPJKHKGFGD97CB,吾映良品20,B棟3號,
新市區,房地(土地+建物)+車位,臺南市新市區富林路跟光明街口,20.19,住,,,1140119,土地1建物1車位1,十八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.93,3,2,2,有,無,16920000,144813,坡道平面,26.21,1900000,,RPPNMLPJKHKGFHD08CB,曦湖,A5號,
