鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
造橋鄉,房地(土地+建物),苗栗縣造橋鄉朝陽村１１鄰後湖內２３號,101.0,,山坡地保育區,丙種建築用地,1121229,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0710927,153.44,3,2,2,有,無,2400000,15641,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLSKJHJGFDK66DA,153.44,0.0,0.0,無,
造橋鄉,房地(土地+建物),苗栗縣造橋鄉朝陽村４鄰朝陽路５５之１號,1200.92,,特定農業區,農牧用地,1121220,土地1建物1車位0,全,三層,透天厝,農業用,鋼筋混凝土造,0740615,200.1,3,2,2,有,無,12800000,63968,,0.0,0,農舍其他增建；,RPXNMLSKJHJGFDK76DA,200.1,0.0,0.0,無,
竹南鎮,土地,大埔段中大埔小段1316地號,1710.0,,特定農業區,農牧用地,1121205,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,3509,,0.0,0,,RPOOMLTKJHJGFDK68DA,0.0,0.0,0.0,無,0252
三義鄉,房地(土地+建物),苗栗縣三義鄉廣盛村４０鄰八股路館前５巷１之２０號,143.31,,山坡地保育區,丙種建築用地,1121217,土地4建物1車位0,全,三層,透天厝,住家用,鋼骨造,0960730,148.99,5,2,5,有,有,7000000,46983,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKLKIIGFEK08DA,137.03,0.0,11.96,無,
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉中平村２６鄰中興一街６之７號,29.45,,工業區,丁種建築用地,1121226,土地1建物1車位0,一層，二層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850507,124.86,3,1,2,有,無,3500000,28031,,0.0,0,,RPPNMLQKJHJGFEK48DA,102.98,3.21,4.43,無,0253
頭份市,房地(土地+建物)+車位,苗栗縣頭份市田寮里１鄰東田街４０巷４３號四樓,25.24,住,,,1121204,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0820726,131.9,3,2,2,有,有,6700000,50796,升降平面,0.0,0,,RPRNMLPKKIIGFFK78DA,86.43,0.0,9.97,有,
頭份市,房地(土地+建物),苗栗縣頭份市下興里１４鄰新興街５６之２４號,108.68,,山坡地保育區,丙種建築用地,1121204,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0841130,155.99,4,3,3,有,無,6500000,41669,,0.0,0,,RPTNMLTLKIIGFFK86DA,127.35,23.4,0.0,無,0254
頭份市,房地(土地+建物)+車位,苗栗縣頭份市文化里１６鄰八德二路１８９巷２５號,52.24,住,,,1121209,土地1建物1車位1,一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120217,154.67000000000002,3,2,2,有,有,12580000,81334,坡道平面,27.16,0,,RPVNMLQKJHJGFFK56DA,76.9,0.0,9.02,有,0255
頭份市,房地(土地+建物)+車位,苗栗縣頭份市忠孝里３鄰五福街５號,22.16,住,,,1121228,土地1建物1車位1,一層，二層，騎樓,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821116,123.03999999999999,2,2,2,有,有,7050000,57298,坡道平面,0.0,0,,RPPOMLQKJHJGFFK68DA,88.72,5.52,0.0,有,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市文化里１６鄰八德二路１８９巷１號八樓,29.62,住,,,1121214,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120217,154.93,3,2,2,有,有,13520000,87265,坡道平面,27.15,0,,RPPNMLKLJHJGFFK08DA,77.73,0.0,7.81,有,0256
