鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
埔里鎮,房地(土地+建物),南投縣埔里鎮東潤路,120.19,,特定農業區,甲種建築用地,1130919,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,137.94,3,2,4,有,無,11180000,81050,,0.0,0,,RPPNMLRLRHJGFCM86CB,謙原墅,A棟22號,
埔里鎮,房地(土地+建物),南投縣埔里鎮東潤路,98.23,,特定農業區,甲種建築用地,1130921,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,136.67,3,2,4,有,無,10380000,75949,,0.0,0,,RPQNMLRLRHJGFCM96CB,謙原墅,A棟12號,
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮建國路,37.41,住,,,1130908,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,108.41,2,2,1,有,無,6138000,70043,坡道平面,37.91,1200000,,RPQNMLRLRHJGFDM17DB,雙星280(I期),A棟18號,
南投市,房地(土地+建物)+車位,南投縣南投市光明南路,21.09,住,,,1130929,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.22,3,2,2,有,無,10830000,92091,坡道平面,26.45,1550000,,RPPNMLKMRHJGFAM68CB,三銳世紀,G棟1號,
鹿谷鄉,房地(土地+建物)+車位,南投縣鹿谷鄉中寮路與八德路,29.18,住,,,1130912,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.31,2,2,2,有,無,9650000,89315,坡道平面,33.06,1500000,,RPPNMLKMRHJGFDM98CB,自在溪頭二期,A棟5F-A3號,
南投市,房地(土地+建物)+車位,南投縣南投市光明南路,21.33,住,,,1130922,土地1建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.45,3,2,2,有,無,11500000,96569,坡道平面,26.45,1650000,,RPPNMLLJIIJGFAM67CB,三銳世紀,F棟5號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮中和路,22.38,,鄉村區,乙種建築用地,1130922,土地2建物1車位2,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.65,3,2,2,有,無,10100000,76387,升降機械,48.72,1550000,,RPPNMLLJIIJGFBM77CB,廣宣-水琉璃,B1棟04號,
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮建國路,60.16,住,,,1130912,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,151.37,3,2,2,有,無,9093000,69566,坡道平面,37.91,1200000,,RPPNMLLJIIJGFDM08DB,雙星280(I期),A棟14號,
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮建國路,48.26,住,,,1130916,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,165.09,3,2,2,有,無,8700000,68882,坡道平面,57.66,1300000,,RPQNMLLJIIJGFDM18DB,雙星228(II期),A棟13號,
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮建國四路,86.94,住,,,1130919,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,199.74,5,2,6,有,無,14880000,74497,一樓平面,0.0,0,,RPRNMLLJIIJGFDM28DB,微風,A棟3號,
