鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
七堵區,租賃房屋,基隆市七堵區明德一路４１之２號,0.0,,,,1130823,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700528,87.07,3,1,1,有,無,有,8000,92,,0.0,0,,RPQNMLRLQHJGFDC68CC,整棟(戶)出租,無,1130915~1140914,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
中正區,租賃房屋,基隆市中正區觀海街６號,0.0,,,,1130823,土地0建物1車位0,一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,129.44,3,2,2,有,有,有,16000,124,,0.0,0,,RPRNMLRLQHJGFDC78CC,整棟(戶)出租,有,1130831~1140830,有,冷氣、熱水器、電視機、瓦斯或天然氣,社會住宅代管
七堵區,租賃房屋,基隆市七堵區崇智街２７巷５號二樓,0.0,,,,1130823,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820628,88.45,3,1,2,有,無,有,13500,153,,0.0,0,,RPSNMLRLQHJGFDC88CC,整棟(戶)出租,無,1130830~1140829,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
暖暖區,租賃房屋,基隆市暖暖區源遠路１５２巷５９弄１號３樓,0.0,,,,1130825,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830627,71.17,2,2,1,有,有,有,14500,204,,0.0,0,,RPVNMLRLQHJGFDC56CC,整棟(戶)出租,無,1130831~1140830,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區東勢街４之１８號,0.0,,,,1130824,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720415,83.79,3,2,1,有,無,有,8500,101,,0.0,0,,RPWNMLRLQHJGFDC66CC,整棟(戶)出租,無,1130905~1140904,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
七堵區,租賃房屋,基隆市七堵區工東街２２號２樓之三,0.0,,,,1130825,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841227,113.38000000000001,3,2,2,有,有,有,14000,123,,0.0,0,,RPXNMLRLQHJGFDC76CC,整棟(戶)出租,有,1130825~1140824,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
七堵區,租賃房屋,基隆市七堵區實踐路１６８號３樓之１,0.0,,,,1130824,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850705,34.67,1,0,1,有,有,無,10000,288,,0.0,0,租金總額含管理費；,RPOOMLRLQHJGFDC58CC,獨立套房,無,1130901~1140831,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視,
信義區,租賃房屋,基隆市信義區深澳坑路１６６之２１號１０樓,0.0,,,,1130827,土地0建物1車位0,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840127,133.03,3,2,2,有,有,有,12000,90,,0.0,0,此物件純租金為12000元，另加管理費1400元由承租人負擔，合計13400元,RPPNMLSLQHJGFDC68CC,整棟(戶)出租,有,1130831~1140830,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區東勢街２６巷８５之２號,0.0,,,,1130826,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710524,88.6,3,2,2,有,無,有,15500,175,,0.0,0,,RPPNMLTLQHJGFDC78CC,整棟(戶)出租,無,1130909~1140908,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
信義區,租賃房屋,基隆市信義區深澳坑路１０９巷１３弄８號,0.0,,,,1130827,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830901,143.07999999999998,4,2,2,有,無,有,15000,105,,0.0,0,,RPQNMLTLQHJGFDC88CC,整棟(戶)出租,無,1130901~1140831,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區安一路２５６之２號,0.0,,,,1130826,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710227,51.26,2,2,1,有,無,有,10000,195,,0.0,0,,RPRNMLTLQHJGFDC98CC,整棟(戶)出租,無,1130909~1140908,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
仁愛區,租賃房屋,基隆市仁愛區獅球路４２巷３號６樓之１,0.0,,,,1130827,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110127,83.94,2,1,1,有,有,無,15000,179,,0.0,0,,RPSNMLTLQHJGFDC09CC,整棟(戶)出租,有,1130930~1140929,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區碇內街３９２號六樓,0.0,,,,1130828,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,78.52,2,1,1,有,有,有,9000,115,,0.0,0,,RPTNMLTLQHJGFDC56CC,整棟(戶)出租,有,1130920~1140919,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中山區,租賃房屋,基隆市中山區復興路２５９巷２３之３號３樓,0.0,,,,1130828,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830930,59.089999999999996,2,1,1,有,無,有,10000,169,,0.0,0,,RPUNMLTLQHJGFDC66CC,整棟(戶)出租,無,1130901~1140831,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
信義區,租賃房屋,基隆市信義區深溪路５５巷８４號六樓之５,0.0,,,,1130826,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,42.53,1,0,1,有,有,有,10500,247,,0.0,0,,RPVNMLTLQHJGFDC76CC,獨立套房,有,1130830~1140829,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,基隆市中正區調和街３００號十一樓之２,0.0,,,,1130827,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080212,63.239999999999995,1,0,1,有,有,有,12000,190,,0.0,0,管理費1500元。,RPWNMLTLQHJGFDC86CC,獨立套房,有,1130901~1140831,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
信義區,租賃房屋,基隆市信義區深溪路５５巷５０號３樓之４,0.0,,,,1130827,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,75.6,1,0,1,有,有,有,8000,106,,0.0,0,,RPXNMLTLQHJGFDC96CC,獨立套房,有,1130831~1140830,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
