鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
學甲區,房地(土地+建物),臺南市學甲區民族路72-8號隔壁,33.91,住,,,1131024,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.96,2,2,2,有,無,5250000,57718,,0.0,0,,RPPNMLMKJIJGFGD67CB,樂沐學學No.2,B棟5號,
學甲區,房地(土地+建物),臺南市學甲區濟生路6-13號對面,32.27,住,,,1131102,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.6,2,2,2,有,無,4880000,57683,,0.0,0,,RPQNMLMKJIJGFGD77CB,樂沐學學No.1,B棟1號,
學甲區,房地(土地+建物),臺南市學甲區濟生路6-13號對面,32.63,住,,,1131109,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.88,2,2,2,有,無,4880000,56823,,0.0,0,,RPRNMLMKJIJGFGD87CB,樂沐學學No.1,B棟3號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區智發五街152號對面,32.95,住,,,1131107,土地1建物1車位2,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.63,3,2,2,有,無,15910000,102560,坡道平面,54.34,2650000,,RPPNMLMKJIJGFID87CB,春福天蒔,A9-05F號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區智發五街152號對面,22.67,住,,,1131106,土地1建物1車位2,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.24,2,2,2,有,無,13080000,117323,坡道平面,54.34,2650000,,RPQNMLMKJIJGFID97CB,春福天蒔,A8-06F號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區智發五街152號對面,32.95,住,,,1131104,土地1建物1車位2,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.63,3,2,2,有,無,15810000,101787,坡道平面,54.34,2650000,,RPRNMLMKJIJGFID08CB,春福天蒔,A9-03F號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區智發五街152號對面,22.67,住,,,1131106,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.9,2,2,2,有,無,11480000,112823,坡道平面,25.0,1450000,,RPSNMLMKJIJGFID18CB,春福天蒔,A2-04F號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高發一路及歸仁十三路一段交叉路口,23.5,商,,,1131101,土地1建物1車位2,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.06,3,2,2,有,無,22050000,159397,坡道平面,50.88,3850000,,RPTNMLMKJIJGFID28CB,達麗世界仁,D1棟D1-15F號,
永康區,房地(土地+建物)+車位,臺南市永康區永善三街與永榮三街交叉路口,24.47,住,,,1131104,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.74,3,2,2,有,無,14600000,104435,坡道平面,31.74,1650000,,RPPNMLMKJIJGFKD08CB,日初,A2棟6號,
永康區,房地(土地+建物)+車位,臺南市永康區平道十六街與水漾路交叉口,17.64,住,,,1131102,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.61,3,2,1,有,無,13730000,131676,坡道平面,24.87,1650000,,RPQNMLMKJIJGFKD18CB,遠雄山禾,D棟D03F05號,1140627全部解約
永康區,房地(土地+建物)+車位,臺南市永康區平道十六街與水漾路交叉口,27.59,住,,,1131103,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.45,3,2,2,有,無,21770000,142410,坡道平面,24.87,1750000,,RPRNMLMKJIJGFKD28CB,遠雄山禾,A棟A06F07號,
永康區,房地(土地+建物)+車位,臺南市永康區平道十六街與水漾路交叉口,26.0,住,,,1131103,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.06,3,2,2,有,無,19320000,134064,坡道平面,24.87,1330000,,RPSNMLMKJIJGFKD38CB,遠雄山禾,B棟B03F11號,
關廟區,房地(土地+建物)+車位,臺南市關廟區中山路二段172號對面,37.69,住,,,1131108,土地2建物1車位2,七層,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,219.92,3,2,2,有,無,16700000,89115,坡道平面,62.82,2700000,,RPQNMLMKJIJGFID08DB,臺邦第一景II,B棟3號,
