鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹北市,租賃房屋+車位,新竹縣竹北市嘉興路３８４巷１７號３樓,0.0,,,,1131015,土地0建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830504,123.7,3,2,2,有,有,有,23000,186,升降機械,11.52,0,,RPPNMLOJJIJGFBJ97CC,整棟(戶)出租,有,1131101~1151101,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般包租
竹北市,租賃房屋,新竹縣竹北市新民街２１３巷７弄２號２樓,0.0,,,,1131030,土地0建物1車位0,二層,6,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850717,57.3,2,2,1,有,無,有,22000,384,,0.0,0,,RPQNMLOJJIJGFBJ08CC,整棟(戶)出租,無,1131030~1141114,無,冷氣、洗衣機、冰箱、瓦斯或天然氣,
竹北市,租賃房屋,新竹縣竹北市三民路２８１號,0.0,,,,1131028,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0710122,56.2,2,3,3,有,無,無,35100,625,,0.0,0,租金總額含水費；,RPPNMLPJJIJGFBJ08CC,分層出租,無,1131101~1161031,無,瓦斯或天然氣,一般轉租
竹北市,租賃房屋,新竹縣竹北市三民路２８１號,0.0,,,,1131102,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0710122,56.2,2,3,3,有,無,有,15000,267,,0.0,0,租金總額含水費；網路費；其他有線電視費；,RPQNMLPJJIJGFBJ18CC,分租套房,無,1131105~1141104,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市三民路２８１號,0.0,,,,1131028,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0710122,56.2,2,3,3,有,無,有,18000,320,,0.0,0,租金總額含水費；網路費；其他有線電視費；,RPRNMLPJJIJGFBJ28CC,分租套房,無,1131120~1141119,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
竹北市,租賃房屋+車位,新竹縣竹北市高鐵七路６５號８樓之７,13.94,其他,,,1131029,土地1建物1車位1,見其他登記事項,18,辦公商業大樓,商業用,鋼筋混凝土造,0990208,99.68,0,0,0,無,有,無,37000,371,坡道平面,37.64,0,租金總額含稅；,RPPNMLQJJIJGFBJ18CC,,有,1131101~1151031,有,,
竹北市,租賃房屋,新竹縣竹北市嘉豐七街１３９號８樓,0.0,,,,1131025,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),補習班,鋼筋混凝土造,1010518,394.33,0,0,0,無,有,無,136500,346,,0.0,0,租金總額含稅；,RPQNMLQJJIJGFBJ28CC,,有,1131201~1181130,有,冷氣,
竹北市,租賃房屋+車位,新竹縣竹北市嘉豐南路一段６２號１８樓,0.0,,,,1131101,土地0建物1車位3,十八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021110,375.41999999999996,4,2,3,有,有,有,60000,160,坡道平面,0.0,0,,RPRNMLQJJIJGFBJ38CC,整棟(戶)出租,有,1131101~1141031,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,
湖口鄉,租賃房屋,新竹縣湖口鄉松江一街４６號３樓,0.0,,,,1131031,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810422,32.980000000000004,1,0,1,有,有,有,6500,197,,0.0,0,,RPPNMLQJJIJGFDJ38CC,獨立套房,有,1131031~1141030,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市復興七路７號,85.98,住,,,1131107,土地1建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0960412,19.84,7,0,7,有,無,有,10000,504,,0.0,0,租金總額含水費；瓦斯費；網路費；,RPPNMLRJJIJGFBJ28CC,分租套房,無,1131110~1141109,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
竹北市,租賃房屋+車位,新竹縣竹北市台元二街１２號３樓之２,0.0,,,,1131028,土地0建物1車位8,三層,16,廠辦,工廠,鋼筋混凝土造,1120713,500.76,0,0,0,無,有,無,185100,370,坡道平面,0.0,0,租金總額含稅；,RPPNMLSJJIJGFBJ38CC,,有,1131101~1181031,有,,
湖口鄉,租賃房屋,新竹縣湖口鄉安宅一街６９號,25.0,,工業區,丁種建築用地,1131011,土地1建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860421,153.23,4,2,2,有,無,無,17000,111,,0.0,0,續租案件；,RPPNMLSJJIJGFDJ58CC,整棟(戶)出租,無,1131101~1141031,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市縣政三街２３巷２號４樓,0.0,,,,1131019,土地0建物0車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950403,40.0,4,0,4,有,無,無,20000,500,,0.0,0,含增建或未登記建物；續租案件；,RPPNMLLKJIJGFBJ77CC,分租套房,無,1131101~1141031,有,冷氣,一般轉租
竹北市,租賃房屋,新竹縣竹北市成功三路１３２號二樓之二,11.04,住,,,1131017,土地1建物1車位0,二層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0960606,42.35,1,1,1,有,有,有,14000,331,,0.0,0,,RPQNMLLKJIJGFBJ87CC,獨立套房,有,1131017~1141016,有,冷氣、洗衣機、電視機、冰箱,社會住宅代管
湖口鄉,租賃房屋,新竹縣湖口鄉汀州街４２號三樓,27.81,,工業區,丁種建築用地,1131014,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821119,82.23,3,2,1,有,有,有,19000,231,,0.0,0,,RPPNMLLKJIJGFDJ97CC,整棟(戶)出租,無,1131014~1141013,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新豐鄉,租賃房屋,新竹縣新豐鄉明新一街１４１號８樓,0.0,,,,1131107,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1101013,125.6,3,2,2,有,有,有,23000,183,,0.0,0,,RPQNMLLKJIJGFDJ08CC,整棟(戶)出租,有,1131107~1141106,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市復興七路７號,85.98,住,,,1131107,土地1建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0960412,19.84,7,0,7,有,無,有,8000,403,,0.0,0,租金總額含水費；瓦斯費；網路費；,RPPNMLMKJIJGFBJ87CC,分租套房,無,1131117~1141116,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市嘉豐七街１５３號４樓,0.0,,,,1131108,土地0建物0車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960712,23.14,12,0,12,有,無,有,11500,497,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；租賃建物部分範圍，且未計入共有部分面積；,RPQNMLMKJIJGFBJ97CC,分租套房,無,1131110~1141109,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市嘉豐七街１５３號４樓,0.0,,,,1131108,土地0建物0車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960712,23.14,12,0,12,有,無,有,11000,475,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPRNMLMKJIJGFBJ08CC,分租套房,無,1131115~1141114,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市復興七路５號,0.0,,,,1131108,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0960412,24.8,7,0,7,有,無,有,13000,524,,0.0,0,租金總額含水費；瓦斯費；網路費；,RPSNMLMKJIJGFBJ18CC,分租套房,無,1131110~1141109,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
湖口鄉,租賃房屋,新竹縣湖口鄉中華路１２０號,0.0,,,,1131104,土地0建物1車位0,三層,3,倉庫,廠房．防空避難室,鋼骨鋼筋混凝土造,0851106,4927.04,0,0,0,無,無,無,29400,,,0.0,0,承租整層部分範圍租金總額含稅；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLMKJIJGFDJ08CC,,無,1131201~1141130,無,,
新豐鄉,租賃房屋,新竹縣新豐鄉明新一街１３１號９樓,0.0,,,,1131107,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1101013,87.41,3,1,2,有,有,有,18000,206,,0.0,0,,RPQNMLMKJIJGFDJ18CC,整棟(戶)出租,有,1131107~1141106,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
新豐鄉,租賃房屋,新竹縣新豐鄉新興路３５巷６號南室,0.0,,,,1131107,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,36.06,1,0,1,有,有,有,8000,222,,0.0,0,管理費300元。,RPRNMLMKJIJGFDJ28CC,獨立套房,有,1131108~1141107,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,社會住宅包租轉租
竹北市,租賃房屋+車位,新竹縣竹北市自強南路８號８樓之１０,0.0,,,,1131017,土地0建物1車位1,見其他登記事項,23,辦公商業大樓,商業用,鋼筋混凝土造,0960528,86.65,0,0,0,無,有,無,35000,404,坡道平面,0.0,0,租金總額含稅；管理費；,RPPNMLNKJIJGFBJ97CC,,有,1131101~1151031,有,冷氣,
竹北市,租賃房屋+車位,新竹縣竹北市嘉豐北路３６號４樓,19.28,住,,,1131023,土地1建物1車位1,四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081014,123.58,2,2,1,有,有,有,35000,283,坡道平面,35.92,0,續租案件；,RPQNMLNKJIJGFBJ08CC,整棟(戶)出租,有,1131023~1141022,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
竹北市,租賃房屋+車位,新竹縣竹北市縣政二路南段１２９號八樓,0.0,,,,1131025,土地0建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011025,177.42,3,2,2,有,有,有,31986,180,坡道平面,22.39,0,,RPRNMLNKJIJGFBJ18CC,整棟(戶)出租,有,1131101~1141031,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
竹北市,租賃房屋,新竹縣竹北市福興路７５５巷２７弄２８號,0.0,,,,1131030,土地0建物0車位0,全,5,透天厝,商業用,鋼筋混凝土造,0940104,23.14,35,35,35,有,無,有,13500,583,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；,RPPNMLOKJIJGFBJ08CC,分租套房,無,1131101~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市福興路７５５巷２７弄２８號,0.0,,,,1131108,土地0建物0車位0,全,5,透天厝,商業用,鋼筋混凝土造,0940104,23.14,35,35,35,有,無,有,12500,540,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；,RPQNMLOKJIJGFBJ18CC,分租套房,無,1131108~1141107,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋+車位,新竹縣竹北市科大一路２００號六樓,0.0,,,,1131026,土地0建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010531,133.49,2,2,1,有,有,有,26000,195,坡道平面,30.01,0,,RPTNMLOKJIJGFBJ48CC,整棟(戶)出租,有,1131101~1141031,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
竹北市,租賃房屋,新竹縣竹北市台元一街１號２F之１,0.0,,,,1131108,土地0建物6車位0,見其他登記事項,14,廠辦,一般服務業,鋼筋混凝土造,0990305,3668.81,0,0,0,無,有,無,1057204,288,,0.0,0,租金總額含稅；含有多個門牌且未個別計算租金台元一街1號3F之5台元一街1號5F之1台元一街1號5F之2台元一街1號5F之3台元一街1號5F之5；續租案件；,RPUNMLOKJIJGFBJ58CC,,有,1131201~1161130,有,,
竹北市,租賃房屋,新竹縣竹北市台元二街１號３F之７,0.0,,,,1131107,土地0建物1車位0,三層,10,廠辦,工業用,鋼筋混凝土造,1040109,355.05,0,0,0,無,有,無,107400,302,,0.0,0,租金總額含稅；續租案件；,RPWNMLOKJIJGFBJ78CC,,有,1131201~1141130,有,,
竹北市,租賃房屋,新竹縣竹北市台元二街１號３樓之８,0.0,,,,1131107,土地0建物2車位0,三層,10,廠辦,工業用,鋼筋混凝土造,1040109,997.5,0,0,0,無,有,無,301000,302,,0.0,0,租金總額含稅；含有多個門牌且未個別計算租金台元二街1號3F之9；續租案件；,RPXNMLOKJIJGFBJ88CC,,有,1131201~1151130,有,,
竹北市,租賃房屋,新竹縣竹北市台元二街８之２號,0.0,,,,1131106,土地0建物1車位0,一層,11,廠辦,工廠,鋼筋混凝土造,1090826,781.37,0,0,0,無,有,無,308600,395,,0.0,0,租金總額含稅；續租案件；,RPOOMLOKJIJGFBJ08CC,,有,1140101~1151231,有,,
竹北市,租賃房屋,新竹縣竹北市光明九路３６號七樓,23.36,商,,,1131018,土地1建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910208,169.82,3,2,2,有,有,有,20000,118,,0.0,0,,RPPOMLOKJIJGFBJ18CC,整棟(戶)出租,有,1131108~1141107,有,冷氣、熱水器、洗衣機、冰箱、有線電視,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市縣政十街８號五樓之２,5.0,商,,,1131018,土地1建物1車位0,五層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0950908,38.06,1,1,1,有,有,有,14000,368,,0.0,0,續租案件；,RPROMLOKJIJGFBJ38CC,獨立套房,有,1131018~1141004,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
竹北市,租賃房屋+車位,新竹縣竹北市中華路１２９９之１６號四樓,25.16,,特定農業區,甲種建築用地,1131019,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120718,146.73000000000002,2,2,1,有,有,有,22000,150,坡道平面,0.0,0,,RPSOMLOKJIJGFBJ48CC,整棟(戶)出租,有,1131020~1141019,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
竹東鎮,租賃房屋,新竹縣竹東鎮生產街７８巷９號４樓,31.26,住,,,1131018,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0861020,115.83,3,2,2,有,無,有,10000,86,,0.0,0,,RPPNMLOKJIJGFCJ18CC,整棟(戶)出租,無,1131101~1141031,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
湖口鄉,租賃房屋,新竹縣湖口鄉嘉興路一段９５巷８號８樓之７,0.0,,,,1131106,土地0建物0車位0,八層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1101116,23.27,2,0,2,有,有,有,8500,365,,0.0,0,租金總額含管理費；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLOKJIJGFDJ28CC,分租套房,無,1131208~1141207,有,冷氣、熱水器、洗衣機、電視機、有線電視、網路,一般轉租
湖口鄉,租賃房屋,新竹縣湖口鄉德和路７６巷８號七樓之３,9.11,,鄉村區,乙種建築用地,1131019,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930705,31.729999999999997,1,1,1,有,有,無,7500,236,,0.0,0,,RPQNMLOKJIJGFDJ38CC,獨立套房,無,1131019~1141018,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市文興路一段１５０號４樓,0.0,,,,1131021,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,1051019,160.83,0,0,0,無,無,無,71681,446,,0.0,0,租金總額含稅；,RPTNMLPKJIJGFBJ58CC,,無,1131201~1181130,有,冷氣,
竹北市,租賃房屋,新竹縣竹北市嘉興路４４５巷６弄２６號,125.94,住,,,1131106,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0900202,302.33,5,2,3,有,無,無,50000,165,,0.0,0,,RPVNMLPKJIJGFBJ78CC,,無,1131201~1181130,無,瓦斯或天然氣,
竹北市,租賃房屋+車位,新竹縣竹北市莊敬六街２１號４樓,0.0,,,,1131021,土地0建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941114,155.51,3,2,2,有,有,無,20000,129,坡道平面,0.0,0,,RPWNMLPKJIJGFBJ88CC,整棟(戶)出租,有,1131115~1151114,有,冷氣、熱水器、瓦斯或天然氣,一般轉租
竹北市,租賃房屋,新竹縣竹北市光明六路２８３號３-４樓,0.0,,,,1131103,土地0建物1車位0,全,4,透天厝,店鋪、停車空間、辦公室、住宅,鋼骨造,0920630,271.81,0,0,0,無,無,無,52338,193,,0.0,0,租金總額含稅；,RPXNMLPKJIJGFBJ98CC,,無,1131201~1181130,無,,
竹北市,租賃房屋,新竹縣竹北市中山路６０７號,0.0,,,,1131024,土地0建物1車位0,一層,15,住宅大樓(11層含以上有電梯),店舖、集合住宅,鋼筋混凝土造,1121110,213.66,0,0,0,無,有,無,53476,250,,0.0,0,租金總額含稅；,RPOOMLPKJIJGFBJ18CC,,有,1131220~1161229,有,,
竹北市,租賃房屋,新竹縣竹北市成功二街１４５號４樓之６,0.0,,,,1131108,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970619,34.24,1,1,1,有,有,無,15000,438,,0.0,0,,RPPOMLPKJIJGFBJ28CC,獨立套房,有,1131110~1141109,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
關西鎮,租賃房屋,新竹縣關西鎮幸福街３１號３樓,0.0,,,,1131101,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1111201,83.0,1,1,1,有,有,有,25000,301,,0.0,0,,RPPNMLQKJIJGFBJ28CC,整棟(戶)出租,有,1131101~1140331,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市中正東路３８２號六樓,13.32,商,,,1131028,土地1建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830916,132.57999999999998,4,2,2,有,有,無,15000,113,,0.0,0,續租案件；,RPPNMLTKJIJGFBJ58CC,整棟(戶)出租,無,1131116~1141115,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋+車位,新竹縣竹北市成功十三街２０號,0.0,,,,1131101,土地0建物1車位1,五層,10,辦公商業大樓,辦公室,鋼筋混凝土造,1040604,137.26999999999998,0,0,0,無,有,無,31500,229,坡道平面,36.64,0,多人共同承租1；租金總額含稅；,RPQNMLTKJIJGFBJ68CC,,有,1131101~1151031,有,冷氣、冰箱,
