鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
板橋區,房地(土地+建物)+車位,新北市板橋區新北市板橋區環河西路四段A棟-2樓,33.16,住,,,1090504,土地1建物1車位1,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.35,4,2,2,有,無,27300000,153893,坡道平面,40.95,2000000,,RPPPMLNKQHPFFAF68CB,國泰田,
板橋區,房地(土地+建物)+車位,新北市板橋區新北市板橋區環河西路四段A棟3樓,33.54,住,,,1090209,土地1建物1車位1,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.35,4,2,2,有,無,27000000,154197,坡道平面,40.95,1650000,,RPQPMLNKQHPFFAF78CB,國泰田,
板橋區,房地(土地+建物)+車位,新北市板橋區新北市板橋區環河西路四段A棟4樓,32.78,住,,,1090410,土地1建物1車位1,四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.35,4,2,2,有,無,27200000,153893,坡道平面,40.95,1900000,,RPSPMLNKQHPFFAF98CB,國泰田,
板橋區,房地(土地+建物)+車位,新北市板橋區新北市板橋區環河西路四段C棟2樓,33.16,住,,,1090420,土地1建物1車位1,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.54,4,2,2,有,無,27600000,156753,坡道平面,40.95,1800000,,RPTPMLNKQHPFFAF09CB,國泰田,
泰山區,房地(土地+建物),新北市泰山區同榮段856地號等6筆C29F,14.86,商,,,1070714,土地1建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.73,2,2,1,有,無,9600000,92548,,0.0,0,,RPPRMLNKQHPFFBF98CB,合登上豪滿意,
泰山區,房地(土地+建物)+車位,新北市泰山區同榮段856地號等6筆C211F,15.05,商,,,1070805,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.5,2,2,1,有,無,11460000,93126,坡道平面,35.77,1800000,,RPRRMLNKQHPFFBF56CB,合登上豪滿意,
泰山區,房地(土地+建物)+車位,新北市泰山區同榮段856地號等6筆C214F,15.05,商,,,1061209,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.5,2,2,1,有,無,11180000,92355,坡道平面,35.77,1600000,,RPWRMLNKQHPFFBF07CB,合登上豪滿意,
泰山區,房地(土地+建物),新北市泰山區同榮段856地號等6筆C33F,12.22,商,,,1061021,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.16,2,2,1,有,無,7650000,90898,,0.0,0,,RPPSMLNKQHPFFBF09CB,合登上豪滿意,
泰山區,房地(土地+建物)+車位,新北市泰山區同榮段856地號等6筆C36F,12.33,商,,,1071027,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.56,2,2,1,有,無,9000000,87182,坡道平面,34.68,1600000,,RPPNMLPKQHPFFBF78CB,合登上豪滿意,
