鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳頂路A1棟8樓,21.34,商,,,1070624,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.53,2,2,2,有,無,8400000,53565,坡道平面,22.98,1300000,,RPQOMLLLQHPFFGE09CB,鳳凰YOUNG,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳頂路A1棟11樓,21.34,商,,,1080706,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.53,2,2,2,有,無,8900000,57697,坡道平面,30.74,1700000,,RPROMLLLQHPFFGE56CB,鳳凰YOUNG,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳頂路A2棟8樓,20.76,商,,,1080309,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.23,2,2,2,有,無,8000000,51774,坡道平面,22.98,1360000,,RPPNMLPLQHPFFGE66CB,鳳凰YOUNG,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳頂路A2棟13樓,20.76,商,,,1070812,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.23,2,2,2,有,無,8250000,53723,坡道平面,22.98,1360000,,RPVNMLPLQHPFFGE27CB,鳳凰YOUNG,
鳳山區,房地(土地+建物),高雄市鳳山區鳳頂路A3棟2樓,12.84,商,,,1070826,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.53,2,2,2,有,無,4050000,43302,,0.0,0,,RPWNMLPLQHPFFGE37CB,鳳凰YOUNG,
鳳山區,房地(土地+建物),高雄市鳳山區鳳頂路A3棟4樓,12.74,商,,,1080212,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.82,2,2,2,有,無,4280000,46111,,0.0,0,,RPXNMLPLQHPFFGE47CB,鳳凰YOUNG,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳頂路A3棟5樓,12.74,商,,,1071120,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.82,2,2,2,有,無,5400000,59565,坡道平面,22.98,1240000,,RPOOMLPLQHPFFGE66CB,鳳凰YOUNG,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳頂路A3棟6樓,12.74,商,,,1071114,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.82,2,2,2,有,無,5400000,59565,坡道平面,22.98,1240000,,RPPOMLPLQHPFFGE76CB,鳳凰YOUNG,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳頂路A3棟7樓,12.74,商,,,1080428,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.82,2,2,2,有,無,5400000,59565,坡道平面,22.98,1240000,,RPQOMLPLQHPFFGE86CB,鳳凰YOUNG,
