鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
中正區,房地(土地+建物)+車位,臺北市中正區杭州南一段４３號旁Ａ１－７Ｆ,20.4,商,,,1080730,土地28建物1車位2,七層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,317.84,3,2,2,有,無,96820000,367633,坡道平面,72.16,6500000,,RPWPMLNKQHPFFBA98CB,正隆官邸,
中正區,房地(土地+建物)+車位,臺北市中正區杭州南路一段４３號旁Ａ３－４Ｆ,17.83,商,,,1090814,土地28建物1車位1,四層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,241.65,3,2,2,有,無,69000000,323296,坡道平面,38.74,3400000,,RPSNMLQLQHPFFBA78CB,正隆官邸,
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東六段７８號２樓,34.7,住,,,1090718,土地21建物1車位2,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,250.51,4,2,2,有,無,37600000,175457,坡道平面,64.71,5000000,,RPXNMLQLQHPFFCA76CB,福一潭美,
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東六段７２號５樓,27.6,住,,,1090717,土地21建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.25,3,2,2,有,無,30800000,191586,坡道平面,29.97,2200000,,RPXOMLQLQHPFFCA86CB,福一潭美,
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７２號６樓,27.72,住,,,1090813,土地21建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.25,3,2,2,有,無,31300000,192926,坡道平面,29.97,2500000,,RPQPMLQLQHPFFCA88CB,福一潭美,
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７２號１０樓,27.6,住,,,1090628,土地21建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.25,3,2,2,有,無,33130000,207195,坡道平面,29.97,2200000,,RPSPMLQLQHPFFCA09CB,福一潭美,
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７６號１０樓,27.57,住,,,1090815,土地21建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.12,3,2,2,有,無,33460000,208247,坡道平面,29.97,2400000,,RPXPMLQLQHPFFCA96CB,福一潭美,
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７６號１１樓,27.68,住,,,1090628,土地21建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.89,3,2,2,有,無,33660000,208247,坡道平面,34.74,2600000,,RPQQMLQLQHPFFCA98CB,福一潭美,
大安區,房地(土地+建物),臺北市大安區和平東路二段76巷17弄3號文詠A-01F,27.88,住,,,1090130,土地3建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.98,3,2,2,有,無,44500000,449586,,0.0,0,,RPSOMLSLQHPFFFA86CB,台大龍門,
大安區,房地(土地+建物)+車位,臺北市大安區和平東路二段76巷17弄3號文詠A-03F,30.54,住,,,1090623,土地3建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,150.35,3,2,2,有,無,40500000,347979,升降平面,42.01,2800000,,RPTOMLSLQHPFFFA96CB,台大龍門,
大安區,房地(土地+建物)+車位,臺北市大安區和平東路二段76巷17弄3號文詠A-04F,30.54,住,,,1090322,土地3建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,150.35,3,2,2,有,無,40500000,351209,升降平面,42.01,2450000,,RPUOMLSLQHPFFFA07CB,台大龍門,
大安區,房地(土地+建物)+車位,臺北市大安區和平東路二段76巷17弄3號文詠A-05F,28.8,住,,,1090213,土地3建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.24,2,2,2,有,無,40360000,370830,升降平面,42.01,2450000,,RPVOMLSLQHPFFFA17CB,台大龍門,
大安區,房地(土地+建物)+車位,臺北市大安區和平東路二段76巷17弄3號文詠B-02F,20.33,住,,,1090425,土地3建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.1,2,2,1,有,無,27800000,351644,升降平面,42.01,2450000,,RPXOMLSLQHPFFFA37CB,台大龍門,
大安區,房地(土地+建物)+車位,臺北市大安區和平東路二段76巷17弄3號文詠B-03F,20.33,住,,,1090425,土地3建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.1,2,2,1,有,無,27800000,355112,升降平面,42.01,2200000,,RPOPMLSLQHPFFFA56CB,台大龍門,
