編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLLLQHNFFEH96EA,23,14.36,共有部份,鋼筋混凝土造,84年8月11日,二十層,,持分移轉
RPWNMLLLQHNFFEH96EA,23,13.03,共有部份,鋼筋混凝土造,84年8月11日,二十層,,持分移轉
RPWNMLLLQHNFFEH96EA,23,39.90,共有部份,鋼筋混凝土造,84年8月11日,二十層,,持分移轉
RPXNMLMKRHNFFBH66CA,26,34.42,住家用,鋼筋混凝土造,81年8月19日,六層,五層 陽台 花台,全筆移轉
RPXNMLMKRHNFFBH66CA,26,8.80,共有部份,鋼筋混凝土造,81年8月19日,六層,,持分移轉
RPXNMLMKRHNFFBH66CA,26,8.67,共有部份,鋼筋混凝土造,81年8月19日,六層,,持分移轉
RPTNMLQLRHNFFAH86EA,23,68.37,住家用,鋼筋混凝土造,84年4月25日,十六層,十一層 陽台,全筆移轉
RPTNMLQLRHNFFAH86EA,23,17.69,共有部份,鋼筋混凝土造,84年4月25日,十六層,,持分移轉
RPTNMLQLRHNFFAH86EA,23,37.51,防空避難室．停車場,鋼筋混凝土造,84年4月25日,十六層,地下三層 地下四層,持分移轉
RPTNMLQLRHNFFAH86EA,23,2.45,共有部份,鋼筋混凝土造,84年4月25日,十六層,,持分移轉
RPTNMLQLRHNFFAH86EA,23,2.01,共有部份,鋼筋混凝土造,84年4月25日,十六層,,持分移轉
RPPNMLKMQHNFFHH98CA,14,46.97,集合住宅、事務所及工商服務業、機械室、停車空間,鋼筋混凝土造,93年12月8日,五層,一層 陽台 夾層,持分移轉
RPPNMLKMQHNFFHH98CA,14,9.32,共有部份,鋼筋混凝土造,93年12月8日,五層,,持分移轉
RPRNMLQJRHNFFHH96CA,38,59.35,住家用,鋼筋混凝土造,69年8月6日,五層,五層,全筆移轉
RPQNMLMLQHNFFHH56CA,13,18.47,住家用,鋼筋混凝土造,94年12月24日,六層,三層 陽台 雨遮,全筆移轉
RPQNMLMLQHNFFHH56CA,13,12.52,共有部份,鋼筋混凝土造,94年12月24日,六層,,持分移轉
RPRNMLKLRHNFFHH66DA,13,102.70,住家用,鋼筋混凝土造,94年6月9日,九層,六層 陽台 雨遮,全筆移轉
RPRNMLKLRHNFFHH66DA,13,59.07,共有部份,鋼筋混凝土造,94年6月9日,九層,,持分移轉
RPPNMLTLQHNFFEH86CA,6,85.69,住家用,鋼筋混凝土造,101年4月26日,十四層,二層 陽台 雨遮,全筆移轉
RPPNMLTLQHNFFEH86CA,6,67.49,共有部份,鋼筋混凝土造,101年4月26日,十五層,,持分移轉
RPTOMLRLQHNFFEH17CA,14,.08,管理室,鋼筋混凝土造,93年11月17日,十二層,,持分移轉
RPTOMLRLQHNFFEH17CA,14,26.51,共有部份,鋼筋混凝土造,93年11月17日,十二層,,持分移轉
RPTOMLRLQHNFFEH17CA,14,106.76,住家用,鋼筋混凝土造,93年11月17日,十二層,五層 陽台 雨遮,全筆移轉
RPTOMLRLQHNFFEH17CA,14,24.75,共有部份,鋼筋混凝土造,93年11月17日,十二層,,持分移轉
RPTOMLRLQHNFFEH17CA,14,11.98,共有部份,鋼筋混凝土造,93年11月17日,十二層,,持分移轉
RPQPMLNKRHNFFDH09CA,4,268.71,住宅、住宅（附屬停車空間）（附屬樓梯間）,鋼筋混凝土造,103年12月5日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPQPMLNKRHNFFDH09CA,4,.68,住家用,鋼筋混凝土造,103年12月5日,一層,一層,持分移轉
RPVQMLSKRHNFFCH47CA,24,72.80,住家用,鋼筋混凝土造,83年10月11日,六層,四層 陽台,全筆移轉
RPVQMLSKRHNFFCH47CA,24,11.08,樓梯間、水箱、機械房,鋼筋混凝土造,83年10月11日,六層,,持分移轉
RPVQMLSKRHNFFCH47CA,24,31.62,停車場、防空避難室、儲藏室,鋼筋混凝土造,83年10月11日,六層,,持分移轉
RPTNMLNLQHNFFCH09CA,21,109.34,共同使用（防空避難室，停車場）,鋼筋混凝土造,86年6月26日,十八層,,持分移轉
RPTSMLRJRHNFFAH07CA,,56.81,住家用,鋼筋混凝土造,107年6月1日,十五層,三層 陽台,全筆移轉
RPTSMLRJRHNFFAH07CA,,67.95,本共有部分之項目有附屬（防空避難室兼停車空間、機房、水箱、停車空間、機械室、垃圾儲藏室、台電配電場所、管委會使用空間、公共服務空間、樓電梯間、樓梯間、電梯機房）等項。,鋼筋混凝土造,107年6月1日,十五層,,持分移轉
RPSSMLRJRHNFFAH96CA,,81.72,住家用,鋼筋混凝土造,107年6月1日,十五層,十二層 陽台,全筆移轉
RPSSMLRJRHNFFAH96CA,,80.52,本共有部分之項目有附屬（防空避難室兼停車空間、機房、水箱、停車空間、機械室、垃圾儲藏室、台電配電場所、管委會使用空間、公共服務空間、樓電梯間、樓梯間、電梯機房）等項。,鋼筋混凝土造,107年6月1日,十五層,,持分移轉
RPTOMLMKRHNFFBH98CA,23,23.15,住家用,鋼筋混凝土造,84年9月23日,七層,六層 陽台,全筆移轉
RPTOMLMKRHNFFBH98CA,23,15.06,共有部份,鋼筋混凝土造,84年9月23日,七層,,持分移轉
RPVRMLSKRHNFFCH57CA,37,95.50,農舍,加強磚造,70年5月16日,一層,一層,全筆移轉
RPOOMLTJRHNFFDH66CA,,67.39,集合住宅,鋼筋混凝土造,107年6月7日,五層,三層 陽台,全筆移轉
RPWOMLTJRHNFFDH47CA,,214.46,集合住宅,鋼筋混凝土造,107年6月7日,四層,一層 二層 三層 四層 陽台 屋簷,全筆移轉
RPOOMLTJRHNFFDH66CA,,16.71,樓梯間、機械室、集合住宅（附屬停車空間）,鋼筋混凝土造,107年6月7日,五層,,持分移轉
RPXOMLTJRHNFFDH57CA,,191.84,集合住宅、集合住宅（附屬停車空間）,鋼筋混凝土造,107年6月7日,四層,一層 二層 三層 四層 陽台 屋簷,全筆移轉
