鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉土圍路８之１６號,187.18,,特定農業區,農牧用地,1120616,土地3建物1車位0,一層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130628,90.58,2,2,2,有,無,7200000,79488,,0.0,0,不動產交易總價含農地價格68萬元整本案為信託財產，委託人:昌進工程有限公司原預售屋簽約人為胡00，後買賣交易登記權利人為配偶范00。預售屋、或土地及建物分件登記案件；,RPUOMLOLRHJGFBG09DA,66.26,0.0,7.24,有,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉土圍路８之１９號,184.5,,特定農業區,農牧用地,1120622,土地3建物1車位0,一層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130628,83.36999999999999,2,2,2,有,無,6870000,82404,,0.0,0,不動產交易總價含農地價格68萬元整本案為信託財產，委託人:昌進工程有限公司預售屋、或土地及建物分件登記案件；,RPSPMLOLRHJGFBG98DA,60.66,0.0,7.05,有,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉土圍路８之１６號二樓,188.01,,特定農業區,農牧用地,1120616,土地3建物1車位0,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130628,92.62,2,2,2,有,無,6470000,69855,,0.0,0,不動產交易總價含農地價格68萬元整本案為信託財產，委託人:昌進工程有限公司預售屋、或土地及建物分件登記案件；,RPWPMLOLRHJGFBG76DA,67.96,0.0,7.19,有,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉土圍路８之１７號三樓,187.12,,特定農業區,農牧用地,1120619,土地3建物1車位0,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130628,89.62,2,2,2,有,無,6830000,76211,,0.0,0,不動產交易總價含農地價格68萬元整本案為信託財產，委託人:昌進工程有限公司預售屋、或土地及建物分件登記案件；,RPSQMLOLRHJGFBG09DA,65.53,0.0,7.19,有,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉土圍路８之１６號三樓,188.01,,特定農業區,農牧用地,1120608,土地3建物1車位0,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130628,92.62,2,2,2,有,無,6730000,72662,,0.0,0,不動產交易總價含農地價格68萬元整本案為信託財產，委託人:昌進工程有限公司預售屋、或土地及建物分件登記案件；,RPVQMLOLRHJGFBG76DA,67.96,0.0,7.19,有,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉土圍路８之１８號四樓,190.84,,特定農業區,農牧用地,1120617,土地3建物1車位0,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130628,98.71000000000001,2,2,2,有,無,7770000,78715,,0.0,0,不動產交易總價含農地價格68萬元整本案為信託財產，委託人:昌進工程有限公司預售屋、或土地及建物分件登記案件；,RPOQMLOLRHJGFBG68DA,72.79,0.0,7.39,有,
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮沙成路２巷６９號三樓之二,35.44,住,,,1120602,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130808,110.57,2,1,1,有,有,7500000,74743,一樓平面,20.93,800000,預售屋、或土地及建物分件登記案件；,RPSNMLLJJIJGFBG57DA,59.66,0.0,3.99,有,
三星鄉,房地(土地+建物),宜蘭縣三星鄉大排五路７５號,80.48,,鄉村區,乙種建築用地,1120630,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土（ＲＣ）,1130704,148.27,4,2,3,有,有,9180000,61914,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPPMLRLJIJGFAG28EA,133.26,0.0,15.01,無,
冬山鄉,土地,武淵一段107地號,1221.82,,特定農業區,農牧用地,1120610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7380000,6040,,0.0,0,本案為配建農舍建物由買方出資興建,RPPPMLSLJIJGFAG38EA,0.0,0.0,0.0,無,0510
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市雪峰路１０７巷６號三樓,41.52,,特定農業區,甲種建築用地,1120518,土地1建物1車位1,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130625,113.88999999999999,2,2,2,有,有,8500000,74633,一樓平面,0.0,900000,預售屋、或土地及建物分件登記案件；,RPRPMLSKRHJGFBG56DA,70.15,0.0,4.98,有,
