ad_year,roc_year,district,total_pop,pop_0_4,ratio_0_4,pop_65_plus,ratio_65_plus
2024,113,內湖區,273748,9876,0.036077,52695,0.192495
2024,113,北投區,240623,7628,0.031701,53565,0.22261
2024,113,南港區,112643,3680,0.03267,23671,0.210142
2024,113,士林區,264194,7881,0.02983,63863,0.241728
2024,113,大同區,118992,3728,0.03133,27379,0.230091
2024,113,大安區,289908,9457,0.032621,72468,0.249969
2024,113,文山區,258333,7624,0.029512,54449,0.210771
2024,113,松山區,191826,6018,0.031372,46096,0.240301
2024,113,萬華區,171915,4722,0.027467,43334,0.252066
2025,114,中山區,212152,6069,0.028607,53502,0.252187
2025,114,中正區,144109,4616,0.032031,34235,0.237563
2025,114,信義區,201446,5751,0.028549,52675,0.261484
2025,114,內湖區,267959,8947,0.033389,54940,0.205031
2025,114,北投區,235678,6834,0.028997,55204,0.234235
2025,114,南港區,111239,3390,0.030475,24589,0.221047
2025,114,士林區,258163,7247,0.028071,65459,0.253557
2025,114,大同區,116618,3431,0.029421,28006,0.240152
2025,114,大安區,282328,8707,0.03084,73355,0.259822
2025,114,文山區,253822,7053,0.027787,56418,0.222274
2025,114,松山區,187318,5645,0.030136,46842,0.250067
2025,114,萬華區,168675,4213,0.024977,44576,0.264272
