鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新莊區,房地(土地+建物),新北市新莊區長青街３５巷２８號二樓,26.76,都市：其他:道路用地,,,1131103,土地2建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660818,86.3,3,2,1,有,無,9000000,104287,,0.0,0,陽台外推；其他增建；,RPTOMLLKKIJGFBF87DA,86.3,0.0,0.0,無,
五股區,房地(土地+建物)+車位,新北市五股區四維路１１４之８號六樓,35.96,工,,,1131114,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0960525,205.13,4,1,2,有,有,3850000,18769,坡道平面,39.54,0,親友、員工、共有人或其他特殊關係間之交易；,RPOPMLQLKIJGFBF08DA,108.18,3.9,10.71,有,
林口區,土地,嘉寶三段647地號,71.05,都市：其他:保護區,,,1131126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,216000,3040,,0.0,0,地清或未辦繼承標售；,RPSNMLKMKIJGFBF77DA,0.0,0.0,0.0,無,
林口區,土地,嘉寶三段648地號,105.0,都市：其他:保護區,,,1131126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,318000,3029,,0.0,0,地清或未辦繼承標售；,SPSNMLKMKIJGFBF87DA,0.0,0.0,0.0,無,
林口區,土地,嘉寶三段649地號,42.35,都市：其他:保護區,,,1131126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,127000,2999,,0.0,0,地清或未辦繼承標售；,TPSNMLKMKIJGFBF97DA,0.0,0.0,0.0,無,
新店區,房地(土地+建物),新北市新店區明德路４０號二樓,28.79,住,,,1131127,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731106,104.87,3,2,2,有,無,18300000,174502,,0.0,0,陽台外推；其他增建；,RPQNMLKMJIJGFCF57DA,95.32,0.0,9.55,無,
深坑區,房地(土地+建物)+車位,新北市深坑區翠谷街８５號二樓之１０,10.65,,鄉村區,乙種建築用地,1131106,土地2建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1070904,44.36,1,1,1,有,有,4380000,98738,升降機械,9.7,0,,RPUNMLQLKIJGFCF58DA,15.98,0.0,3.0,有,
汐止區,房地(土地+建物),新北市汐止區大同路一段１８１號１２樓之２,26.34,工,,,1131127,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),工業用,鋼筋混凝土造,0830115,288.45000000000005,0,0,0,無,有,17841599,61853,,0.0,0,,RPVNMLPJKIJGFDF48DA,173.32,0.0,37.73,有,
汐止區,房地(土地+建物),新北市汐止區大同路一段１８３號１２樓,22.75,工,,,1131127,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),工業用,鋼筋混凝土造,0830115,245.07,0,0,0,無,有,15158401,61853,,0.0,0,,RPWNMLPJKIJGFDF58DA,149.61,0.0,28.26,有,
汐止區,房地(土地+建物)+車位,新北市汐止區忠孝東路４９２之３號十一樓,18.35,住,,,1131119,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1050530,126.63,2,2,1,有,有,18250000,175521,坡道機械,31.2,1500000,,RPROMLMKKIJGFDF97DA,57.51,4.47,5.23,有,02133
汐止區,房地(土地+建物),新北市汐止區福德一路１０３號九樓,11.52,住,,,1131112,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970722,76.78,2,1,1,有,有,14000000,182339,,0.0,0,其他增建；,RPPNMLOLKIJGFDF97DA,42.31,0.9,6.27,有,02134
汐止區,房地(土地+建物),新北市汐止區力行街５９巷１號５樓,16.17,住,,,1131102,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690331,57.21,3,3,2,有,無,8150000,142458,,0.0,0,頂樓加蓋格局:5樓2房2廳1衛、6樓1房1廳1衛頂樓加蓋；,RPRNMLOLKIJGFDF18DA,47.45,0.0,9.76,無,02135
淡水區,房地(土地+建物),新北市淡水區淡金路１４號十四樓之２,12.88,商,,,1131116,土地1建物1車位0,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960827,86.50999999999999,2,2,1,有,有,11200000,129465,,0.0,0,陽台外推；其他增建；,RPOOMLKKKIJGFEF57DA,47.72,0.0,6.42,有,
淡水區,房地(土地+建物)+車位,新北市淡水區新民街一段９３號十三樓,50.12,住,,,1131120,土地1建物1車位2,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981225,310.39,4,2,2,有,有,23800000,87819,坡道平面,55.32,1400000,,RPXNMLKLKIJGFEF48DA,150.22,0.0,29.08,有,
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段３２２號,17.3,住,,,1131129,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040515,145.18,3,2,2,有,有,13500000,92988,坡道平面,36.85,0,,RPRNMLKMKIJGFEF97DA,73.07,0.0,0.0,有,02136
蘆洲區,房地(土地+建物),新北市蘆洲區民義街３號二樓,23.15,住,,,1131112,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110301,124.53,3,2,2,有,有,26000000,208785,,0.0,0,其他增建；,RPWQMLKLJIJGFGF78DA,71.5,3.84,8.24,有,
三重區,房地(土地+建物),新北市三重區龍濱路２０５巷１８號三樓,24.39,住,,,1131114,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730804,78.7,3,2,1,有,無,9000000,114358,,0.0,0,,RPQOMLNLKIJGFGF38DA,74.67,0.0,4.03,無,
三重區,房地(土地+建物)+車位,新北市三重區仁政街２０１巷７號十一樓,8.38,商,,,1131122,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040430,93.78999999999999,2,2,1,有,有,17000000,182495,塔式車位,10.5,1800000,,RPUOMLRLKIJGFGF56DA,53.38,3.27,1.64,有,02137
中和區,房地(土地+建物),新北市中和區景平路１８２號三十二樓之二,2.63,都市：其他:住宅區,,,1131113,土地4建物1車位0,三十二層,四十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0861104,44.31,1,1,1,有,有,9000000,203114,,0.0,0,,RPUOMLMKJIJGFHF58DA,29.3,0.0,5.04,有,
中和區,房地(土地+建物)+車位,新北市中和區忠孝街５８巷１６弄３３號三樓,40.65,都市：其他:住宅區,,,1131110,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800621,153.34,3,2,2,有,有,17000000,110865,坡道平面,0.0,0,其他增建；,RPPNMLQLJIJGFHF48DA,102.44,0.0,10.5,有,
中和區,房地(土地+建物),新北市中和區宜安路５２巷１３號二樓,27.96,住,,,1131123,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740110,102.16,2,2,2,有,無,14500000,141934,,0.0,0,陽台外推；其他增建；,RPQOMLRKKIJGFHF78DA,86.67,0.0,15.49,無,
中和區,房地(土地+建物),新北市中和區廟美街２４號,16.26,住,,,1131117,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840523,79.92,0,1,0,有,有,9500000,118869,,0.0,0,其他增建；,RPWNMLTKKIJGFHF86DA,56.9,5.88,0.0,有,
中和區,房地(土地+建物),新北市中和區中山路二段５２６巷３５弄１號四樓,28.11,工,,,1131108,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0600818,80.3,3,1,1,有,無,3620000,45081,,0.0,0,親友二親等買賣親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPSNMLQLKIJGFHF88DA,80.3,0.0,0.0,無,
中和區,房地(土地+建物)+車位,新北市中和區興南路一段８５巷７７號八樓,28.84,住,,,1131118,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1020528,169.7,3,2,2,有,有,28350000,167060,坡道平面,0.0,0,,RPPNMLRLKIJGFHF68DA,95.09,0.0,9.91,有,02138
中和區,車位,新北市中和區捷運路４６號,0.5,,,,1131121,土地1建物1車位1,一層,十九層,其他,店舖,鋼骨鋼筋混凝土構造,1000415,1.49,0,0,0,無,有,1000000,,塔式車位,1.49,1000000,僅車位交易；,RPTNMLKMKIJGFHF48DA,0.0,0.0,0.0,有,02139
中和區,房地(土地+建物),新北市中和區中和路３５０巷２１弄３號二樓,31.57,住,,,1131102,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771222,126.15,3,2,2,有,無,22560000,178835,,0.0,0,其他增建；,RPPOMLKMKIJGFHF18DA,94.89,0.59,16.89,無,
樹林區,房地(土地+建物),新北市樹林區保安二街４０巷３９號三樓,36.31,住,,,1131118,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680508,93.74,4,2,1,有,無,10800000,115212,,0.0,0,,RPQNMLQKKIJGFIF68DA,93.74,0.0,0.0,無,
三峽區,房地(土地+建物)+車位,新北市三峽區三樹路２２２巷２５４弄１５號,36.58,,一般農業區,甲種建築用地,1131109,土地1建物1車位1,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0941114,150.44,3,2,2,有,有,15600000,112395,坡道平面,24.99,1500000,陽台外推；,RPSNMLKLKIJGFIF38DA,85.06,0.0,8.23,有,
鶯歌區,房地(土地+建物),新北市鶯歌區文化路３２４巷２０號一、二樓,198.75,,一般農業區,甲種建築用地,1131112,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,258.77,4,2,3,有,無,5150000,19902,,0.0,0,免除價金244萬元整親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPRNMLPLKIJGFIF78DA,241.97,8.4,8.4,無,
鶯歌區,房地(土地+建物),新北市鶯歌區南雅路４３３號,86.0,住,,,1131118,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,,191.58,5,1,2,有,無,6280000,32780,,0.0,0,免除價金244萬元整親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPSNMLPLKIJGFIF88DA,180.58,0.0,11.0,無,
三峽區,房地(土地+建物),新北市三峽區中山路３２１號七樓,6.53,住,,,1131113,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950123,43.33,1,0,1,有,有,6200000,143088,,0.0,0,,RPSNMLQLKIJGFIF98DA,23.2,0.0,3.28,有,02140
土城區,房地(土地+建物),新北市土城區明德路一段２４０巷３號二樓之２,8.05,商,,,1131113,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831029,77.72,2,2,1,有,有,9380000,120690,,0.0,0,其他增建；,RPXPMLQJKIJGFAF78EA,60.14,1.61,4.96,有,
