鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
高樹鄉,土地,新南段468地號,59.82,,鄉村區,乙種建築用地,1131231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,203388,3400,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPRNMLLMKIJGFBT56DA,0.0,0.0,0.0,無,0274
高樹鄉,土地,南華段567-1地號,58.41,,鄉村區,乙種建築用地,1131211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,25681,,0.0,0,未登記建物；,RPQNMLMJJHKGFBT78DA,0.0,0.0,0.0,無,
潮州鎮,土地,五福段191-5地號,220.24,都市：其他:綠帶,,,1131213,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4183000,18993,,0.0,0,,RPWNMLNJJHKGFCT96DA,0.0,0.0,0.0,無,
潮州鎮,土地,三星段616地號,170.52,住,,,1131213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,29322,,0.0,0,,RPWNMLRJJHKGFCT37DA,0.0,0.0,0.0,無,
新園鄉,土地,五龍段74地號,9.21,,一般農業區,農牧用地,1131210,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,150000,16287,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLKKKIJGFDT66DA,0.0,0.0,0.0,無,
南州鄉,房地(土地+建物),屏東縣南州鄉仁里路３巷４３號,83.48,住,,,1131204,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830426,160.93,4,2,3,有,無,3900000,24234,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPSNMLNKKIJGFDT86DA,144.9,3.67,12.36,無,
琉球鄉,土地,花矸段747-4地號,63.03,住,,,1131218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1715992,27225,,0.0,0,,RPTNMLTKKIJGFDT57DA,0.0,0.0,0.0,無,
南州鄉,土地,南糖段1314地號,125.19,,,,1131223,土地7建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,6390,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOLKIJGFDT86DA,0.0,0.0,0.0,無,
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮沿海路６１號十三樓,14.25,住,,,1131219,土地1建物1車位1,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860322,130.26,4,2,2,有,有,5500000,42223,升降機械,0.0,0,汽車停車位編號第64號。,RPRNMLRJJHKGFDT96DA,85.73,0.0,12.93,有,0275
新園鄉,土地,鹽龍段148地號,651.37,都市：其他:道路用地,,,1131206,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3800000,5834,,0.0,0,,RPXNMLSJJHKGFDT67DA,0.0,0.0,0.0,無,0276
