鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
秀林鄉,土地,帛士林段574地號,2673.0,,一般農業區,農牧用地,1030313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1250000,468,,0.0,0,,RPTNMLPLLHJFFAU86CA,0.0,0.0,0.0,,
吉安鄉,土地,光學段856-2地號,3178.23,,一般農業區,農牧用地,1030227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7979700,2511,,0.0,0,,RPUPMLQLLHJFFAU27CA,0.0,0.0,0.0,,
吉安鄉,土地,光英段550-3地號,5297.19,,一般農業區,農牧用地,1030220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12819000,2420,,0.0,0,,RPXPMLQLLHJFFAU57CA,0.0,0.0,0.0,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉全民街９０號四樓,54.28,,鄉村區,乙種建築用地,1030309,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880414,136.73,4,2,2,有,無,2190000,16017,,0.0,0,,RPUQMLQLLHJFFAU37CA,101.91,9.96,9.01,,
吉安鄉,土地,南埔段2696地號,2513.0,,特定農業區,農牧用地,1030222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17100000,6805,,0.0,0,,RPPPMLQLLHJFFAU76CA,0.0,0.0,0.0,,
秀林鄉,土地,道拉斯段911地號,3440.03,,一般農業區,農牧用地,1030318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2830000,823,,0.0,0,,RPPOMLPLLHJFFAU56CA,0.0,0.0,0.0,,
吉安鄉,土地,福南段392地號,661.38,,特定農業區,農牧用地,1030110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,7560,,0.0,0,,RPQNMLOKMHJFFAU09CA,0.0,0.0,0.0,,
壽豐鄉,土地,潭南段175地號,638.57,住,,,1020909,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6912230,10825,,0.0,0,,RPXOMLKKMHJFFAU86CA,0.0,0.0,0.0,,
花蓮市,房地(土地+建物),花蓮縣吉安鄉建國路一段１７８巷２號,100.0,住,,,1030226,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690415,118.96,3,2,2,有,無,5000000,42031,,0.0,0,,RPQQMLMLMHJFFAU66CA,118.96,0.0,0.0,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮巿中興路２３１號五樓之五,22.0,住,,,1030314,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821109,144.55,3,2,2,有,有,3780000,26150,坡道平面,0.0,0,,RPXNMLPLMHJFFAU37CA,90.62,0.0,12.75,,
光復鄉,土地,大全段615地號,3187.19,,一般農業區,農牧用地,1030311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,941,,0.0,0,,RPPNMLPLLHJFFBU56CA,0.0,0.0,0.0,,
鳳林鎮,土地,榮昌段53地號,8908.0,,一般農業區,農牧用地,1030303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,1123,,0.0,0,,RPQNMLPLLHJFFBU66CA,0.0,0.0,0.0,,
鳳林鎮,土地,榮昌段143地號,9444.0,,一般農業區,農牧用地,1030303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13140000,1391,,0.0,0,,RPUNMLQLLHJFFBU17CA,0.0,0.0,0.0,,
豐濱鄉,土地,長虹段511-1地號,149.68,其他,,,1030303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2886079,19282,,0.0,0,含地上未辦保存登記建物一棟,RPPNMLLKMHJFFBU78CA,0.0,0.0,0.0,,
豐濱鄉,土地,長虹段514地號,40.83,其他,,,1030227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,730217,17884,,0.0,0,含地上未辦保存登記建物一棟及農林作物,RPQNMLLKMHJFFBU88CA,0.0,0.0,0.0,,
瑞穗鄉,土地,烏漏段5地號,37048.0,,一般農業區,農牧用地,1030308,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6300000,170,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLPKMHJFFCU17CA,0.0,0.0,0.0,,
瑞穗鄉,土地,瑞泉段658-2地號,2551.9,農,,,1030311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,3919,,0.0,0,,RPQNMLLMLHJFFCU09CA,0.0,0.0,0.0,,
花蓮市,房地(土地+建物),花蓮縣花蓮巿福光街347巷12號,98.52,,鄉村區,乙種建築用地,1030227,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701012,98.55,5,2,2,有,無,3800000,38559,,0.0,0,,RPTOMLOLLHJFFAU96DA,98.55,0.0,0.0,,
秀林鄉,土地,德布克段53地號,746.45,,一般農業區,農牧用地,1030311,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,1608,,0.0,0,,RPQOMLRLLHJFFAU07EA,0.0,0.0,0.0,,
秀林鄉,土地,加灣段1855地號,2626.85,,一般農業區,農牧用地,1030314,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,495,,0.0,0,,RPPQMLSLLHJFFAU27EA,0.0,0.0,0.0,,
吉安鄉,土地,仁恥段211地號,2.73,其他,,,1030313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29964,10976,,0.0,0,公共設施保留地道路用地交易,RPVOMLRJMHJFFAU47EA,0.0,0.0,0.0,,
