鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,房地(土地+建物),臺南市北區公園南路370巷6號12樓之1,11.59,住,,,1050105,土地1建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840912,60.41,2,2,2,有,有,有,13000,215,,0.0,0,,RPWNMLKKJHLFFAD67CC
北區,房地(土地+建物),臺南市北區公園南路362巷10號6樓之6,11.84,住,,,1050105,土地1建物1車位0,六層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840104,105.97,4,2,2,有,有,有,15000,142,,0.0,0,,RPXNMLKKJHLFFAD77CC
北區,房地(土地+建物),臺南市北區公園南路339號10樓之2,8.14,住,,,1041214,土地2建物1車位0,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971219,53.66,2,1,1,有,有,有,16000,298,,0.0,0,,RPOOMLKKJHLFFAD96CC
永康區,房地(土地+建物),臺南市永康區復華三街76巷9號,29.89,商,,,1050109,土地1建物1車位0,一層,17,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0841009,229.48,4,3,4,有,無,無,15000,65,,0.0,0,,RPTNMLLKJHLFFHR96CC
永康區,土地,安康段11-5地號,0.0,其他,,,1050110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,10000,0,,0.0,0,,RPPOMLMKJHLFFHR76CC
永康區,建物,臺南市永康區文賢街355號,0.0,住,,,1050111,土地0建物0車位0,全,4,透天厝,住家用,見其他登記事項,1040720,29.75,1,0,1,有,無,有,6700,225,,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊.3.透天分租2樓套房.坪數約9坪,RPQOMLMKJHLFFHR86CC
北區,建物,臺南市北區台南市北區力行街17號,0.0,住,,,1050111,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0880610,46.72,6,1,4,有,無,有,25000,535,,0.0,0,,RPVNMLMKJHLFFAD77CC
東區,建物,臺南市東區中華東路一段90號10F-2,0.0,商,,,1050101,土地0建物1車位0,十層,10,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0890822,86.79,3,2,2,有,有,無,14000,161,,0.0,0,,RPWNMLMKJHLFFCD08CC
東區,建物,臺南市東區長東街106號,0.0,住,,,1050101,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0580824,83.74,1,1,1,有,無,有,10000,119,,0.0,0,,RPOOMLMKJHLFFCD37CC
南區,土地,鹽埕段1874-2地號,83.0,住,,,1050101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,5000,60,,0.0,0,,RPPOMLMKJHLFFCD47CC
東區,建物,臺南市東區林森路１段160號   10樓之7,0.0,商,,,1050106,土地0建物1車位0,十層,10,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0790926,1297.0,1,1,1,有,無,有,3500,3,,0.0,0,,RPROMLMKJHLFFCD67CC
南區,建物,臺南市南區大同路二段136巷3號十樓之2,0.0,其他,,,1050109,土地0建物1車位0,十層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0881021,138.60999999999999,3,1,2,有,無,有,12000,87,,0.0,0,,RPVOMLMKJHLFFCD08CC
安南區,建物,臺南市安南區郡安路四段249巷19號,0.0,住,,,1050113,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0700605,124.23,3,2,2,有,無,有,8000,64,,0.0,0,,RPSNMLNKJHLFFBD67CC
安南區,建物,臺南市安南區長和路一段903號,0.0,住,,,1050112,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0691106,97.78,4,1,2,有,無,無,18000,184,,0.0,0,,RPTNMLNKJHLFFBD77CC
歸仁區,房地(土地+建物),臺南市歸仁區中正南路二段35之1號,120.15,住,,,1041223,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0960215,214.92,7,2,7,有,無,有,25000,116,,0.0,0,,RPWNMLNKJHLFFFR27CC
