鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮高南段60地號 虎興西七街與永興南二路口,13.1,住,,,1130707,土地1建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,49.65,1,1,1,有,無,4300000,86606,,0.0,0,,RPWNMLTJPHJGFDP77CB,沐晴3期,708號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮虎興東九街門牌尚未申請,41.12,住,,,1130622,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.45,2,1,1,有,無,14000000,111439,升降機械,12.0,800000,,RPXNMLTJPHJGFDP87CB,臻品會館2期,1棟B號,
北港鎮,房地(土地+建物)+車位,雲林縣北港鎮新學六路,25.53,住,,,1130618,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.69,2,2,1,有,無,6300000,58922,一樓平面,22.74,1000000,,RPPNMLTJPHJGFEP17CB,禾楓君悅-北港綻,A棟A2號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,14.27,商,,,1130701,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.76,3,2,2,有,無,11880000,87231,坡道平面,29.18,1100000,,RPPNMLKKPHJGFAP58CB,勝麗MVP,C5棟07F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,14.27,商,,,1130701,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.29,3,2,2,有,無,11980000,86752,坡道平面,29.18,1300000,,RPQNMLKKPHJGFAP68CB,勝麗MVP,C1棟06F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,9.61,商,,,1130701,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.3,2,2,1,有,無,8450000,87375,坡道平面,29.18,1100000,,RPRNMLKKPHJGFAP78CB,勝麗MVP,B2棟07F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,11.07,商,,,1130701,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.29,2,2,1,有,無,9300000,85007,坡道平面,29.18,1300000,,RPSNMLKKPHJGFAP88CB,勝麗MVP,B3棟06F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,11.07,商,,,1130701,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.29,2,2,1,有,無,9150000,85538,坡道平面,29.18,1100000,,RPTNMLKKPHJGFAP98CB,勝麗MVP,B3棟07F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,13.11,商,,,1130701,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.95,3,2,2,有,無,9360000,72603,坡道平面,29.18,1100000,,RPUNMLKKPHJGFAP09CB,勝麗MVP,B5棟02F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,13.11,商,,,1130701,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.95,3,2,2,有,無,10770000,83238,坡道平面,29.18,1300000,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLKKPHJGFAP56CB,勝麗MVP,B5棟08F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,13.98,商,,,1130701,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.07,3,2,2,有,無,9810000,72650,坡道平面,29.18,1100000,,RPWNMLKKPHJGFAP66CB,勝麗MVP,B1棟02F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,11.07,商,,,1130701,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.1,2,2,1,有,無,8800000,80757,坡道平面,27.99,1200000,,RPXNMLKKPHJGFAP76CB,勝麗MVP,B3棟03F號,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮長苗街,32.6,住,,,1130707,土地3建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.47,2,1,1,有,無,5950000,70382,一樓平面,23.14,1000000,,RPPNMLKKPHJGFBP68CB,幸福都會二期,3FB3號,
虎尾鎮,房地(土地+建物)+車位,雲林縣西螺鎮過溪段876地號,28.2,,鄉村區,乙種建築用地,1130706,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.58,2,2,1,有,無,5400000,59936,一樓平面,13.5,900000,,RPPNMLKKPHJGFDP88CB,中溪苑,E棟2號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮過溪段876地號,27.7,,鄉村區,乙種建築用地,1130708,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.25,2,2,1,有,無,5580000,63458,一樓平面,13.5,900000,,RPQNMLKKPHJGFDP98CB,中溪苑,D棟5號,
