鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
金寧鄉,土地,寧湖三劃段124地號,43.77,農,,,1130527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,6854,,0.0,0,,RPSNMLRJOHJGFAW47DA,0.0,0.0,0.0,無,058
金寧鄉,土地,中二劃段354地號,446.44,農,,,1130530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,6720,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLKOHJGFAW76DA,0.0,0.0,0.0,無,059
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路２２７號５樓之５,11.11,住,,,1130512,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041125,62.15,2,1,1,有,有,4300000,69187,,0.0,0,,RPSNMLOLNHJGFAW27DA,33.29,2.54,3.96,有,060
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐６３之２號三樓,42.3,都市：其他:自然村專用區,,,1130528,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1130304,68.64,2,2,2,有,無,4850000,70659,,0.0,0,,RPRNMLSLNHJGFAW57DA,55.0,0.0,5.01,無,
金城鎮,土地,歐厝段279地號,1070.09,農,,,1130530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,2804,,0.0,0,,RPQNMLKMNHJGFAW76DA,0.0,0.0,0.0,無,061
金城鎮,土地,水頭段194地號,870.09,農,,,1130503,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3400000,3908,,0.0,0,,RPPNMLNKOHJGFAW96EA,0.0,0.0,0.0,無,
金寧鄉,土地,寧安二劃段173-1地號,667.0,農,,,1130527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3600000,5397,,0.0,0,,RPPNMLSLNHJGFAW37DA,0.0,0.0,0.0,無,
金湖鎮,土地,太湖劃測段343地號,1067.01,工,,,1130523,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19785000,18542,,0.0,0,土地總價新台幣:壹仟玖佰柒拾捌萬伍仟元整。,RPPNMLOKOHJGFAW96DA,0.0,0.0,0.0,無,062
金寧鄉,土地,北二三劃測段416地號,1000.02,農,,,1130510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9000000,9000,,0.0,0,,RPPNMLOKOHJGFAW07EA,0.0,0.0,0.0,無,063
金寧鄉,土地,寧北一劃段332-1地號,495.72,農,,,1130521,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1300000,2622,,0.0,0,,RPTNMLLLNHJGFAW07DA,0.0,0.0,0.0,無,
