鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
吉安鄉,房地(土地+建物),花蓮縣吉安鄉自強路４３７號,83.38,住,,,1090628,土地1建物1車位0,見其他登記事項,1,店面(店鋪),住家用,鋼筋混凝土加強磚造,0620101,49.5,1,1,1,有,無,無,9000,182,,0.0,0,2F增建約40平方公尺,RPWNMLKKPHPFFAU77CC
花蓮市,房地(土地+建物),花蓮縣花蓮市民享二街４號,58.0,住,,,1090707,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,60.9,4,2,2,有,無,無,16000,263,,0.0,0,,RPPPMLNKPHPFFAU67DC
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路３９３號,74.0,商,,,1090709,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0680314,276.48,0,0,0,無,無,有,23500,85,,0.0,0,,RPQPMLOKPHPFFAU77CC
吉安鄉,建物,花蓮縣吉安鄉自立路二段２３號４樓,0.0,住,,,1090701,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1030617,37.95,1,1,1,有,無,有,8000,211,,0.0,0,,RPQNMLPKPHPFFAU67CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯五路２之８號６樓之２號,12.27,商,,,1090702,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0761104,48.220000000000006,1,1,1,有,無,有,9000,187,,0.0,0,,RPRNMLPKPHPFFAU77CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路６０１巷１弄１４之３號,22.25,住,,,1090713,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0950118,78.89,2,1,1,有,無,有,10000,127,,0.0,0,,RPPOMLPKPHPFFAU67CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中興路３２號５F-５,4.4,商,,,1090714,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850208,55.11,2,1,1,有,無,有,8000,145,,0.0,0,,RPUNMLPKPHPFFAU18DC
花蓮市,建物,花蓮縣花蓮市國民八街７０號,0.0,商,,,1090625,土地0建物0車位0,二層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,0720608,36.48,1,1,1,有,無,有,11000,302,,0.0,0,,RPSOMLPKPHPFFAU08DC
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛四街６３巷１０號,130.0,住,,,1090710,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0941011,151.11,4,2,3,有,無,無,20000,132,,0.0,0,,RPWNMLQKPHPFFAU38CC
新城鄉,建物,花蓮縣新城鄉民族路８５號,0.0,商,,,1090703,土地0建物0車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1060731,23.53,1,0,1,有,無,有,7300,310,,0.0,0,出租3樓前房間。,RPUNMLRKPHPFFAU28CC
新城鄉,建物,花蓮縣新城鄉民族路６７號,0.0,商,,,1090712,土地0建物0車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1061124,24.0,1,0,1,有,無,有,7500,313,,0.0,0,,RPOOMLRKPHPFFAU77CC
新城鄉,建物,花蓮縣新城鄉民族路６９號,0.0,商,,,1090706,土地0建物0車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1061124,24.0,1,0,1,有,無,有,7500,313,,0.0,0,,RPTOMLRKPHPFFAU28CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛四街５１號四樓之十四,8.51,住,,,1090620,土地1建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830811,68.42,2,2,1,有,有,有,10700,156,,0.0,0,,RPSOMLRKPHPFFAU38EC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉光復街２之１號,40.0,商,,,1090713,土地2建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0680407,104.17,1,2,3,有,無,有,27000,259,,0.0,0,,RPUNMLLLPHPFFAU77CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛二街１１８號４F之２,7.91,住,,,1090707,土地1建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0811209,27.27,1,1,1,有,無,有,8500,312,,0.0,0,,RPQNMLMLPHPFFAU47CC
