編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLPJQHKFFBQ76CA,1,1.00,社區管理室,鋼筋混凝土造,104年1月6日,一層,
RPWNMLPJQHKFFBQ27CA,7,420.66,集合住宅、停車空間,鋼筋混凝土造,97年4月8日,四層,一層 二層 三層 四層 地下一層 見其他登記事項
RPWNMLPJQHKFFBQ27CA,7,9.35,管理委員會室,鋼筋混凝土造,97年4月8日,三層,
RPWNMLPJQHKFFBQ27CA,7,58.43,停車空間,鋼筋混凝土造,97年4月8日,四層,
RPTNMLRJQHKFFBQ17CA,27,141.80,住家用,ＲＣ造﹙ＲＣ磚材料﹚,77年7月16日,三層,一層 二層 三層
RPUNMLRKQHKFFCQ47CA,22,177.36,住家用,鋼筋混凝土造,82年12月10日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPPNMLRJQHKFFCQ86CA,1,265.13,住家用,鋼筋混凝土造,103年8月13日,四層,一層 二層 三層 四層 見其他登記事項
RPXNMLKKQHKFFDQ17CA,,184.11,停車空間、住宅、梯間,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPUNMLKKQHKFFDQ86CA,,192.24,停車空間、住宅、梯間,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPOOMLKKQHKFFDQ98CA,,183.55,停車空間、住宅、梯間,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPVNMLKKQHKFFDQ96CA,,184.11,停車空間、住宅、梯間,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPWNMLKKQHKFFDQ07CA,,183.63,停車空間、住宅、梯間,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPSNMLKKQHKFFDQ66CA,,184.11,停車空間、住宅、梯間,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPOOMLOLQHKFFCQ76CA,33,163.60,住家用,鋼筋混凝土加強磚造,71年7月13日,三層,一層 二層 三層 騎樓
RPUNMLRJQHKFFBQ27CA,39,146.26,住家用,鋼筋混凝土加強磚造,65年12月1日,二層,
RPVNMLRJQHKFFBQ37CA,,235.98,住家用,鋼筋混凝土造,104年5月25日,四層,一層 二層 三層 四層 陽台
RPQNMLLKQHKFFEQ66CA,18,185.33,住家用,鋼筋混凝土造,86年10月7日,四層,一層 二層 三層 四層 陽台 平台
RPPNMLKKQHKFFEQ09CA,22,38.83,住家用,鋼筋混凝土造,82年4月1日,十八層,六層 陽台
RPPNMLKKQHKFFEQ09CA,22,7.68,梯間,鋼筋混凝土造,82年4月1日,十八層,
RPPNMLKKQHKFFEQ09CA,22,1.75,守衛室．健身房．游泳池．防空避難室兼停車場,鋼筋混凝土造,82年4月1日,,
RPRNMLLJRHKFFDQ66CA,2,18.00,農業資材室,鋼骨構造,102年8月27日,一層,一層
RPSNMLNKQHKFFCQ86CA,31,155.19,住商用,ＲＣ造（磚壁）．ＲＣ磚造,73年8月17日,三層,一層 二層 三層 電梯樓梯間
RPVNMLNKQHKFFCQ17CA,23,151.43,住家用,鋼筋混凝土造,81年4月15日,三層,一層 二層 三層 電梯樓梯間
RPWNMLSKQHKFFCQ77CA,16,520.12,托兒所．住房,鋼筋混凝土造,88年3月17日,四層,一層 二層 三層 四層
RPTPMLLLQHKFFCQ07CA,,145.87,住家用,鋼筋混凝土造,104年6月1日,三層,一層 二層 三層 見其他登記事項
RPUPMLLLQHKFFCQ17CA,,146.44,住家用,鋼筋混凝土造,104年6月1日,三層,一層 二層 三層 見其他登記事項
RPVPMLLLQHKFFCQ27CA,,146.33,住家用,鋼筋混凝土造,104年6月1日,三層,一層 二層 三層 見其他登記事項
RPRNMLLMQHKFFBQ66CA,2,170.88,住家用,鋼筋混凝土造,102年12月11日,三層,一層 二層 三層 見其他登記事項
RPPNMLPLQHKFFDQ96CA,33,97.00,住家用,鋼筋混凝土加強磚造,71年9月10日,二層,一層 二層 電梯樓梯間
RPRNMLLKQHKFFDQ66CA,1,205.44,住宅、樓梯間,鋼筋混凝土造,103年7月7日,三層,一層 二層 三層 陽台 見其他登記事項
RPXPMLKKQHKFFDQ47DA,20,184.56,住商用,鋼筋混凝土造,84年9月18日,四層,一層 二層 三層 四層 陽台
RPOPMLMJRHKFFCQ56CA,30,97.52,住家用,鋼筋混凝土加強磚造,74年4月4日,一層,一層
RPOPMLMJRHKFFCQ56CA,2,2258.27,廠房,鋼骨構造,103年1月21日,一層,一層
RPOPMLMJRHKFFCQ56CA,2,21.09,廠房,鋼骨構造,103年1月21日,一層,一層
RPVNMLRKQHKFFBQ57DA,11,145.11,住商用,鋼筋混凝土造,93年8月31日,三層,一層 二層 三層 電梯樓梯間
RPUNMLSKQHKFFCQ67DA,25,147.99,避難室、辦公室,ＲＣ造、ＲＣ磚造,80年1月15日,一層,一層 電梯樓梯間 地下層
RPUNMLSKQHKFFCQ67DA,25,897.25,倉庫、廠房、車道、乾區,鋼造,80年1月15日,一層,一層
RPRNMLLKQHKFFCQ76EA,30,156.28,住商用,ＲＣ造．ＲＣ造磚材料,74年6月11日,三層,一層 二層 三層 電梯樓梯間
RPVNMLLMQHKFFCQ17CA,13,65.73,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPVNMLLMQHKFFCQ17CA,13,11.73,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPVNMLLMQHKFFCQ17CA,13,.68,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
SPVNMLLMQHKFFCQ27CA,13,68.95,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
SPVNMLLMQHKFFCQ27CA,13,11.73,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
SPVNMLLMQHKFFCQ27CA,13,.68,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPXNMLLLQHKFFDQ37CA,37,109.07,住家用,鋼筋混凝土加強磚造,67年9月25日,二層,一層 二層 騎樓
RPWNMLLMQHKFFCQ27CA,8,178.73,住家用,鋼筋混凝土造,96年11月30日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPRNMLNKQHKFFCQ76CA,23,79.90,住家用,鋼筋混凝土造,81年11月30日,五層,四層 陽台
RPRNMLNKQHKFFCQ76CA,23,8.04,共有部分,鋼筋混凝土造,81年11月30日,地下層,
RPRNMLNKQHKFFCQ76CA,23,6.74,共有部分,鋼筋混凝土造,81年11月30日,五層,
RPPNMLLKQHKFFBQ88CA,,242.30,住家用,鋼筋混凝土造,104年5月25日,四層,一層 二層 三層 四層 陽台
RPPNMLMKQHKFFBQ98CA,13,155.60,住家用,鋼筋混凝土造,92年1月14日,三層,一層 二層 三層 陽台
RPPNMLSJQHKFFBQ86CA,38,123.00,住家用,鋼筋混凝土加強磚造,66年12月3日,二層,一層 二層 三層
RPPNMLOKQHKFFEQ07EA,35,81.14,住家用,鋼筋混凝土加強磚造,69年11月18日,二層,一層 二層
RPVNMLSLQHKFFBQ67CA,9,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,二層 陽台
RPVNMLSLQHKFFBQ67CA,9,5.78,共有部分,鋼筋混凝土造,95年8月28日,,
RPVNMLSLQHKFFBQ67CA,9,4.20,共有部分,鋼筋混凝土造,95年8月28日,,
SPVNMLSLQHKFFBQ77CA,9,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,二層 陽台
SPVNMLSLQHKFFBQ77CA,9,5.78,共有部分,鋼筋混凝土造,95年8月28日,,
SPVNMLSLQHKFFBQ77CA,9,4.20,共有部分,鋼筋混凝土造,95年8月28日,,
RPRNMLMKQHKFFCQ66CA,38,49.30,住家用,加強磚造,65年12月28日,二層,一層 二層 騎樓
RPTNMLRKQHKFFCQ37CA,,180.33,停車空間、住宅、樓梯間,鋼筋混凝土造,104年4月7日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPRNMLRKQHKFFCQ17CA,1,248.26,住家用,鋼筋混凝土造,103年11月18日,四層,一層 二層 三層 四層 見其他登記事項
RPTNMLKLQHKFFDQ86CA,2,154.08,停車空間、住宅,鋼筋混凝土造,102年8月6日,三層,一層 二層 三層 陽台
