鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
平鎮區,房地(土地+建物)+車位,桃園市平鎮區金鍊段738地號,18.55,住,,,1040405,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.88,2,2,1,有,無,5360000,43322,坡道平面,36.7,1150000,,RPQNMLOJQHKFFGH88CB
平鎮區,房地(土地+建物)+車位,桃園市平鎮區金鍊段738地號,18.55,住,,,1040524,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.88,2,2,1,有,無,5360000,43322,坡道平面,36.7,1150000,,RPRNMLOJQHKFFGH98CB
平鎮區,房地(土地+建物)+車位,桃園市平鎮區金鍊段738地號,18.55,住,,,1040517,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.88,2,2,1,有,無,5300000,43733,坡道平面,36.7,1050000,,RPSNMLOJQHKFFGH09CB
平鎮區,房地(土地+建物)+車位,桃園市平鎮區金鍊段738地號,24.6,住,,,1040418,土地1建物1車位1,一層,15,店面(店鋪),商業用,鋼筋混凝土造,,165.9,0,0,0,無,無,10780000,74915,坡道平面,38.69,1250000,,RPTNMLOJQHKFFGH56CB
平鎮區,房地(土地+建物)+車位,桃園市平鎮區金鍊段738地號,23.47,住,,,1030810,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.64,3,2,2,有,無,6800000,43376,坡道平面,38.69,1250000,,RPVNMLOJQHKFFGH76CB
平鎮區,房地(土地+建物)+車位,桃園市平鎮區金鍊段738地號,23.47,住,,,1030810,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.64,3,2,2,有,無,6780000,43220,坡道平面,38.69,1250000,,RPWNMLOJQHKFFGH86CB
平鎮區,房地(土地+建物)+車位,桃園市平鎮區金鍊段738地號,23.47,住,,,1030810,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.64,3,2,2,有,無,6780000,43220,坡道平面,38.69,1250000,,RPXNMLOJQHKFFGH96CB
平鎮區,房地(土地+建物)+車位,桃園市平鎮區金鍊段738地號,23.47,住,,,1040418,土地1建物1車位1,一層,15,店面(店鋪),商業用,鋼筋混凝土造,,158.75,0,0,0,無,無,10420000,76378,坡道平面,38.69,1250000,,RPOOMLOJQHKFFGH78CB
平鎮區,房地(土地+建物)+車位,桃園市平鎮區金鍊段738地號,23.09,住,,,1030824,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.22,3,2,2,有,無,6800000,43863,坡道平面,38.69,1250000,,RPPOMLOJQHKFFGH88CB
