編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLJKHOFFDV76CA,24,31.54,套房,鋼筋混凝土造,83年9月30日,八層,六層 陽台,全筆移轉
RPQNMLLJKHOFFDV76CA,24,6.07,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,,持分移轉
RPPNMLKLKINFFBV56CA,24,125.60,見其他登記事項,鋼筋混凝土造,83年11月24日,二層,一層 二層,全筆移轉
RPPNMLKLKINFFDV76CA,24,34.45,套房,鋼筋混凝土造,83年9月30日,八層,七層 陽台,全筆移轉
RPPNMLKLKINFFDV76CA,24,7.16,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,,持分移轉
RPRNMLMLKINFFDV17CA,23,30.87,套房,鋼筋混凝土造,84年7月14日,八層,四層 見其他登記事項,全筆移轉
RPRNMLMLKINFFDV17CA,23,7.85,樓梯．電梯．機械房．水箱．清水池．走道．陽台．屋頂突出物,鋼筋混凝土造,84年7月14日,八層,,持分移轉
RPSNMLMLKINFFDV27CA,25,37.70,出租套房,鋼筋混凝土造,82年11月8日,八層,二層 陽台,全筆移轉
RPSNMLMLKINFFDV27CA,25,13.75,出租套房、通道、停車場、避難室．屋頂突出物,鋼筋混凝土造,82年11月8日,八層,,持分移轉
RPRNMLSKKINFFAV37CA,46,41.50,住家用,水泥磚木蓋瓦,62年1月16日,一層,一層 騎樓,全筆移轉
RPOPMLKLKINFFAV56CA,22,64.96,住家用,鋼筋混凝土造,85年6月28日,七層,三層 陽台 雨遮,全筆移轉
RPOPMLKLKINFFAV56CA,22,5.79,共同使用：樓梯．電梯,鋼筋混凝土造,85年6月28日,七層,,持分移轉
RPOPMLKLKINFFAV56CA,22,3.47,樓梯、電梯、機械房、水箱共同使用,鋼筋混凝土造,85年6月28日,七層,,持分移轉
RPOPMLKLKINFFAV56CA,22,2.81,車道、水箱、樓梯、機械房配電室共同使用　,鋼筋混凝土造,85年6月28日,七層,,持分移轉
RPOPMLKLKINFFAV56CA,22,16.01,防空避難室暨停車空間共同使用,鋼筋混凝土造,85年6月28日,七層,,持分移轉
RPRNMLOKKHOFFAV96CA,9,226.85,住家用,ＲＣ造,98年12月11日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPRNMLSKKHOFFAV37CA,25,83.80,住家用,鋼筋混凝土造,83年6月1日,三層,二層 陽台,全筆移轉
RPPNMLNKKHOFFAV66CA,1,246.92,住宅、樓梯間,ＲＣ造,107年7月2日,三層,一層 二層 三層 屋頂突出物 見其他登記事項,全筆移轉
RPRNMLSKKHOFFAV37CA,25,9.54,住商用,鋼筋混凝土造,83年6月1日,三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,106.49,集合住宅,鋼筋混凝土造,83年5月16日,十三層,四層 陽台 露台,全筆移轉
RPSNMLSKKHOFFAV47CA,25,.66,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.33,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.24,空白,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.26,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.26,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.33,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.30,空白,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.13,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.33,空白,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.49,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.26,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.26,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.24,空白,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.26,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.25,空白,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.33,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.46,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.33,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.26,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.26,空白,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.33,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.33,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.13,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,9.74,避難室,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.33,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.26,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.26,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.26,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.33,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.33,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.26,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPSNMLSKKHOFFAV47CA,25,.99,樓梯間走道,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPPNMLRJJHOFFAV96DA,37,137.39,住家用,加強磚造,70年8月18日,二層,一層 二層 騎樓,全筆移轉
RPUNMLKKJHOFFAV76CA,25,99.13,集合住宅,鋼筋混凝土造,83年5月16日,十三層,九層 陽台,全筆移轉
RPUNMLKKJHOFFAV76CA,25,.32,空白,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPUNMLKKJHOFFAV76CA,25,.34,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPUNMLKKJHOFFAV76CA,25,.42,空白,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPUNMLKKJHOFFAV76CA,25,.34,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPUNMLKKJHOFFAV76CA,25,.34,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPUNMLKKJHOFFAV76CA,25,.16,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPUNMLKKJHOFFAV76CA,25,.42,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPUNMLKKJHOFFAV76CA,25,.34,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
RPUNMLKKJHOFFAV76CA,25,.85,樓梯間,鋼筋混凝土造,83年5月16日,十三層,,持分移轉
