year,district,公寓,華廈,住宅大樓,套房,透天厝,其他
2014,中山區,0.1184,0.1973,0.2754,0.2211,0.0087,0.1792
2014,中正區,0.1759,0.179,0.2717,0.1162,0.0222,0.2349
2014,信義區,0.2712,0.1306,0.2334,0.0905,0.0182,0.2561
2014,內湖區,0.2198,0.1906,0.2636,0.066,0.0156,0.2444
2014,北投區,0.2139,0.1662,0.3046,0.0955,0.0278,0.192
2014,南港區,0.2169,0.2063,0.3177,0.0349,0.0073,0.2169
2014,士林區,0.2711,0.1517,0.1521,0.0569,0.036,0.3322
2014,大同區,0.1888,0.107,0.2982,0.1361,0.0656,0.2042
2014,大安區,0.1687,0.2314,0.2258,0.0957,0.01,0.2684
2014,文山區,0.2349,0.1989,0.3188,0.0618,0.0191,0.1664
2014,松山區,0.2041,0.1809,0.2574,0.1669,0.0075,0.1831
2014,萬華區,0.2453,0.0753,0.3756,0.1165,0.0412,0.1461
2015,中山區,0.1301,0.1715,0.2869,0.1936,0.0098,0.208
2015,中正區,0.1963,0.2089,0.2258,0.1508,0.032,0.1862
2015,信義區,0.2818,0.1182,0.2888,0.0776,0.0106,0.2229
2015,內湖區,0.2007,0.2011,0.3049,0.051,0.0148,0.2275
2015,北投區,0.2331,0.2565,0.2166,0.0815,0.0325,0.1798
2015,南港區,0.1767,0.2051,0.381,0.0256,0.0064,0.2051
2015,士林區,0.2966,0.1626,0.1547,0.0601,0.0389,0.2872
2015,大同區,0.2269,0.1109,0.2495,0.1417,0.0688,0.2023
2015,大安區,0.1718,0.2196,0.3,0.0871,0.0085,0.213
2015,文山區,0.2207,0.2146,0.2522,0.116,0.0197,0.1767
2015,松山區,0.2164,0.2157,0.2595,0.1042,0.0079,0.1963
2015,萬華區,0.3024,0.0867,0.2936,0.1438,0.0334,0.1401
2016,中山區,0.1173,0.1762,0.3046,0.1786,0.0111,0.2122
2016,中正區,0.1667,0.1557,0.2225,0.1557,0.0967,0.2028
2016,信義區,0.3078,0.1387,0.2247,0.0795,0.0166,0.2327
2016,內湖區,0.2271,0.1922,0.3084,0.0386,0.0127,0.2209
2016,北投區,0.1788,0.2038,0.2003,0.0727,0.025,0.3195
2016,南港區,0.2109,0.1524,0.3522,0.0262,0.0151,0.2432
2016,士林區,0.2801,0.1659,0.1736,0.0456,0.0364,0.2985
2016,大同區,0.2278,0.1093,0.2463,0.145,0.0713,0.2002
2016,大安區,0.1978,0.2257,0.2661,0.0819,0.0136,0.2149
2016,文山區,0.2648,0.1606,0.3262,0.0723,0.0304,0.1456
2016,松山區,0.2303,0.2079,0.2584,0.1156,0.0161,0.1717
2016,萬華區,0.187,0.0639,0.351,0.2499,0.0393,0.1088
2017,中山區,0.1136,0.1508,0.2934,0.188,0.0072,0.247
2017,中正區,0.1472,0.2183,0.2878,0.1145,0.0188,0.2134
2017,信義區,0.2976,0.1625,0.2048,0.0771,0.013,0.2451
2017,內湖區,0.2124,0.191,0.2826,0.0412,0.0149,0.258
2017,北投區,0.2509,0.2147,0.1667,0.1212,0.0366,0.2098
2017,南港區,0.2528,0.16,0.2991,0.0397,0.0143,0.234
2017,士林區,0.3269,0.1723,0.158,0.0462,0.0337,0.263
2017,大同區,0.2363,0.1363,0.2429,0.1165,0.067,0.2011
2017,大安區,0.1757,0.2,0.2564,0.0725,0.0073,0.2881
2017,文山區,0.2505,0.1945,0.3159,0.0705,0.027,0.1416
2017,松山區,0.24,0.1843,0.258,0.091,0.0086,0.218
2017,萬華區,0.2534,0.0751,0.3065,0.1701,0.0496,0.1453
