year,district,公寓,華廈,住宅大樓,套房,透天厝,其他
2018,中山區,0.1327,0.1893,0.2909,0.1787,0.0106,0.1978
2018,中正區,0.2103,0.1664,0.2118,0.1778,0.0174,0.2163
2018,信義區,0.322,0.1821,0.2188,0.0666,0.0217,0.1889
2018,內湖區,0.2192,0.1595,0.3121,0.0486,0.0133,0.2473
2018,北投區,0.1967,0.2423,0.3046,0.0778,0.0274,0.1512
2018,南港區,0.2597,0.1504,0.3496,0.0249,0.0119,0.2035
2018,士林區,0.2855,0.161,0.1695,0.062,0.0339,0.2881
2018,大同區,0.2368,0.1178,0.307,0.1059,0.0605,0.1719
2018,大安區,0.1655,0.1955,0.3155,0.0849,0.0042,0.2344
2018,文山區,0.2654,0.2095,0.3061,0.0574,0.0234,0.1382
2018,松山區,0.2434,0.1843,0.3011,0.1127,0.0063,0.1523
2018,萬華區,0.2202,0.0573,0.451,0.0844,0.0413,0.1458
2019,中山區,0.1316,0.1535,0.3028,0.2107,0.0084,0.1931
2019,中正區,0.1994,0.1689,0.3113,0.1454,0.0145,0.1606
2019,信義區,0.2753,0.165,0.2372,0.0791,0.0193,0.2241
2019,內湖區,0.1972,0.2107,0.3024,0.0428,0.0148,0.232
2019,北投區,0.2424,0.274,0.1534,0.0895,0.0341,0.2066
2019,南港區,0.2276,0.1686,0.2634,0.0306,0.0126,0.2972
2019,士林區,0.2986,0.1899,0.1336,0.0426,0.0338,0.3015
2019,大同區,0.1955,0.1184,0.2951,0.0996,0.0619,0.2296
2019,大安區,0.1933,0.2054,0.3137,0.0855,0.0068,0.1952
2019,文山區,0.2908,0.2075,0.2802,0.0674,0.017,0.1372
2019,松山區,0.2327,0.2106,0.289,0.0979,0.0084,0.1614
2019,萬華區,0.2401,0.0656,0.4347,0.0915,0.0472,0.1209
2020,中山區,0.1258,0.2144,0.3957,0.0997,0.0164,0.148
2020,中正區,0.1549,0.1852,0.4178,0.0807,0.019,0.1424
2020,信義區,0.3082,0.1722,0.2436,0.0376,0.0154,0.2229
2020,內湖區,0.2359,0.2235,0.3064,0.0398,0.019,0.1755
2020,北投區,0.2692,0.2369,0.2018,0.0503,0.0362,0.2056
2020,南港區,0.2654,0.1957,0.3256,0.0112,0.0096,0.1925
2020,士林區,0.2868,0.1837,0.1979,0.0258,0.0309,0.2749
2020,大同區,0.1939,0.1369,0.3708,0.077,0.0585,0.1628
2020,大安區,0.1712,0.2313,0.3493,0.0436,0.0027,0.202
2020,文山區,0.2292,0.2165,0.3549,0.0301,0.0207,0.1485
2020,松山區,0.2449,0.2038,0.3271,0.0542,0.0099,0.16
2020,萬華區,0.214,0.1007,0.4194,0.0594,0.0609,0.1455
2021,中山區,0.1575,0.3034,0.4462,0.0,0.0167,0.0762
2021,中正區,0.1588,0.2417,0.4997,0.0,0.0071,0.0927
2021,信義區,0.2809,0.1823,0.3748,0.0,0.0155,0.1465
2021,內湖區,0.235,0.2653,0.3728,0.0,0.0163,0.1106
2021,北投區,0.2846,0.2694,0.2203,0.0,0.0469,0.1787
2021,南港區,0.2778,0.194,0.3504,0.0,0.012,0.1658
2021,士林區,0.3219,0.2179,0.1714,0.0,0.0387,0.2501
2021,大同區,0.1764,0.1562,0.53,0.0,0.0411,0.0962
2021,大安區,0.1753,0.2802,0.4049,0.0,0.0055,0.134
2021,文山區,0.284,0.2611,0.304,0.0,0.0242,0.1266
2021,松山區,0.2293,0.2067,0.4455,0.0,0.0095,0.109
2021,萬華區,0.2846,0.1236,0.4669,0.0,0.0501,0.0748
2022,中山區,0.1287,0.2475,0.5159,0.0,0.013,0.0949
2022,中正區,0.1515,0.194,0.5088,0.0,0.0183,0.1274
2022,信義區,0.2832,0.1745,0.3739,0.0,0.01,0.1585
2022,內湖區,0.2439,0.2449,0.3534,0.0,0.0199,0.1379
2022,北投區,0.2333,0.2738,0.3185,0.0,0.024,0.1504
2022,南港區,0.2665,0.2056,0.3274,0.0,0.0051,0.1954
2022,士林區,0.2922,0.1776,0.1759,0.0,0.0355,0.3188
2022,大同區,0.1927,0.1239,0.5238,0.0,0.0518,0.1078
2022,大安區,0.1562,0.2692,0.3831,0.0,0.0039,0.1876
2022,文山區,0.3056,0.302,0.2487,0.0,0.0222,0.1215
2022,松山區,0.2258,0.2153,0.4213,0.0,0.0092,0.1284
2022,萬華區,0.2721,0.1316,0.4551,0.0012,0.0371,0.1029
2023,中山區,0.1461,0.2689,0.4731,0.0,0.0084,0.1035
2023,中正區,0.2002,0.2416,0.3964,0.0,0.0195,0.1423
2023,信義區,0.2767,0.1631,0.3309,0.0,0.0147,0.2146
2023,內湖區,0.2466,0.2699,0.2917,0.0,0.0145,0.1773
2023,北投區,0.2694,0.2675,0.2449,0.0,0.0249,0.1932
2023,南港區,0.2636,0.1573,0.3691,0.0,0.01,0.2
2023,士林區,0.3166,0.1608,0.2079,0.0,0.0379,0.2768
2023,大同區,0.1715,0.1239,0.5346,0.0,0.0497,0.1203
2023,大安區,0.163,0.2612,0.3688,0.0,0.0059,0.201
2023,文山區,0.2722,0.2012,0.3646,0.0,0.0139,0.1483
2023,松山區,0.2153,0.204,0.4027,0.0,0.0154,0.1625
2023,萬華區,0.2875,0.1363,0.4149,0.0,0.0498,0.1114
2024,中山區,0.1325,0.2576,0.5169,0.0,0.0078,0.0852
2024,中正區,0.1874,0.2853,0.3938,0.0,0.0296,0.1039
2024,信義區,0.2937,0.2037,0.2937,0.0,0.0193,0.1895
2024,內湖區,0.2768,0.2399,0.2581,0.0,0.0431,0.1821
2024,北投區,0.2386,0.2324,0.3376,0.0,0.0238,0.1676
2024,南港區,0.2229,0.2293,0.3172,0.0,0.0127,0.218
2024,士林區,0.292,0.1717,0.276,0.0,0.0261,0.2343
2024,大同區,0.2082,0.1424,0.4493,0.0,0.0658,0.1343
2024,大安區,0.1685,0.2628,0.3991,0.0,0.0059,0.1637
2024,文山區,0.2914,0.1995,0.3297,0.0,0.0193,0.16
2024,松山區,0.2285,0.2148,0.4055,0.0,0.0099,0.1414
2024,萬華區,0.2578,0.1103,0.4672,0.0,0.0391,0.1256
2025,中山區,0.1409,0.2713,0.4726,0.0,0.0132,0.102
2025,中正區,0.1621,0.2161,0.4597,0.0,0.0306,0.1315
2025,信義區,0.2442,0.1243,0.3724,0.0,0.0138,0.2453
2025,內湖區,0.1894,0.2009,0.266,0.0,0.0154,0.3283
2025,北投區,0.2167,0.2361,0.3258,0.0,0.0236,0.1978
2025,南港區,0.138,0.1172,0.5425,0.0,0.0033,0.1989
2025,士林區,0.2848,0.1492,0.2407,0.0,0.0368,0.2885
2025,大同區,0.2032,0.1118,0.4818,0.0,0.0497,0.1535
2025,大安區,0.1745,0.2185,0.4225,0.0,0.0092,0.1753
2025,文山區,0.2172,0.1393,0.3962,0.0,0.0159,0.2313
2025,松山區,0.1883,0.2561,0.3752,0.0,0.0107,0.1698
2025,萬華區,0.2694,0.115,0.4336,0.0,0.042,0.1399
