year,district,building_type,count,proportion
2015,士林區,其他,583,0.2872
2015,士林區,套房,122,0.0601
2015,士林區,華廈,330,0.1626
2015,士林區,透天厝,79,0.0389
2015,大同區,住宅大樓,243,0.2495
2015,大同區,公寓,221,0.2269
2015,大同區,其他,197,0.2023
2015,大同區,套房,138,0.1417
2015,大同區,華廈,108,0.1109
2015,大同區,透天厝,67,0.0688
2015,大安區,住宅大樓,634,0.3
2015,大安區,公寓,363,0.1718
2015,大安區,其他,450,0.213
2015,大安區,套房,184,0.0871
2015,大安區,華廈,464,0.2196
2015,大安區,透天厝,18,0.0085
2015,文山區,住宅大樓,665,0.2522
2015,文山區,公寓,582,0.2207
2015,文山區,其他,466,0.1767
2015,文山區,套房,306,0.116
2015,文山區,華廈,566,0.2146
2015,文山區,透天厝,52,0.0197
2015,松山區,住宅大樓,361,0.2595
2015,松山區,公寓,301,0.2164
2015,松山區,其他,273,0.1963
2015,松山區,套房,145,0.1042
2015,松山區,華廈,300,0.2157
2015,松山區,透天厝,11,0.0079
2015,萬華區,住宅大樓,396,0.2936
2015,萬華區,公寓,408,0.3024
2015,萬華區,其他,189,0.1401
2015,萬華區,套房,194,0.1438
2015,萬華區,華廈,117,0.0867
2015,萬華區,透天厝,45,0.0334
2016,中山區,住宅大樓,880,0.3046
2016,中山區,公寓,339,0.1173
2016,中山區,其他,613,0.2122
2016,中山區,套房,516,0.1786
2016,中山區,華廈,509,0.1762
2016,中山區,透天厝,32,0.0111
2016,中正區,住宅大樓,283,0.2225
2016,中正區,公寓,212,0.1667
2016,中正區,其他,258,0.2028
2016,中正區,套房,198,0.1557
2016,中正區,華廈,198,0.1557
2016,中正區,透天厝,123,0.0967
2016,信義區,住宅大樓,311,0.2247
2016,信義區,公寓,426,0.3078
2016,信義區,其他,322,0.2327
2016,信義區,套房,110,0.0795
2016,信義區,華廈,192,0.1387
2016,信義區,透天厝,23,0.0166
2016,內湖區,住宅大樓,751,0.3084
2016,內湖區,公寓,553,0.2271
2016,內湖區,其他,538,0.2209
2016,內湖區,套房,94,0.0386
2016,內湖區,華廈,468,0.1922
2016,內湖區,透天厝,31,0.0127
2016,北投區,住宅大樓,521,0.2003
2016,北投區,公寓,465,0.1788
2016,北投區,其他,831,0.3195
2016,北投區,套房,189,0.0727
2016,北投區,華廈,530,0.2038
2016,北投區,透天厝,65,0.025
2016,南港區,住宅大樓,349,0.3522
2016,南港區,公寓,209,0.2109
2016,南港區,其他,241,0.2432
2016,南港區,套房,26,0.0262
2016,南港區,華廈,151,0.1524
2016,南港區,透天厝,15,0.0151
2016,士林區,住宅大樓,339,0.1736
2016,士林區,公寓,547,0.2801
2016,士林區,其他,583,0.2985
2016,士林區,套房,89,0.0456
2016,士林區,華廈,324,0.1659
2016,士林區,透天厝,71,0.0364
2016,大同區,住宅大樓,214,0.2463
2016,大同區,公寓,198,0.2278
2016,大同區,其他,174,0.2002
2016,大同區,套房,126,0.145
2016,大同區,華廈,95,0.1093
2016,大同區,透天厝,62,0.0713
2016,大安區,住宅大樓,468,0.2661
2016,大安區,公寓,348,0.1978
2016,大安區,其他,378,0.2149
2016,大安區,套房,144,0.0819
2016,大安區,華廈,397,0.2257
2016,大安區,透天厝,24,0.0136
2016,文山區,住宅大樓,654,0.3262
2016,文山區,公寓,531,0.2648
2016,文山區,其他,292,0.1456
2016,文山區,套房,145,0.0723
2016,文山區,華廈,322,0.1606
2016,文山區,透天厝,61,0.0304
2016,松山區,住宅大樓,322,0.2584
2016,松山區,公寓,287,0.2303
2016,松山區,其他,214,0.1717
2016,松山區,套房,144,0.1156
2016,松山區,華廈,259,0.2079
2016,松山區,透天厝,20,0.0161
2016,萬華區,住宅大樓,687,0.351
2016,萬華區,公寓,366,0.187
2016,萬華區,其他,213,0.1088
2016,萬華區,套房,489,0.2499
2016,萬華區,華廈,125,0.0639
2016,萬華區,透天厝,77,0.0393
2017,中山區,住宅大樓,860,0.2934
2017,中山區,公寓,333,0.1136
2017,中山區,其他,724,0.247
2017,中山區,套房,551,0.188
2017,中山區,華廈,442,0.1508
2017,中山區,透天厝,21,0.0072
2017,中正區,住宅大樓,352,0.2878
2017,中正區,公寓,180,0.1472
2017,中正區,其他,261,0.2134
2017,中正區,套房,140,0.1145
2017,中正區,華廈,267,0.2183
2017,中正區,透天厝,23,0.0188
2017,信義區,住宅大樓,300,0.2048
2017,信義區,公寓,436,0.2976
2017,信義區,其他,359,0.2451
2017,信義區,套房,113,0.0771
2017,信義區,華廈,238,0.1625
2017,信義區,透天厝,19,0.013
2017,內湖區,住宅大樓,700,0.2826
2017,內湖區,公寓,526,0.2124
2017,內湖區,其他,639,0.258
2017,內湖區,套房,102,0.0412
2017,內湖區,華廈,473,0.191
2017,內湖區,透天厝,37,0.0149
2017,北投區,住宅大樓,337,0.1667
2017,北投區,公寓,507,0.2509
2017,北投區,其他,424,0.2098
2017,北投區,套房,245,0.1212
2017,北投區,華廈,434,0.2147
2017,北投區,透天厝,74,0.0366
2017,南港區,住宅大樓,271,0.2991
2017,南港區,公寓,229,0.2528
2017,南港區,其他,212,0.234
2017,南港區,套房,36,0.0397
2017,南港區,華廈,145,0.16
2017,南港區,透天厝,13,0.0143
2017,士林區,住宅大樓,277,0.158
2017,士林區,公寓,573,0.3269
2017,士林區,其他,461,0.263
2017,士林區,套房,81,0.0462
2017,士林區,華廈,302,0.1723
2017,士林區,透天厝,59,0.0337
2017,大同區,住宅大樓,221,0.2429
2017,大同區,公寓,215,0.2363
2017,大同區,其他,183,0.2011
2017,大同區,套房,106,0.1165
2017,大同區,華廈,124,0.1363
2017,大同區,透天厝,61,0.067
2017,大安區,住宅大樓,527,0.2564
2017,大安區,公寓,361,0.1757
2017,大安區,其他,592,0.2881
2017,大安區,套房,149,0.0725
2017,大安區,華廈,411,0.2
2017,大安區,透天厝,15,0.0073
2017,文山區,住宅大樓,609,0.3159
2017,文山區,公寓,483,0.2505
2017,文山區,其他,273,0.1416
2017,文山區,套房,136,0.0705
2017,文山區,華廈,375,0.1945
2017,文山區,透天厝,52,0.027
2017,松山區,住宅大樓,329,0.258
2017,松山區,公寓,306,0.24
2017,松山區,其他,278,0.218
2017,松山區,套房,116,0.091
2017,松山區,華廈,235,0.1843
2017,松山區,透天厝,11,0.0086
2017,萬華區,住宅大樓,445,0.3065
2017,萬華區,公寓,368,0.2534
2017,萬華區,其他,211,0.1453
2017,萬華區,套房,247,0.1701
2017,萬華區,華廈,109,0.0751
2017,萬華區,透天厝,72,0.0496
2018,中山區,住宅大樓,853,0.2909
2018,中山區,公寓,389,0.1327
2018,中山區,其他,580,0.1978
2018,中山區,套房,524,0.1787
2018,中山區,華廈,555,0.1893
2018,中山區,透天厝,31,0.0106
2018,中正區,住宅大樓,280,0.2118
2018,中正區,公寓,278,0.2103
2018,中正區,其他,286,0.2163
2018,中正區,套房,235,0.1778
2018,中正區,華廈,220,0.1664
2018,中正區,透天厝,23,0.0174
2018,信義區,住宅大樓,322,0.2188
2018,信義區,公寓,474,0.322
2018,信義區,其他,278,0.1889
2018,信義區,套房,98,0.0666
2018,信義區,華廈,268,0.1821
2018,信義區,透天厝,32,0.0217
2018,內湖區,住宅大樓,867,0.3121
2018,內湖區,公寓,609,0.2192
2018,內湖區,其他,687,0.2473
2018,內湖區,套房,135,0.0486
2018,內湖區,華廈,443,0.1595
2018,內湖區,透天厝,37,0.0133
2018,北投區,住宅大樓,822,0.3046
2018,北投區,公寓,531,0.1967
2018,北投區,其他,408,0.1512
2018,北投區,套房,210,0.0778
2018,北投區,華廈,654,0.2423
2018,北投區,透天厝,74,0.0274
2018,南港區,住宅大樓,323,0.3496
2018,南港區,公寓,240,0.2597
2018,南港區,其他,188,0.2035
2018,南港區,套房,23,0.0249
2018,南港區,華廈,139,0.1504
2018,南港區,透天厝,11,0.0119
2018,士林區,住宅大樓,320,0.1695
2018,士林區,公寓,539,0.2855
2018,士林區,其他,544,0.2881
2018,士林區,套房,117,0.062
2018,士林區,華廈,304,0.161
2018,士林區,透天厝,64,0.0339
2018,大同區,住宅大樓,284,0.307
2018,大同區,公寓,219,0.2368
2018,大同區,其他,159,0.1719
2018,大同區,套房,98,0.1059
2018,大同區,華廈,109,0.1178
2018,大同區,透天厝,56,0.0605
2018,大安區,住宅大樓,673,0.3155
2018,大安區,公寓,353,0.1655
2018,大安區,其他,500,0.2344
2018,大安區,套房,181,0.0849
2018,大安區,華廈,417,0.1955
2018,大安區,透天厝,9,0.0042
2018,文山區,住宅大樓,640,0.3061
2018,文山區,公寓,555,0.2654
2018,文山區,其他,289,0.1382
2018,文山區,套房,120,0.0574
2018,文山區,華廈,438,0.2095
2018,文山區,透天厝,49,0.0234
2018,松山區,住宅大樓,433,0.3011
2018,松山區,公寓,350,0.2434
2018,松山區,其他,219,0.1523
2018,松山區,套房,162,0.1127
2018,松山區,華廈,265,0.1843
2018,松山區,透天厝,9,0.0063
2018,萬華區,住宅大樓,764,0.451
2018,萬華區,公寓,373,0.2202
2018,萬華區,其他,247,0.1458
2018,萬華區,套房,143,0.0844
2018,萬華區,華廈,97,0.0573
2018,萬華區,透天厝,70,0.0413
2019,中山區,住宅大樓,941,0.3028
2019,中山區,公寓,409,0.1316
2019,中山區,其他,600,0.1931
2019,中山區,套房,655,0.2107
2019,中山區,華廈,477,0.1535
2019,中山區,透天厝,26,0.0084
2019,中正區,住宅大樓,409,0.3113
2019,中正區,公寓,262,0.1994
2019,中正區,其他,211,0.1606
2019,中正區,套房,191,0.1454
2019,中正區,華廈,222,0.1689
2019,中正區,透天厝,19,0.0145
2019,信義區,住宅大樓,417,0.2372
2019,信義區,公寓,484,0.2753
2019,信義區,其他,394,0.2241
2019,信義區,套房,139,0.0791
2019,信義區,華廈,290,0.165
2019,信義區,透天厝,34,0.0193
2019,內湖區,住宅大樓,940,0.3024
2019,內湖區,公寓,613,0.1972
2019,內湖區,其他,721,0.232
2019,內湖區,套房,133,0.0428
2019,內湖區,華廈,655,0.2107
2019,內湖區,透天厝,46,0.0148
2019,北投區,住宅大樓,355,0.1534
2019,北投區,公寓,561,0.2424
2019,北投區,其他,478,0.2066
2019,北投區,套房,207,0.0895
2019,北投區,華廈,634,0.274
2019,北投區,透天厝,79,0.0341
2019,南港區,住宅大樓,250,0.2634
2019,南港區,公寓,216,0.2276
2019,南港區,其他,282,0.2972
2019,南港區,套房,29,0.0306
2019,南港區,華廈,160,0.1686
2019,南港區,透天厝,12,0.0126
2019,士林區,住宅大樓,273,0.1336
2019,士林區,公寓,610,0.2986
2019,士林區,其他,616,0.3015
2019,士林區,套房,87,0.0426
2019,士林區,華廈,388,0.1899
2019,士林區,透天厝,69,0.0338
2019,大同區,住宅大樓,329,0.2951
2019,大同區,公寓,218,0.1955
2019,大同區,其他,256,0.2296
2019,大同區,套房,111,0.0996
2019,大同區,華廈,132,0.1184
2019,大同區,透天厝,69,0.0619
2019,大安區,住宅大樓,646,0.3137
2019,大安區,公寓,398,0.1933
2019,大安區,其他,402,0.1952
2019,大安區,套房,176,0.0855
2019,大安區,華廈,423,0.2054
2019,大安區,透天厝,14,0.0068
2019,文山區,住宅大樓,578,0.2802
2019,文山區,公寓,600,0.2908
2019,文山區,其他,283,0.1372
2019,文山區,套房,139,0.0674
2019,文山區,華廈,428,0.2075
2019,文山區,透天厝,35,0.017
2019,松山區,住宅大樓,446,0.289
2019,松山區,公寓,359,0.2327
2019,松山區,其他,249,0.1614
2019,松山區,套房,151,0.0979
2019,松山區,華廈,325,0.2106
2019,松山區,透天厝,13,0.0084
2019,萬華區,住宅大樓,755,0.4347
2019,萬華區,公寓,417,0.2401
2019,萬華區,其他,210,0.1209
2019,萬華區,套房,159,0.0915
2019,萬華區,華廈,114,0.0656
2019,萬華區,透天厝,82,0.0472
2020,中山區,住宅大樓,1497,0.3957
2020,中山區,公寓,476,0.1258
2020,中山區,其他,560,0.148
2020,中山區,套房,377,0.0997
2020,中山區,華廈,811,0.2144
2020,中山區,透天厝,62,0.0164
2020,中正區,住宅大樓,704,0.4178
2020,中正區,公寓,261,0.1549
2020,中正區,其他,240,0.1424
2020,中正區,套房,136,0.0807
2020,中正區,華廈,312,0.1852
2020,中正區,透天厝,32,0.019
2020,信義區,住宅大樓,505,0.2436
2020,信義區,公寓,639,0.3082
2020,信義區,其他,462,0.2229
2020,信義區,套房,78,0.0376
2020,信義區,華廈,357,0.1722
2020,信義區,透天厝,32,0.0154
2020,內湖區,住宅大樓,1079,0.3064
2020,內湖區,公寓,831,0.2359
2020,內湖區,其他,618,0.1755
2020,內湖區,套房,140,0.0398
2020,內湖區,華廈,787,0.2235
2020,內湖區,透天厝,67,0.019
2020,北投區,住宅大樓,530,0.2018
2020,北投區,公寓,707,0.2692
2020,北投區,其他,540,0.2056
2020,北投區,套房,132,0.0503
2020,北投區,華廈,622,0.2369
2020,北投區,透天厝,95,0.0362
2020,南港區,住宅大樓,406,0.3256
2020,南港區,公寓,331,0.2654
2020,南港區,其他,240,0.1925
2020,南港區,套房,14,0.0112
2020,南港區,華廈,244,0.1957
2020,南港區,透天厝,12,0.0096
2020,士林區,住宅大樓,499,0.1979
2020,士林區,公寓,723,0.2868
2020,士林區,其他,693,0.2749
2020,士林區,套房,65,0.0258
2020,士林區,華廈,463,0.1837
2020,士林區,透天厝,78,0.0309
2020,大同區,住宅大樓,501,0.3708
2020,大同區,公寓,262,0.1939
2020,大同區,其他,220,0.1628
2020,大同區,套房,104,0.077
2020,大同區,華廈,185,0.1369
2020,大同區,透天厝,79,0.0585
2020,大安區,住宅大樓,906,0.3493
2020,大安區,公寓,444,0.1712
2020,大安區,其他,524,0.202
2020,大安區,套房,113,0.0436
2020,大安區,華廈,600,0.2313
2020,大安區,透天厝,7,0.0027
2020,文山區,住宅大樓,1095,0.3549
2020,文山區,公寓,707,0.2292
2020,文山區,其他,458,0.1485
2020,文山區,套房,93,0.0301
2020,文山區,華廈,668,0.2165
2020,文山區,透天厝,64,0.0207
2020,松山區,住宅大樓,597,0.3271
2020,松山區,公寓,447,0.2449
2020,松山區,其他,292,0.16
2020,松山區,套房,99,0.0542
2020,松山區,華廈,372,0.2038
2020,松山區,透天厝,18,0.0099
2020,萬華區,住宅大樓,833,0.4194
2020,萬華區,公寓,425,0.214
2020,萬華區,其他,289,0.1455
2020,萬華區,套房,118,0.0594
2020,萬華區,華廈,200,0.1007
2020,萬華區,透天厝,121,0.0609
2021,中山區,住宅大樓,1581,0.4462
2021,中山區,公寓,558,0.1575
2021,中山區,其他,270,0.0762
2021,中山區,華廈,1075,0.3034
2021,中山區,透天厝,59,0.0167
2021,中正區,住宅大樓,771,0.4997
2021,中正區,公寓,245,0.1588
2021,中正區,其他,143,0.0927
2021,中正區,華廈,373,0.2417
2021,中正區,透天厝,11,0.0071
2021,信義區,住宅大樓,775,0.3748
2021,信義區,公寓,581,0.2809
2021,信義區,其他,303,0.1465
2021,信義區,華廈,377,0.1823
2021,信義區,透天厝,32,0.0155
2021,內湖區,住宅大樓,1301,0.3728
2021,內湖區,公寓,820,0.235
