鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
金寧鄉,房地(土地+建物),金門縣金寧鄉榜林６之２１號二樓,42.08,都市：其他:自然村專用區,,,1131206,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131106,96.46000000000001,3,2,2,有,無,8200000,85009,,0.0,0,本買賣標的另含停車位1號之約定專用使用權,RPQOMLKKKIJGFAW09DA,74.7,0.0,7.34,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉榜林６之２１號三樓,42.08,都市：其他:自然村專用區,,,1131206,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131106,96.46000000000001,3,2,2,有,無,7650000,79307,,0.0,0,,RPSOMLKKKIJGFAW66DA,74.7,0.0,7.34,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉榜林６之２１號四樓,42.08,都市：其他:自然村專用區,,,1131206,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131106,96.46000000000001,3,2,2,有,無,7500000,77752,,0.0,0,,RPUOMLKKKIJGFAW86DA,74.7,0.0,7.34,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉榜林６之２２號三樓,42.08,都市：其他:自然村專用區,,,1131206,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131106,96.46000000000001,3,2,2,有,無,7650000,79307,,0.0,0,,RPVOMLKKKIJGFAW96DA,74.7,0.0,7.34,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉榜林６之２２號四樓,42.08,都市：其他:自然村專用區,,,1131206,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131106,96.46000000000001,3,2,2,有,無,7200000,74642,,0.0,0,,RPWOMLKKKIJGFAW07DA,74.7,0.0,7.34,有,
金寧鄉,土地,后湖段175地號,938.13,農,,,1131201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3700000,3944,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSPMLKKKIJGFAW76DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉頂堡１３０號,39.37,都市：其他:自然村專用區,,,1131205,土地1建物2車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1131105,76.63000000000001,3,2,2,有,無,6600000,86128,,0.0,0,,RPQOMLNLKIJGFAW86DA,65.23,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉頂堡１３０號三樓,39.37,都市：其他:自然村專用區,,,1131202,土地1建物2車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1131105,83.98,3,2,2,有,無,6780000,80734,,0.0,0,,RPSOMLNLKIJGFAW07DA,65.23,0.0,7.35,無,
金寧鄉,土地,北四劃段202地號,888.42,農,,,1131205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7360000,8284,,0.0,0,,RPQNMLQLKIJGFAW07DA,0.0,0.0,0.0,無,023
金城鎮,房地(土地+建物),金門縣金城鎮新豐路８２號四樓,31.71,都市：其他:保護區,,,1131206,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130815,104.33,3,2,2,有,無,7500000,71887,,0.0,0,,RPXNMLNLKIJGFAW47DA,86.13,0.0,5.54,有,
金城鎮,房地(土地+建物),金門縣金城鎮新豐路８２號二樓,31.71,都市：其他:保護區,,,1131206,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130815,104.33,3,2,2,有,無,7500000,71887,,0.0,0,,RPOOMLNLKIJGFAW66DA,86.13,0.0,5.54,有,
金寧鄉,土地,北二三劃測段377-2地號,250.0,農,,,1131225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1250000,5000,,0.0,0,,RPPNMLRLKIJGFAW17EA,0.0,0.0,0.0,無,024
金城鎮,土地,庵前村測段133-1地號,5.51,都市：其他:自然村專用區,,,1131218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,68324,12400,,0.0,0,,RPPNMLLMKIJGFAW66EA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮后２之２號二樓之５,21.5,都市：其他:自然村專用區,,,1131224,土地1建物1車位0,二層,三層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060411,37.67,1,1,1,有,有,2300000,61057,,0.0,0,,RPPNMLQLKIJGFAW96DA,24.68,0.0,3.65,有,
