鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新興區,房地(土地+建物),高雄市新興區南華橫二路21號7樓,20.78,住,,,1021116,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0770203,132.09,3,1,2,有,有,無,12000,91,,0.0,0,,RPPNMLSKJIIFFBE77CC
苓雅區,建物,高雄市苓雅區建國一路26+28號,207.24,商,,,1021028,土地0建物2車位0,一層,2,店面(店鋪),商業用,鋼筋混凝土造,0971028,246.47,0,0,0,無,無,無,70000,284,,0.0,0,租2戶連棟1樓雙店面,RPQNMLSKJIIFFBE87CC
苓雅區,建物,高雄市苓雅區中正二路20號4樓,5.44,商,,,1021031,土地0建物1車位0,四層,12,辦公商業大樓,,鋼筋混凝土造,0790830,51.05,1,0,0,有,有,無,10000,196,,0.0,0,,RPRNMLSKJIIFFBE97CC
新興區,房地(土地+建物),高雄市新興區八德二路68號6樓,8.07,商,,,1021118,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020110,77.67,2,2,1,有,有,有,17000,219,,0.0,0,,RPSNMLSKJIIFFBE08CC
左營區,房地(土地+建物)+車位,高雄市左營區明華一路285號7樓之2,23.85,住,,,1021117,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0890623,198.13,4,2,2,有,有,無,26000,131,坡道平面,18.1,0,,RPROMLSKJIIFFEE38CC
岡山區,土地,岡山段672-4地號,539.0,住,,,1021115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,30000,56,,0.0,0,,RPPNMLSKJIIFFFE28DC
鳥松區,房地(土地+建物),高雄市鳥松區本館路391號,102.0,住,,,1021114,土地2建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0850131,231.91,6,2,5,有,無,無,28000,121,,0.0,0,,RPOPMLTKJIIFFIE68CC
岡山區,房地(土地+建物),高雄市岡山區岡山路420號,16.0,商,,,1021115,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,1020114,211.5,2,0,0,無,無,無,46000,217,,0.0,0,,RPOOMLTKJIIFFFE28CC
岡山區,房地(土地+建物),高雄市岡山區前峰路103號,74.0,商,,,1021115,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,1000331,178.48,3,2,3,有,無,無,30000,168,,0.0,0,,RPQOMLTKJIIFFFE48CC
岡山區,建物,高雄市岡山區大仁北路140號1樓,138.09,住,,,1021119,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0800918,84.59,1,1,1,有,無,無,15000,177,,0.0,0,,RPUOMLTKJIIFFFE88CC
楠梓區,建物,高雄市楠梓區新昌街50巷20號,64.51,住,,,1021102,土地0建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0770512,187.17000000000002,3,2,2,有,無,有,10000,53,,0.0,0,,RPUNMLTKJIIFFEE68CC
鳳山區,建物,高雄市鳳山區南京路238號,3210.34,住,,,1021113,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880712,119.49,4,2,2,有,無,無,15000,126,坡道平面,0.0,0,,RPWNMLTKJIIFFGE09CC
鳳山區,建物,高雄市鳳山區大東二路137號,74.0,住,,,1021106,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0790708,233.75,3,2,4,有,無,無,18000,77,,0.0,0,,RPXNMLTKJIIFFGE56CC
鳳山區,房地(土地+建物),高雄市鳳山區五甲一路610巷7號二十五樓,1656.0,住,,,1021115,土地1建物1車位0,二十五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851203,85.44,4,2,2,有,無,有,11500,135,,0.0,0,,RPSOMLTKJIIFFGE78CC
前鎮區,房地(土地+建物),高雄市前鎮區二聖二路318號,304.0,商,,,1021114,土地3建物1車位0,一層,1,店面(店鋪),,見使用執照,0750508,115.94,0,0,0,無,無,有,83000,716,,0.0,0,,RPWNMLTKJIIFFCE68CC
前鎮區,房地(土地+建物),高雄市前鎮區天后街80巷22號,80.0,住,,,1021114,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0761214,174.52,8,2,4,有,無,無,12000,69,,0.0,0,,RPWOMLTKJIIFFCE78CC
苓雅區,建物,高雄市苓雅區建國一路15之3號,95.0,商,,,1021102,土地0建物1車位0,見其他登記事項,3,店面(店鋪),,鋼筋混凝土造,0651007,183.18,0,0,0,無,無,無,23000,126,,0.0,0,,RPVNMLTKJIIFFBE48CC
苓雅區,建物,高雄市苓雅區四維一路288號,33.6,住,,,1021105,土地0建物1車位0,見其他登記事項,10,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0880326,164.99,2,2,3,有,有,無,15000,91,,0.0,0,,RPSOMLTKJIIFFBE28CC
苓雅區,建物,高雄市苓雅區自強三路177號5樓之6,4.32,商,,,1021109,土地0建物1車位0,五層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970919,48.010000000000005,1,1,1,有,有,有,14000,292,,0.0,0,租金含管理費.網路.第4台.水費,RPXOMLTKJIIFFBE78CC
新興區,建物,高雄市新興區八德一路403號,64.0,商,,,1021109,土地0建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0611024,166.32,0,0,0,無,無,無,23000,138,,0.0,0,,RPPPMLTKJIIFFBE08CC
新興區,建物,高雄市新興區六合一路75之1號,27.33,商,,,1021109,土地0建物1車位0,全,3,透天厝,,加強磚造,0520724,67.04,3,1,1,有,無,無,7500,112,,0.0,0,獨立出入,RPRPMLTKJIIFFBE28CC
新興區,建物,高雄市新興區八德一路401號,64.0,商,,,1021113,土地0建物1車位0,一層,3,店面(店鋪),住商用,加強磚造,0611024,57.06,0,0,0,無,無,無,10000,175,,0.0,0,,RPTPMLTKJIIFFBE48CC
苓雅區,建物,高雄市苓雅區六合路70號,74.0,商,,,1021114,土地0建物1車位0,見其他登記事項,3,店面(店鋪),,加強磚造,0620511,187.1,0,0,0,無,無,無,23000,123,,0.0,0,,RPUPMLTKJIIFFBE58CC
苓雅區,建物,高雄市苓雅區泰成街22號,73.0,住,,,1021114,土地0建物1車位0,全,3,透天厝,,加強磚造,0620420,158.7,5,2,4,有,無,有,21000,132,,0.0,0,,RPWPMLTKJIIFFBE78CC
鼓山區,房地(土地+建物),高雄市鼓山區龍勝路22號14樓,7.65,住,,,1021119,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950414,54.42,2,1,1,有,無,有,16000,294,,0.0,0,,RPWNMLTKJIIFFAE48CC
鹽埕區,房地(土地+建物),高雄市鹽埕區必忠街39號3樓之1,32.8,住,,,1021101,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810717,159.32,3,2,2,有,有,有,12100,76,,0.0,0,,RPTOMLTKJIIFFAE28CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南二路135號十樓,11.23,住,,,1021120,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940616,156.25,3,2,2,有,有,有,17970,115,坡道平面,19.9,0,,RPUNMLKLJIIFFAE47CC
鼓山區,房地(土地+建物),高雄市鼓山區美術東七街116號11樓,9.52,住,,,1021028,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950220,92.92,2,2,1,有,有,有,13000,140,,0.0,0,,RPTPMLKLJIIFFAE57CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路68號11樓,13.6,住,,,1021114,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931126,115.3,3,2,2,有,有,有,19000,165,坡道機械,10.97,0,,RPWPMLKLJIIFFAE87CC
三民區,土地,大豐段二小段556-2地號,296.0,住,,,1021119,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,101,,0.0,0,,RPOPMLKLJIIFFDE37CC
苓雅區,房地(土地+建物),高雄市苓雅區福德一路48巷2弄10號2樓,32.61,住,,,1021107,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0751203,110.01,4,2,2,有,無,有,10000,91,,0.0,0,,RPWOMLKLJIIFFBE87CC
左營區,建物,高雄市左營區立文路77號18樓A,0.0,,,,1021118,土地0建物1車位0,十八層,19,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0790326,20.74,0,0,0,無,有,無,10000,482,,0.0,0,,RPTNMLKLJIIFFEE77CC
楠梓區,房地(土地+建物),高雄市楠梓區土庫一路179號,16.65,其他,,,1021031,土地1建物1車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,0941206,100.09,2,2,3,有,無,無,20000,200,,0.0,0,,RPUOMLLLJIIFFEE08CC
苓雅區,房地(土地+建物),高雄市苓雅區尚仁街33號,50.0,住,,,1021120,土地1建物1車位0,全,3,透天厝,,加強磚造,0640731,144.51,3,2,2,有,無,無,15000,104,,0.0,0,,RPVNMLLLJIIFFBE77CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新光路38號14樓之2,14.11,商,,,1021113,土地1建物1車位1,十四層,42,廠辦,商業用,鋼骨鋼筋混凝土造,0810725,334.36,0,0,0,無,無,有,33000,99,坡道平面,0.0,0,,RPVOMLLLJIIFFBE87CC
鼓山區,建物,高雄市鼓山區裕誠路1091號12樓C,0.0,,,,1021121,土地0建物1車位0,十二層,12,辦公商業大樓,商業用,鋼筋混凝土造,0790216,41.22,0,0,0,無,有,無,18500,449,,0.0,0,,RPXNMLLLJIIFFAE87CC
鹽埕區,建物,高雄市鹽埕區富野路９８號,0.0,商,,,1021108,土地0建物0車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0850831,42.47,0,2,1,有,無,無,18000,424,,0.0,0,,RPURMLMLJIIFFAE08CC
新興區,房地(土地+建物),高雄市新興區南台路170號12樓之1,12.38,住,,,1021031,土地2建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020110,156.72,3,2,2,有,有,有,23000,147,,0.0,0,,RPTNMLMLJIIFFBE67CC
苓雅區,房地(土地+建物),高雄市苓雅區三多四路31-1號,93.32,商,,,1021009,土地1建物1車位0,全,5,透天厝,,鋼筋混凝土造,0661110,101.14,0,0,0,無,無,無,43000,425,,0.0,0,,RPROMLMLJIIFFBE57CC
