編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLJJHPFFBM28CA,21,172.84,住家用,鋼筋混凝土造,88年6月5日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPVNMLRLKIOFFDM27CA,24,30.07,集合住宅,鋼筋混凝土造,85年3月9日,七層,四層 陽台 花台,全筆移轉
RPVNMLRLKIOFFDM27CA,24,4.08,防空避難室、停車空間、門廳、屋頂突出物等公共設施,鋼筋混凝土造,85年3月9日,七層,,持分移轉
RPVNMLRLKIOFFDM27CA,24,5.00,梯間、走道,鋼筋混凝土造,85年3月9日,七層,,持分移轉
RPRNMLMJJHPFFBM48CA,42,55.08,住家用,鋼筋混凝土加強磚造,66年9月29日,一層,一層,全筆移轉
RPQNMLLMKIOFFAM58CA,39,112.56,住商用,鋼筋混凝土加強磚造,69年11月26日,二層,一層 二層 騎樓,全筆移轉
RPPPMLLLJHPFFCM68CA,44,148.62,住家用,鋼筋混凝土加強磚造,64年11月15日,三層,一層 二層 三層,全筆移轉
RPPNMLPJJHPFFDM78CA,42,80.64,住家用,鋼筋混凝土加強磚造,67年4月1日,二層,一層 二層,全筆移轉
RPQPMLLLJHPFFCM78CA,25,89.96,集合住宅,鋼筋混凝土造,83年12月31日,十二層,三層 陽台 花台,全筆移轉
RPQPMLLLJHPFFCM78CA,25,19.96,樓梯間、機械房、水箱,鋼筋混凝土造,83年12月31日,十二層,,持分移轉
RPUNMLMJJHPFFCM88CA,39,74.60,住家用,磚造,69年8月28日,一層,一層 騎樓,全筆移轉
RPPNMLQJJHPFFDM88CA,34,150.64,住商用,鋼筋混凝土加強磚造,75年4月21日,二層,一層 二層 騎樓,全筆移轉
RPPOMLQKJHPFFCM98CA,5,138.36,住宅、梯間,鋼筋混凝土造,104年1月7日,二層,一層 二層 雨遮 見其他登記事項,全筆移轉
RPQNMLPJJHPFFCM78CA,19,108.24,住家用,鋼構造,89年12月21日,二層,一層 二層,全筆移轉
RPPNMLRJJHPFFAM68CA,24,116.13,住家用,鋼筋混凝土造,85年5月3日,四層,一層 二層 三層 四層 陽台 平台 花台,全筆移轉
RPWQMLQJJHPFFAM96CA,13,170.48,住家用,鋼筋混凝土造,95年6月29日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮,全筆移轉
