鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鳳山區,房地(土地+建物),高雄市鳳山區中華街３之５號,65.0,住,,,1040617,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0690401,219.96,3,1,2,有,無,4400000,20004,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLOKPHKFFGE56EA,219.96,0.0,0.0,,
六龜區,土地,義寶段171-1地號,13.45,,鄉村區,乙種建築用地,1040626,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,8922,,0.0,0,房屋佔用買賣,RPROMLMLPHKFFKE09DA,0.0,0.0,0.0,,
左營區,房地(土地+建物),高雄市左營區民族一路1108號,93.97,住,,,1040528,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0931126,290.17,4,2,6,有,無,20000000,68925,,0.0,0,,RPOPMLQKPHKFFEE58DA,255.0,0.0,35.17,,
三民區,房地(土地+建物),高雄市三民區民族一路702之2號12樓之2,6.65,住,,,1040628,土地1建物1車位0,十二層，電梯樓梯間,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840906,78.63,2,1,1,有,有,3600000,45784,,0.0,0,,RPRNMLTJPHKFFDE78DA,59.66,0.0,8.12,,
岡山區,房地(土地+建物),高雄市岡山區新樂街1之7號十四樓,6.97,住,,,1040629,土地1建物1車位0,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841118,103.96000000000001,3,2,2,有,有,2200000,21162,,0.0,0,,RPPNMLMKPHKFFFE18DA,70.85,0.0,7.43,,
苓雅區,土地,苓洲段570地號,66.0,商,,,1040629,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,45455,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLTJPHKFFBE98DA,0.0,0.0,0.0,,
燕巢區,房地(土地+建物),高雄市燕巢區海成街5號,68.8,住,,,1040626,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0770125,107.77,4,2,3,有,無,5000000,46395,,0.0,0,受債權債務影響或債務抵償之交易。,RPPNMLOLPHKFFFE48DA,89.4,14.32,4.05,,
燕巢區,土地,尖山段1085-3地號,119.33,,山坡地保育區,農牧用地,1040626,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,155103,1300,,0.0,0,本案三筆土地係供作為道路使用,RPPNMLNKQHKFFFE38DA,0.0,0.0,0.0,,
仁武區,房地(土地+建物),高雄市仁武區高楠八街87號,124.37,住,,,1040701,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0681125,108.9,3,1,3,有,無,4300000,39486,,0.0,0,,RPTNMLNKPHKFFIE98DA,108.9,0.0,0.0,,
岡山區,土地,子段1568-21地號,197.0,,鄉村區,乙種建築用地,1040608,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,21320,,0.0,0,,RPQNMLNJQHKFFFE28CA,0.0,0.0,0.0,,
橋頭區,房地(土地+建物),高雄市橋頭區通樹路182巷11號,75.87,住,,,1040528,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040319,204.95,4,2,3,有,無,10680000,52110,,0.0,0,,RPTNMLKMPHKFFFE48CA,197.92,1.9,5.13,,
岡山區,房地(土地+建物),高雄市岡山區維仁路１６４號,194.0,商,,,1040512,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0710713,348.85,6,3,6,有,無,9699976,27806,,0.0,0,特別說明:此係母子間之買賣；不同於一般市價之買賣,RPPNMLLKPHKFFFE97CA,348.85,0.0,0.0,,
岡山區,房地(土地+建物),高雄市岡山區宏中街６４巷１弄２之１號,77.0,,鄉村區,乙種建築用地,1040618,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820920,117.92,4,2,2,有,無,3800000,32225,,0.0,0,,RPRNMLKKPHKFFFE08CA,117.92,0.0,0.0,,
岡山區,房地(土地+建物),高雄市岡山區竹圍北街１３２巷１３弄１號五樓之６,25.76,住,,,1040630,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820421,102.54,3,2,2,有,無,1660000,16189,,0.0,0,,RPOOMLTJPHKFFFE68CA,77.3,0.0,11.46,,
岡山區,房地(土地+建物),高雄市岡山區竹圍南街７４巷１１號,69.8,住,,,1040615,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0681227,103.96,3,2,2,有,無,4200000,40400,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLKLPHKFFFE58CA,103.96,0.0,0.0,,
燕巢區,土地,深水段187-19地號,213.0,,山坡地保育區,丙種建築用地,1040622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1790320,8405,,0.0,0,,RPQNMLLLPHKFFFE18CA,0.0,0.0,0.0,,
燕巢區,土地,深水段187-20地號,49.0,,山坡地保育區,丙種建築用地,1040511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,411440,8397,,0.0,0,,RPRNMLLLPHKFFFE28CA,0.0,0.0,0.0,,
永安區,土地,烏樹林段90地號,20.42,,一般農業區,農牧用地,1040622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,96830,4742,,0.0,0,,RPTNMLQKPHKFFFE88CA,0.0,0.0,0.0,,
鳥松區,土地,崎子段1326地號,852.5,農,,,1040622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6820000,8000,,0.0,0,親友間買賣。,RPRNMLNKPHKFFIE68CA,0.0,0.0,0.0,,
大社區,土地,圳觀段203地號,555.8,農,,,1040604,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9078000,16333,,0.0,0,,RPQPMLOKPHKFFIE88CA,0.0,0.0,0.0,,
鳳山區,房地(土地+建物),高雄市鳳山區府前路18號,33.0,住,,,1040609,土地1建物1車位0,一層，騎樓,五層,店面(店鋪),住商用,鋼筋混凝土造,0690922,92.41,0,0,0,無,無,7500000,81160,,0.0,0,,RPVNMLLLPHKFFGE78CA,92.41,0.0,0.0,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區五甲一路６１０巷３號十三樓,7.45,住,,,1040620,土地1建物1車位1,十三層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851203,117.41,3,2,2,有,有,4630000,39434,坡道平面,0.0,0,,RPSOMLNLPHKFFGE78CA,69.72,3.48,8.78,,
鳳山區,房地(土地+建物),高雄市鳳山區新康街151巷1號三樓,16.1,住,,,1040702,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870710,107.92,3,1,1,有,有,4530000,41976,,0.0,0,,RPWNMLKMPHKFFGE88CA,77.77,0.0,11.68,,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區新強路201號二樓,27.44,住,,,1040629,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1030601,156.06,3,2,2,有,有,7520000,48187,坡道平面,33.98,0,,RPXNMLSLPHKFFGE07CA,73.72,0.0,5.25,,
鳳山區,房地(土地+建物),高雄市鳳山區武松街１７７號４樓,7.51,住,,,1040610,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840915,75.77,2,2,1,有,有,2200000,29035,,0.0,0,,RPPNMLNKPHKFFGE28CA,48.22,0.0,8.89,,
