鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
前鎮區,房地(土地+建物)+車位,高雄市前鎮區管仲南路３６０號３樓之１,19.45,商,,,1050707,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0960126,206.78000000000003,4,2,2,有,有,13800000,66738,坡道平面,17.48,0,,RPUOMLLMQHLFFCE68CA,120.99,0.37,10.75,,
前鎮區,房地(土地+建物),高雄市前鎮區廣西路２９６巷１７之２號,40.0,住,,,1050804,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0701103,97.79,3,2,2,有,無,4800000,49085,,0.0,0,陽台未登記,RPPNMLQJRHLFFCE38CA,97.79,0.0,0.0,,
小港區,房地(土地+建物)+車位,高雄市小港區敬業路７之１號十一樓,28.17,住,,,1050703,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1041201,169.76999999999998,3,2,2,有,有,7450000,43883,坡道平面,19.72,0,,RPUNMLPJRHLFFCE78CA,80.95,7.98,9.26,,
小港區,房地(土地+建物)+車位,高雄市小港區敬業路５之１號三樓,28.65,住,,,1050703,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1041201,168.12,3,2,2,有,有,6800000,40447,坡道平面,19.72,0,,RPVNMLPJRHLFFCE88CA,81.02,6.18,9.1,,
前鎮區,房地(土地+建物),高雄市前鎮區崗山南街４２８巷１弄５號,76.0,住,,,1050809,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0661026,153.94,4,1,4,有,無,4239000,27537,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLRJRHLFFCE09CA,153.94,0.0,0.0,,
前鎮區,房地(土地+建物)+車位,高雄市前鎮區瑞南街４６號十四樓,25.15,住,,,1050726,土地1建物2車位2,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991221,254.68,4,2,3,有,有,13700000,53793,坡道平面,34.74,0,,RPVNMLQJRHLFFCE98CA,134.2,5.8,11.08,,
苓雅區,土地,林德官段一小段1706地號,126.0,住,,,1050726,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19000000,150794,,0.0,0,,RPTNMLKLRHLFFBE28CA,0.0,0.0,0.0,,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中東街１８５號二十七樓,14.47,商,,,1050823,土地1建物1車位2,二十七層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1030901,339.03,0,0,0,無,有,23700000,69905,坡道平面,39.44,0,,RPTOMLKLRHLFFBE38CA,166.63,13.25,17.8,,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區自強三路１７７號三樓之９,5.29,商,,,1050813,土地1建物1車位1,三層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970919,74.09,1,1,1,有,有,4500000,60737,升降機械,16.41,0,,RPWOMLKLRHLFFBE68CA,34.1,3.74,0.0,,
苓雅區,房地(土地+建物),高雄市苓雅區武廟路１１３號,22.89,商,,,1050806,土地1建物1車位0,一層，騎樓，夾層，地下層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0751113,105.05,2,2,1,有,無,9700000,92337,,0.0,0,,RPUNMLQKRHLFFBE88CA,91.91,0.0,2.92,,
