鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
古坑鄉,房地(土地+建物)+車位,雲林縣古坑鄉永興路１６６之２３號四樓,32.48,,鄉村區,乙種建築用地,1130709,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050630,133.6,2,2,1,有,有,5200000,38922,坡道平面,29.8,0,,RPPNMLKKPHJGFAP58DA,61.74,0.0,8.82,有,0049
斗六市,土地,大潭段大潭小段683-1地號,744.0,,特定農業區,農牧用地,1130707,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12828000,17242,,0.0,0,未登記建物；,RPWNMLRKPHJGFAP37DA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),雲林縣斗六市龍潭路３之１２巷３８號四樓之５,9.21,,一般農業區,甲種建築用地,1130708,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930326,30.72,1,0,1,有,有,1300000,42318,,0.0,0,,RPUNMLSKPHJGFAP27DA,18.27,0.0,0.0,有,0050
莿桐鄉,土地,麻園段264-3地號,581.85,,鄉村區,乙種建築用地,1130706,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3240000,5568,,0.0,0,未登記建物；,RPSNMLTKPHJGFAP17DA,0.0,0.0,0.0,無,
斗南鎮,土地,西岐段326-1地號,1126.0,都市：其他:道路用地,,,1130715,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5636000,5005,,0.0,0,包含公共設施保留地用地；,RPRNMLPKPHJGFBP76DA,0.0,0.0,0.0,無,
崙背鄉,土地,貓兒干段858地號,3754.0,,特定農業區,農牧用地,1130703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6657200,1773,,0.0,0,,RPSNMLSKPHJGFCP27DA,0.0,0.0,0.0,無,
褒忠鄉,土地,田洋段905地號,1339.5,,特定農業區,農牧用地,1130701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1800000,1344,,0.0,0,,RPTNMLTKPHJGFDP57DA,0.0,0.0,0.0,無,0051
口湖鄉,房地(土地+建物),雲林縣口湖鄉中南街３巷３２號,76.99,,一般農業區,甲種建築用地,1130708,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740701,147.21,4,2,2,有,無,2100000,14265,,0.0,0,,RPSNMLTJPHJGFEP47DA,139.02,0.0,8.19,無,
北港鎮,房地(土地+建物),雲林縣北港鎮扶朝路２８之１號,114.0,,鄉村區,乙種建築用地,1130710,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0841213,156.14,3,1,2,有,無,1700000,10888,,0.0,0,,RPPNMLNKPHJGFEP66DA,151.45,0.0,4.69,無,
元長鄉,土地,潭內段1661地號,2519.5,,特定農業區,農牧用地,1130712,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2850000,1131,,0.0,0,,RPRNMLNKPHJGFEP86DA,0.0,0.0,0.0,無,
